	faith_pd
L1S105	6.959877316094087
L1S140	6.373509708643118
L1S208	7.450065889906901
L1S257	7.058864262650372
L1S281	6.368176026348021
L1S57	6.462412294857499
L1S76	5.596829117851447
L1S8	4.827103510100498
L2S155	17.30185479768348
L2S175	14.32159713932692
L2S204	15.74345542235219
L2S222	25.63310466370261
L2S240	7.607820511925368
L2S357	8.97143626796575
L2S382	13.5120774969592
L4S112	18.83852843580856
L4S137	13.19671273307902
L4S63	27.81367573967245
L5S104	5.608631814976501
L5S155	4.361857182127583
L5S174	5.357450764429371
L5S203	5.903046098340852
L5S222	5.311505882170721
L5S240	5.06043047325344
L6S20	6.781386451231986
L6S68	6.805835018965391
L6S93	5.999863814853136
