	shannon_entropy
L1S105	3.8872102743128294
L1S140	3.8218995264998092
L1S208	4.505653325298704
L1S257	4.60869798156087
L1S281	4.561874730304938
L1S57	4.17588070928926
L1S76	3.6151605476311173
L1S8	3.197845167443215
L2S155	5.097946911968563
L2S175	4.899081224275774
L2S204	4.269522448550746
L2S222	6.435753753284385
L2S240	3.8237064960822575
L2S357	4.443643629486127
L2S382	5.903414761484219
L4S112	5.292782149103737
L4S137	5.3453607653276745
L4S63	6.0991951663592525
L5S104	3.618035303548193
L5S155	3.1660419878760164
L5S174	3.3847457686355664
L5S203	3.6732230021046215
L5S222	3.3469781748649523
L5S240	3.3043370105504657
L6S20	3.0685319693558277
L6S68	3.426406355135793
L6S93	4.254320681680062
