	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S357	L2S382	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
L1S105	0	0.1201222017407417	0.1128192096948624	0.1377814561128616	0.1282203793525696	0.09469706565141678	0.05806117132306099	0.153197780251503	0.8195505142211914	0.7923159003257751	0.6946455240249634	0.7014104723930359	0.7099723219871521	0.7742354869842529	0.7000817060470581	0.7566952109336853	0.7006496787071228	0.7934847474098206	0.7438573837280273	0.7231435775756836	0.6219877600669861	0.7175770998001099	0.6804777383804321	0.7081488370895386	0.695884644985199	0.7084938883781433	0.6019818782806396
L1S140	0.1201222017407417	0	0.118525356054306	0.1508305221796036	0.1634728759527206	0.1478260159492493	0.1009700521826744	0.140075758099556	0.8565054535865784	0.8320866227149963	0.7340656518936157	0.7417406439781189	0.7498448491096497	0.8088160157203674	0.7371333241462708	0.7951187491416931	0.741863489151001	0.834720253944397	0.7855969667434692	0.7649372816085815	0.6614228487014771	0.7581817507743835	0.7212462425231934	0.7499710917472839	0.7367583513259888	0.7493189573287964	0.6448826789855957
L1S208	0.1128192096948624	0.118525356054306	0	0.05398692563176155	0.08887729793787003	0.117676630616188	0.08465749025344849	0.1717279106378555	0.8434813022613525	0.8241867423057556	0.7205379009246826	0.7301923632621765	0.7403638362884521	0.7935027480125427	0.7297226786613464	0.7828143239021301	0.7354221940040588	0.8277652859687805	0.7749606966972351	0.7523090243339539	0.6513288617134094	0.7469468116760254	0.7112307548522949	0.739216685295105	0.7262262105941772	0.7386093735694885	0.6324795484542847
L1S257	0.1377814561128616	0.1508305221796036	0.05398692563176155	0	0.0904751792550087	0.1366962939500809	0.1108194962143898	0.1927406340837479	0.8396341800689697	0.8208038210868835	0.7166610956192017	0.7250086069107056	0.736817479133606	0.7898624539375305	0.7257325649261475	0.779758095741272	0.7303481101989746	0.8231756687164307	0.77347332239151	0.7504457235336304	0.6479576826095581	0.7438866496086121	0.7079801559448242	0.7369231581687927	0.7230505347251892	0.7365122437477112	0.6317078471183777
L1S281	0.1282203793525696	0.1634728759527206	0.08887729793787003	0.0904751792550087	0	0.09368143230676651	0.1201935783028603	0.222656786441803	0.8046243190765381	0.7855218648910522	0.6816730499267578	0.690951943397522	0.7014800310134888	0.754921555519104	0.6913716197013855	0.7444446086883545	0.6967719197273254	0.7890220880508423	0.7371354103088379	0.7141950726509094	0.6125743985176086	0.7076690196990967	0.6733432412147522	0.7001685500144958	0.6873540878295898	0.7006379961967468	0.5952264070510864
L1S57	0.09469706565141678	0.1478260159492493	0.117676630616188	0.1366962939500809	0.09368143230676651	0	0.08692814409732819	0.1601288318634033	0.78611159324646	0.7677183747291565	0.6626317501068115	0.6719987392425537	0.6857669949531555	0.7354066967964172	0.6738994717597961	0.7253215909004211	0.6774548292160034	0.7697060108184814	0.7199784517288208	0.6983349323272705	0.596961498260498	0.6923192739486694	0.6574987173080444	0.6847155094146729	0.6714765429496765	0.6849013566970825	0.5793271660804749
L1S76	0.05806117132306099	0.1009700521826744	0.08465749025344849	0.1108194962143898	0.1201935783028603	0.08692814409732819	0	0.1368933916091919	0.8223382234573364	0.8031828999519348	0.6977740526199341	0.7074070572853088	0.7190805673599243	0.7712430357933044	0.7101929187774658	0.7613423466682434	0.7128357887268066	0.8053280115127563	0.7541182041168213	0.7315008640289307	0.6306154727935791	0.7263498902320862	0.690666139125824	0.7182840704917908	0.7052456736564636	0.7185253500938416	0.6123981475830078
L1S8	0.153197780251503	0.140075758099556	0.1717279106378555	0.1927406340837479	0.222656786441803	0.1601288318634033	0.1368933916091919	0	0.8102665543556213	0.7923843860626221	0.6860259771347046	0.691971480846405	0.7132808566093445	0.7612377405166626	0.7011145949363708	0.7502466440200806	0.7026194334030151	0.7861818075180054	0.7488385438919067	0.7277705073356628	0.6243575215339661	0.7215832471847534	0.6847451329231262	0.7134719491004944	0.7005478143692017	0.7127351760864258	0.6087193489074707
L2S155	0.8195505142211914	0.8565054535865784	0.8434813022613525	0.8396341800689697	0.8046243190765381	0.78611159324646	0.8223382234573364	0.8102665543556213	0	0.219049870967865	0.3192241191864014	0.3260582089424133	0.4103562533855438	0.2200926095247269	0.4231250584125519	0.247235432267189	0.3504342138767242	0.2468959838151932	0.449472963809967	0.4398163557052612	0.6718029975891113	0.4409387707710266	0.5007740259170532	0.4257387220859528	0.4340714812278748	0.4035673439502716	0.6321336627006531
L2S175	0.7923159003257751	0.8320866227149963	0.8241867423057556	0.8208038210868835	0.7855218648910522	0.7677183747291565	0.8031828999519348	0.7923843860626221	0.219049870967865	0	0.4094119071960449	0.3891755044460297	0.3789114654064178	0.2028317302465439	0.3657562434673309	0.1931008845567703	0.2578317523002625	0.2716272175312042	0.4003259837627411	0.3519124090671539	0.6162709593772888	0.353085994720459	0.4719725549221039	0.3990552127361298	0.4163700640201569	0.37682044506073	0.6070677042007446
