	faith_pd
L1S105	6.433164921332386
L1S140	5.8653883593906
L1S208	6.673061878951611
L1S257	7.000607162478031
L1S281	6.690402780969581
L1S57	5.581796213796357
L1S76	5.266226025408249
L1S8	4.713315961728513
L2S155	16.17799218482494
L2S175	14.15334116117356
L2S204	15.82250209108155
L2S222	24.0323899505713
L2S240	7.039005796455994
L2S309	13.59530731945861
L2S357	7.751314719454658
L2S382	12.95286922052215
L3S294	8.807914656574397
L3S313	7.818367876795035
L3S378	4.646371648008827
L4S112	24.44471348763551
L4S137	12.56962785274539
L4S63	27.46173688841935
L5S104	5.608631814976501
L5S155	4.361857182127583
L5S174	5.357450764429371
L5S203	5.903046098340852
L5S222	5.166947398435994
L5S240	5.06043047325344
L6S20	6.867182560111026
L6S68	6.611747370567961
L6S93	6.382864474143839
