	shannon_entropy
L1S105	3.891907294572464
L1S140	3.7402067535189336
L1S208	4.442678560922052
L1S257	4.712594353290169
L1S281	4.542233361368761
L1S57	4.136107260799015
L1S76	3.518268781417989
L1S8	3.1308478946693143
L2S155	5.110445547172671
L2S175	4.9292568709248155
L2S204	4.2107268496799675
L2S222	6.360881515474165
L2S240	3.74983121731882
L2S309	4.640619959013153
L2S357	4.46519440732479
L2S382	5.826745363463682
L3S294	4.308438300414505
L3S313	4.462292099356284
L3S378	3.5331942002562116
L4S112	5.217466363182544
L4S137	5.405541222584641
L4S63	6.0187181298863255
L5S104	3.6388841876798237
L5S155	3.1529621117964326
L5S174	3.4146028371314263
L5S203	3.76434400219901
L5S222	3.342830443408465
L5S240	3.2940064320914173
L6S20	2.996151310585528
L6S68	3.3631278970474323
L6S93	4.308822635361527
