	functools.partial(<function _simpsons_dominance at 0x7baed8c67010>)
L1S105	0.8707597425340832
L1S140	0.8518506528607337
L1S208	0.8999368656469185
L1S257	0.9261295443201463
L1S281	0.908281448801911
L1S57	0.8661380226220196
L1S76	0.7961338438782589
L1S8	0.7940434532909985
L2S155	0.9387773740568298
L2S175	0.9221942968642297
L2S204	0.8154354111776599
L2S222	0.9817409110926695
L2S240	0.877517717945003
L2S309	0.920307852605409
L2S357	0.9226735881916397
L2S382	0.9669677267015795
L3S242	0.7686565772940646
L3S294	0.9168806330695544
L3S313	0.92402571409549
L3S341	0.8918378637713357
L3S360	0.9635969971063761
L3S378	0.8585481675973284
L4S112	0.9351128305988303
L4S137	0.9437042736673567
L4S63	0.9640241538053985
L5S104	0.8886545476395037
L5S155	0.8313969135802469
L5S174	0.8295733138902457
L5S203	0.8902810957587236
L5S222	0.8663128176313807
L5S240	0.8443634656010842
L6S20	0.7331051408221038
L6S68	0.8417586492321115
L6S93	0.9186621710989211
