	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S294	L3S313	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
L1S105	0	0.1305273771286011	0.1155201867222786	0.137750968337059	0.1201770752668381	0.0872807577252388	0.06402049213647842	0.1640720218420029	0.8024230003356934	0.7662220001220703	0.6710090041160583	0.706359326839447	0.6969131827354431	0.7520026564598083	0.7621515393257141	0.6879218220710754	0.799656093120575	0.7801644802093506	0.1195347309112549	0.754663348197937	0.6879923343658447	0.7859824299812317	0.7359077930450439	0.7061675786972046	0.6181636452674866	0.7055945992469788	0.6660863757133484	0.6987337470054626	0.6795459985733032	0.6949717998504639	0.5766345858573914
L1S140	0.1305273771286011	0	0.1013735458254814	0.1582152396440506	0.1661785840988159	0.1585516780614853	0.1055129989981651	0.1295163631439209	0.8510825634002686	0.8181831240653992	0.7218223810195923	0.7581746578216553	0.7488424777984619	0.8007848262786865	0.8070667386054993	0.7380262613296509	0.8429749011993408	0.8316112160682678	0.06051392108201981	0.8023852109909058	0.7414559125900269	0.8360713720321655	0.7896708846092224	0.7595985531806946	0.6693441867828369	0.7579178810119629	0.7197924256324768	0.751555323600769	0.7325830459594727	0.7475707530975342	0.6319451928138733
L1S208	0.1155201867222786	0.1013735458254814	0	0.07928925007581711	0.09758123755455017	0.1376037746667862	0.08436071127653122	0.1735515892505646	0.8428914546966553	0.8142573833465576	0.7127706408500671	0.7516506910324097	0.7430861592292786	0.7944371104240417	0.7964663505554199	0.7351316213607788	0.8348395824432373	0.8285698294639587	0.09252911061048508	0.7942544221878052	0.7387802600860596	0.8322407007217407	0.7827627062797546	0.7505187392234802	0.6629194021224976	0.7505906224250793	0.7123361825942993	0.7443224191665649	0.7243610620498657	0.7399340271949768	0.6220618486404419
L1S257	0.137750968337059	0.1582152396440506	0.07928925007581711	0	0.09300738573074341	0.1498016715049744	0.1206858605146408	0.2093594819307327	0.8293402194976807	0.8005385398864746	0.6983629465103149	0.7367695569992065	0.7290691137313843	0.7812114953994751	0.7829915881156921	0.7210531234741211	0.8212666511535645	0.8151265978813171	0.1497469693422318	0.7807815670967102	0.7244598865509033	0.817897617816925	0.7711195945739746	0.7383863925933838	0.6497425436973572	0.7378962635993958	0.6993329524993896	0.7317991256713867	0.7120163440704346	0.7277564406394958	0.6111913919448853
L1S281	0.1201770752668381	0.1661785840988159	0.09758123755455017	0.09300738573074341	0	0.09256018698215485	0.1206506863236427	0.2350528538227081	0.7934386134147644	0.7645211219787598	0.6630799770355225	0.7019415497779846	0.6932140588760376	0.7450748682022095	0.7470487356185913	0.6853395104408264	0.7855547070503235	0.7791628241539001	0.1472592651844025	0.7443267107009888	0.6889352798461914	0.7823697328567505	0.7343341112136841	0.7017443776130676	0.6137579679489136	0.7007158398628235	0.6630133986473083	0.6946755647659302	0.6750811338424683	0.6909584403038025	0.5739345550537109
L1S57	0.0872807577252388	0.1585516780614853	0.1376037746667862	0.1498016715049744	0.09256018698215485	0	0.09715735912322998	0.1761393398046494	0.770630955696106	0.7437337040901184	0.6402498483657837	0.678425133228302	0.6749704480171204	0.7221362590789795	0.7245560884475708	0.6636452674865723	0.7629733681678772	0.7572308778762817	0.1516952365636826	0.722314178943634	0.6676008105278015	0.7596520185470581	0.7149723768234253	0.6838763356208801	0.5965855717658997	0.6830964684486389	0.6460254192352295	0.6772816181182861	0.657550573348999	0.6739470362663269	0.5569590926170349
L1S76	0.06402049213647842	0.1055129989981651	0.08436071127653122	0.1206858605146408	0.1206506863236427	0.09715735912322998	0	0.1472086012363434	0.8150190114974976	0.7876672744750977	0.6846786737442017	0.7232202887535095	0.7153006792068481	0.7670836448669434	0.7683264017105103	0.708031177520752	0.8062280416488647	0.801027238368988	0.0936773344874382	0.7669810056686401	0.7101539373397827	0.8040775060653687	0.7555685043334961	0.7235753536224365	0.6363662481307983	0.7236471176147461	0.6854817867279053	0.7178767919540405	0.6973780393600464	0.7137980461120605	0.5961533784866333
L1S8	0.1640720218420029	0.1295163631439209	0.1735515892505646	0.2093594819307327	0.2350528538227081	0.1761393398046494	0.1472086012363434	0	0.8072459101676941	0.781213641166687	0.6767738461494446	0.7132812142372131	0.715234100818634	0.7567276954650879	0.7619550228118896	0.7030594944953918	0.8020126223564148	0.7949416041374207	0.1523750424385071	0.7612864971160889	0.7052761316299438	0.7885754108428955	0.7547454833984375	0.7243542075157166	0.6358188986778259	0.7238746285438538	0.6853999495506287	0.7167173624038696	0.6979024410247803	0.7125076651573181	0.5972530245780945
L2S155	0.8024230003356934	0.8510825634002686	0.8428914546966553	0.8293402194976807	0.7934386134147644	0.770630955696106	0.8150190114974976	0.8072459101676941	0	0.2224134206771851	0.3268474638462067	0.3533217310905457	0.4078225791454315	0.2643947899341583	0.2321300357580185	0.42539182305336	0.132221058011055	0.2152837812900543	0.8470975160598755	0.2575908899307251	0.3562101125717163	0.2475135773420334	0.4437693059444427	0.4426484704017639	0.6562482118606567	0.4320696294307709	0.5127017498016357	0.4172981679439545	0.4260817468166351	0.4047751128673553	0.6469092965126038
L2S175	0.7662220001220703	0.8181831240653992	0.8142573833465576	0.8005385398864746	0.7645211219787598	0.7437337040901184	0.7876672744750977	0.781213641166687	0.2224134206771851	0	0.4062337577342987	0.4010891914367676	0.3585706949234009	0.2062851190567017	0.2029715925455093	0.3440819978713989	0.2473400384187698	0.1062866598367691	0.8171544075012207	0.1849444061517715	0.2429863512516022	0.2753628790378571	0.3845784664154053	0.3498358428478241	0.582566499710083	0.3266676366329193	0.4673917591571808	0.3792742192745209	0.4067382216453552	0.3692676424980164	0.6104477643966675
