	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S294	L3S313	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
L1S105	0.0	0.6763372620126926	0.6446056210335449	0.6754306436990027	0.7126019945602902	0.31640979147778786	0.3028105167724388	0.4496826835902085	0.9909338168631007	0.9918404351767905	0.9827742520398912	0.9782411604714415	0.99909338168631	0.9764279238440616	0.9836808703535811	0.9945602901178604	1.0	0.9818676337262012	0.7262012692656392	0.9836808703535811	0.9927470534904805	0.9927470534904805	0.9945602901178604	0.9927470534904805	1.0	1.0	1.0	0.99909338168631	0.99909338168631	0.99909338168631	0.9945602901178604
L1S140	0.6763372620126926	0.0	0.3354487760652765	0.4442429737080689	0.3943789664551224	0.7388939256572983	0.7053490480507706	0.6790571169537625	0.9963735267452403	0.9981867633726201	0.9909338168631007	0.9900271985494107	0.99909338168631	0.9728014505893019	0.9900271985494107	0.99909338168631	0.99909338168631	0.9936536718041704	0.24932003626473254	0.9882139619220308	0.9981867633726201	0.9945602901178604	1.0	0.9927470534904805	1.0	0.9981867633726201	1.0	0.9972801450589301	0.9981867633726201	0.9981867633726201	0.9981867633726201
L1S208	0.6446056210335449	0.3354487760652765	0.0	0.2810516772438803	0.2611060743427017	0.757026291931097	0.7361740707162284	0.7842248413417952	0.9936536718041704	0.9945602901178604	0.986400725294651	0.9900271985494107	0.9963735267452403	0.9592021758839528	0.985494106980961	0.9945602901178604	0.9945602901178604	0.9900271985494107	0.3825929283771532	0.985494106980961	0.9945602901178604	0.9945602901178604	0.9963735267452403	0.9891205802357208	0.9963735267452403	0.9945602901178604	0.9963735267452403	0.9945602901178604	0.9945602901178604	0.9945602901178604	0.9945602901178604
L1S257	0.6754306436990027	0.4442429737080689	0.2810516772438803	0.0	0.2991840435176791	0.7461468721668177	0.742520398912058	0.8068902991840435	0.9981867633726201	0.99909338168631	0.9909338168631007	0.9936536718041704	1.0	0.970081595648232	0.9900271985494107	0.99909338168631	0.99909338168631	0.9945602901178604	0.46237533998186764	0.9900271985494107	0.99909338168631	0.99909338168631	1.0	0.9927470534904805	1.0	0.9981867633726201	1.0	0.9972801450589301	0.9981867633726201	0.9981867633726201	0.9981867633726201
L1S281	0.7126019945602902	0.3943789664551224	0.2611060743427017	0.2991840435176791	0.0	0.7379873073436083	0.7252946509519492	0.8331822302810517	1.0	1.0	0.9918404351767905	0.9927470534904805	1.0	0.958295557570263	0.9909338168631007	1.0	1.0	0.9954669084315503	0.4397098821396192	0.9909338168631007	1.0	1.0	1.0	0.9927470534904805	1.0	0.9981867633726201	1.0	0.9972801450589301	0.9981867633726201	0.9981867633726201	0.9981867633726201
L1S57	0.31640979147778786	0.7388939256572983	0.757026291931097	0.7461468721668177	0.7379873073436083	0.0	0.22846781504986402	0.41795104261106075	0.9954669084315503	0.9981867633726201	0.9836808703535811	0.9845874886672711	1.0	0.9755213055303718	0.9845874886672711	1.0	1.0	0.9900271985494107	0.7615593834995467	0.985494106980961	1.0	1.0	0.9945602901178604	0.9927470534904805	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L1S76	0.3028105167724388	0.7053490480507706	0.7361740707162284	0.742520398912058	0.7252946509519492	0.22846781504986402	0.0	0.3526745240253853	0.9954669084315503	0.9981867633726201	0.9836808703535811	0.9782411604714415	1.0	0.9773345421577516	0.9845874886672711	1.0	1.0	0.9900271985494107	0.757026291931097	0.985494106980961	1.0	1.0	0.9945602901178604	0.9927470534904805	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L1S8	0.4496826835902085	0.6790571169537625	0.7842248413417952	0.8068902991840435	0.8331822302810517	0.41795104261106075	0.3526745240253853	0.0	0.9909338168631007	0.9927470534904805	0.9791477787851315	0.9836808703535811	0.9945602901178604	0.9873073436083409	0.9800543970988214	0.9954669084315503	0.9954669084315503	0.985494106980961	0.729827742520399	0.9800543970988214	0.9945602901178604	0.9963735267452403	0.9891205802357208	0.9873073436083409	0.9945602901178604	0.9945602901178604	0.9945602901178604	0.9945602901178604	0.9945602901178604	0.9945602901178604	0.9945602901178604
L2S155	0.9909338168631007	0.9963735267452403	0.9936536718041704	0.9981867633726201	1.0	0.9954669084315503	0.9954669084315503	0.9909338168631007	0.0	0.5920217588395286	0.8159564823209429	0.7842248413417952	0.8948322756119673	0.6790571169537625	0.6699909338168631	0.7760652765185857	0.3499546690843155	0.5829555757026292	0.9972801450589301	0.6545784224841342	0.7398005439709883	0.699909338168631	0.8413417951042611	0.8948322756119673	0.928377153218495	0.8549410698096102	0.9193109700815957	0.9165911151405258	0.9555757026291931	0.8794197642792384	0.9057116953762466
L2S175	0.9918404351767905	0.9981867633726201	0.9945602901178604	0.99909338168631	1.0	0.9981867633726201	0.9981867633726201	0.9927470534904805	0.5920217588395286	0.0	0.8159564823209429	0.7615593834995467	0.8422484134179511	0.5666364460562103	0.5557570262919311	0.7398005439709883	0.6654578422484134	0.329102447869447	0.9981867633726201	0.5249320036264733	0.599274705349048	0.6917497733454215	0.8105167724388033	0.8386219401631912	0.8694469628286491	0.7987307343608341	0.8676337262012692	0.85766092475068	0.9129646418857661	0.8304623753399819	0.8513145965548504
