	observed_features
ERR1458715	64
ERR1458739	85
ERR1458746	137
ERR1458747	112
ERR1458750	160
ERR1458752	145
ERR1458765	167
ERR1458793	251
ERR1458809	207
ERR1458829	217
ERR1458831	61
ERR1458855	135
ERR1458857	58
ERR1458868	182
ERR1458871	100
ERR1458881	63
ERR1458883	151
ERR1458893	175
ERR1458899	209
ERR1458906	148
ERR1458915	118
ERR1458929	28
ERR1458931	117
ERR1458936	256
ERR1458937	119
ERR1458942	103
ERR1458974	128
ERR1458980	125
ERR1458992	231
ERR1458999	203
ERR1459008	296
ERR1459017	150
ERR1459028	107
ERR1459033	145
ERR1459034	209
ERR1459035	275
ERR1459037	205
ERR1459045	184
ERR1459063	201
ERR1459072	127
ERR1459099	188
ERR1459109	83
ERR1459110	44
ERR1459123	151
ERR1459124	58
ERR1459126	111
ERR1459131	108
ERR1459142	152
ERR1459146	125
ERR1459147	38
ERR1459152	114
ERR1459161	131
ERR1459162	73
ERR1459172	96
ERR1459203	116
ERR1459204	163
ERR2056783	216
ERR2056799	245
