	shannon_entropy
ERR1458715	3.0219140352744582
ERR1458739	3.7142227009629734
ERR1458746	5.329753546803498
ERR1458747	4.663049178174876
ERR1458750	4.3706323180480435
ERR1458752	5.831339402684926
ERR1458765	5.1127991757208795
ERR1458793	6.513778635418408
ERR1458809	6.17549253630054
ERR1458829	6.09914414850269
ERR1458831	2.4311102264097295
ERR1458855	5.456140029473564
ERR1458857	4.218584568830332
ERR1458868	5.755168250104895
ERR1458871	4.456568138497786
ERR1458881	3.096445406359528
ERR1458883	5.853795463435958
ERR1458893	5.572280317644362
ERR1458899	6.352011879177251
ERR1458906	4.999295859084491
ERR1458915	4.100181273904404
ERR1458929	2.3032609501709445
ERR1458931	4.77513070388562
ERR1458936	6.427062917942124
ERR1458937	4.823429209139589
ERR1458942	4.723735082212848
ERR1458974	4.185543162689058
ERR1458980	4.369424986584285
ERR1458992	5.967809916385421
ERR1458999	6.203722029566358
ERR1459008	6.937894260054482
ERR1459017	4.481628932399406
ERR1459028	3.8283698360814067
ERR1459033	5.399553497969389
ERR1459034	6.117026988046167
ERR1459035	6.349369766288569
ERR1459037	6.276735749571951
ERR1459045	5.753764240604643
ERR1459063	5.847774844979971
ERR1459072	5.593470678813353
ERR1459099	6.115887175753852
ERR1459109	4.015041722431318
ERR1459110	0.7675230455889959
ERR1459123	5.514792575048086
ERR1459124	2.4411526735957825
ERR1459126	5.439449125408061
ERR1459131	5.072830433009903
ERR1459142	5.147195929138883
ERR1459146	4.82044872469403
ERR1459147	1.5199886053312976
ERR1459152	5.286942309166513
ERR1459161	4.802932851887254
ERR1459162	3.6096551417272082
ERR1459172	4.310615738291322
ERR1459203	4.026481636648574
ERR1459204	5.757189919196369
ERR2056783	5.620381325568196
ERR2056799	6.195304237927143
