	observed_features
ERR1080200	12
ERR1458698	129
ERR1458702	109
ERR1458706	83
ERR1458707	147
ERR1458708	133
ERR1458710	150
ERR1458713	73
ERR1458714	103
ERR1458715	62
ERR1458717	96
ERR1458718	60
ERR1458719	127
ERR1458720	113
ERR1458721	49
ERR1458722	38
ERR1458723	185
ERR1458724	68
ERR1458725	88
ERR1458726	111
ERR1458727	154
ERR1458728	120
ERR1458729	151
ERR1458731	103
ERR1458732	97
ERR1458733	112
ERR1458734	93
ERR1458735	43
ERR1458736	180
ERR1458737	220
ERR1458738	24
ERR1458739	82
ERR1458740	54
ERR1458741	85
ERR1458742	36
ERR1458743	147
ERR1458744	197
ERR1458746	125
ERR1458747	103
ERR1458748	51
ERR1458749	96
ERR1458750	147
ERR1458751	157
ERR1458752	139
ERR1458753	83
ERR1458755	236
ERR1458756	115
ERR1458757	117
ERR1458758	162
ERR1458759	176
ERR1458760	137
ERR1458761	60
ERR1458762	55
ERR1458765	150
ERR1458770	171
ERR1458771	109
ERR1458772	105
ERR1458773	104
ERR1458774	93
ERR1458777	75
ERR1458781	180
ERR1458782	204
ERR1458783	76
ERR1458784	133
ERR1458785	108
ERR1458787	37
ERR1458789	145
ERR1458792	105
ERR1458793	224
ERR1458794	127
ERR1458795	165
ERR1458797	156
ERR1458798	99
ERR1458799	65
ERR1458800	53
ERR1458801	61
ERR1458806	189
ERR1458808	239
ERR1458809	188
ERR1458811	46
ERR1458812	175
ERR1458813	131
ERR1458814	195
ERR1458815	154
ERR1458816	45
ERR1458817	81
ERR1458818	144
ERR1458819	127
ERR1458820	46
ERR1458821	90
ERR1458822	122
ERR1458823	41
ERR1458824	92
ERR1458826	188
ERR1458827	117
ERR1458828	125
ERR1458829	187
ERR1458831	56
ERR1458832	142
ERR1458833	20
ERR1458834	56
ERR1458835	164
ERR1458836	147
ERR1458837	145
ERR1458838	211
ERR1458839	44
ERR1458840	61
ERR1458841	54
ERR1458842	92
ERR1458843	103
ERR1458844	184
ERR1458845	37
ERR1458846	41
ERR1458847	122
ERR1458848	98
ERR1458849	175
ERR1458851	181
ERR1458852	187
ERR1458853	38
ERR1458854	122
ERR1458855	126
ERR1458856	24
ERR1458857	52
ERR1458858	64
ERR1458859	99
ERR1458860	116
ERR1458867	160
ERR1458868	162
ERR1458871	92
ERR1458875	121
ERR1458879	49
ERR1458880	33
ERR1458881	61
ERR1458882	101
ERR1458883	146
ERR1458885	112
ERR1458886	45
ERR1458889	112
ERR1458891	124
ERR1458892	58
ERR1458893	157
ERR1458896	84
ERR1458897	127
ERR1458898	137
ERR1458899	197
ERR1458901	98
ERR1458902	134
ERR1458903	57
ERR1458904	146
ERR1458905	181
ERR1458906	135
ERR1458907	123
ERR1458908	188
ERR1458909	124
ERR1458910	131
ERR1458911	95
ERR1458912	76
ERR1458913	145
ERR1458914	157
ERR1458915	108
ERR1458916	163
ERR1458917	78
ERR1458918	201
ERR1458919	159
ERR1458920	176
ERR1458921	94
ERR1458922	109
ERR1458923	109
ERR1458924	199
ERR1458925	193
ERR1458926	64
ERR1458927	32
ERR1458928	47
ERR1458929	26
ERR1458930	199
ERR1458931	111
ERR1458932	175
ERR1458933	122
ERR1458935	80
ERR1458936	228
ERR1458937	101
ERR1458938	227
ERR1458939	127
ERR1458940	46
ERR1458941	222
ERR1458942	91
ERR1458943	90
ERR1458944	104
ERR1458946	133
ERR1458947	64
ERR1458948	147
ERR1458949	95
ERR1458950	117
ERR1458951	77
ERR1458952	78
ERR1458953	86
ERR1458954	66
ERR1458955	147
ERR1458957	104
ERR1458958	23
