	observed_features
ERR1458715	66
ERR1458739	85
ERR1458746	139
ERR1458747	114
ERR1458750	162
ERR1458752	145
ERR1458765	169
ERR1458793	247
ERR1458809	219
ERR1458829	218
ERR1458831	61
ERR1458855	134
ERR1458857	59
ERR1458868	180
ERR1458871	103
ERR1458881	62
ERR1458883	154
ERR1458893	174
ERR1458899	216
ERR1458906	144
ERR1458915	118
ERR1458929	28
ERR1458931	117
ERR1458936	252
ERR1458937	119
ERR1458942	100
ERR1458974	130
ERR1458980	127
ERR1458992	227
ERR1458999	200
ERR1459008	297
ERR1459017	157
ERR1459028	108
ERR1459033	145
ERR1459034	208
ERR1459035	277
ERR1459037	207
ERR1459045	185
ERR1459063	197
ERR1459072	127
ERR1459099	187
ERR1459109	82
ERR1459110	42
ERR1459123	154
ERR1459124	58
ERR1459126	111
ERR1459131	109
ERR1459142	154
ERR1459146	125
ERR1459147	38
ERR1459152	112
ERR1459161	131
ERR1459162	74
ERR1459172	96
ERR1459203	120
ERR1459204	164
ERR2056783	219
ERR2056799	245
