	shannon_entropy
ERR1080200	2.4952923068084196
ERR1458698	5.424824372387666
ERR1458702	4.310284653990801
ERR1458706	4.138770445739529
ERR1458707	5.92860599326727
ERR1458708	4.964413581022559
ERR1458710	5.597459070948533
ERR1458713	4.276722236666084
ERR1458714	3.687882490914017
ERR1458715	3.1060380270165044
ERR1458717	5.199151772071763
ERR1458718	4.148325060783803
ERR1458719	5.12162252473485
ERR1458720	5.358957729267907
ERR1458721	3.85845095118249
ERR1458722	2.9359850939168006
ERR1458723	6.153938978710628
ERR1458724	4.084808637429151
ERR1458725	3.4467131632548536
ERR1458726	5.252504340778341
ERR1458727	5.375699497634577
ERR1458728	4.073291991039872
ERR1458729	5.789661646810748
ERR1458731	4.338143907986543
ERR1458732	4.067511672373635
ERR1458733	4.211772680618822
ERR1458734	5.088113431158955
ERR1458735	3.1025564146061497
ERR1458736	5.926786237342983
ERR1458737	6.548057501705866
ERR1458738	1.0339993916138033
ERR1458739	3.69426048922792
ERR1458740	3.9148073177607787
ERR1458741	4.3061707618268255
ERR1458742	2.8712936769284787
ERR1458743	5.862749315524426
ERR1458744	6.3730409702842765
ERR1458746	5.297174278419803
ERR1458747	4.608526069542233
ERR1458748	2.5774923179307767
ERR1458749	4.465328239784699
ERR1458750	4.518611993660966
ERR1458751	4.068345046140195
ERR1458752	5.832069232770203
ERR1458753	3.988747089722103
ERR1458755	6.417561510623014
ERR1458756	4.2867850457934304
ERR1458757	4.920070907328406
ERR1458758	5.69046101060238
ERR1458759	6.019568223961487
ERR1458760	5.289423316925089
ERR1458761	3.7419617794092526
ERR1458762	4.309471920212353
ERR1458765	5.135485792763674
ERR1458770	5.062424683975098
ERR1458771	4.54331926400985
ERR1458772	4.60799508829427
ERR1458773	5.106384809386415
ERR1458774	4.274161918149118
ERR1458777	4.810850496451321
ERR1458781	5.568902038126815
ERR1458782	5.886086412294537
ERR1458783	4.837652395595654
ERR1458784	5.653210902057336
ERR1458785	4.378677271617937
ERR1458787	2.721245230428654
ERR1458789	5.649150029475342
ERR1458792	4.896808188412897
ERR1458793	6.506207028921764
ERR1458794	4.834082353359816
ERR1458795	5.345123353402128
ERR1458797	5.768026362651253
ERR1458798	4.637062521258327
ERR1458799	4.258301657707513
ERR1458800	4.096953659048927
ERR1458801	3.6042637991435615
ERR1458806	6.046079550874974
ERR1458808	6.574660495913933
ERR1458809	6.123426321063142
ERR1458811	2.0382183522746233
ERR1458812	5.4419716706662715
ERR1458813	5.943056451143394
ERR1458814	6.025802256730805
ERR1458815	5.386913697500094
ERR1458816	2.7431407720246845
ERR1458817	4.234624530259946
ERR1458818	5.7957582277891015
ERR1458819	4.942404602435197
ERR1458820	3.713168485517988
ERR1458821	5.285294777810757
ERR1458822	4.4836074844687595
ERR1458823	2.712779531180261
ERR1458824	5.212446172768189
ERR1458826	6.023209641520569
ERR1458827	5.9342282722641855
ERR1458828	4.572371429384462
ERR1458829	5.994044088804204
ERR1458831	2.4124518462634903
ERR1458832	5.547401583260117
ERR1458833	2.291656916164407
ERR1458834	4.105153406073645
ERR1458835	5.337822881043978
ERR1458836	4.986075467041975
ERR1458837	3.8109677235131527
ERR1458838	6.3407308033107785
ERR1458839	3.6918800438467136
ERR1458840	3.259821401243725
ERR1458841	4.020507488621886
ERR1458842	4.35680715939868
ERR1458843	4.987325507153427
ERR1458844	5.4710533799875405
ERR1458845	2.0174039117190787
ERR1458846	3.7324315152204433
ERR1458847	5.8441229868363145
ERR1458848	3.8383349962052193
ERR1458849	6.225795454480884
ERR1458851	5.99962293485104
ERR1458852	5.561034007492556
ERR1458853	3.4077579643473963
ERR1458854	5.188097894470493
ERR1458855	5.415809832761129
ERR1458856	3.0476619830776532
ERR1458857	4.212875554246624
ERR1458858	4.221592397547239
ERR1458859	4.407910051643143
ERR1458860	4.8085242456585435
ERR1458867	5.714918886404519
ERR1458868	5.840708249804723
ERR1458871	4.464477306325951
ERR1458875	5.293133144876262
ERR1458879	3.0059498822951474
ERR1458880	2.897836019136472
ERR1458881	3.119204162401641
ERR1458882	4.92614693448436
ERR1458883	5.847821446698453
ERR1458885	4.061057984872261
