	shannon_entropy
L1S105	3.901083192663429
L1S140	3.7167622668207447
L1S208	4.437079103962169
L1S257	4.608046458987777
L1S281	4.546803575343214
L1S57	4.2815957848723025
L1S76	3.641417002157202
L1S8	3.2338761169561576
L2S155	5.070817494777087
L2S175	4.902251131584482
L2S204	4.379584746039187
L2S222	6.384720202338422
L2S240	3.7218423308518025
L2S309	4.659562140917864
L2S357	4.491235683279007
L2S382	5.866092635110663
L3S294	4.336269902124369
L3S313	4.462292099356284
L3S378	3.568934518805808
L4S112	5.209399483359316
L4S137	5.327086606686103
L4S63	5.992368786737326
L5S104	3.6762810601697624
L5S155	3.1425442392749954
L5S174	3.3377687808415786
L5S203	3.6839342849195034
L5S222	3.368820427624634
L5S240	3.311804815497194
L6S20	3.00719073723656
L6S68	3.3653414751528548
L6S93	4.136302172937525
