	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S357	L2S382	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
L1S105	0.0	0.6759259259259259	0.6240740740740741	0.6888888888888889	0.7246913580246913	0.31666666666666665	0.29444444444444445	0.4469135802469136	0.9895061728395061	0.991358024691358	0.9876543209876543	0.9765432098765432	0.9981481481481481	0.9888888888888889	0.9938271604938271	0.9833333333333333	0.991358024691358	0.9907407407407407	0.9944444444444445	0.9944444444444445	1.0	1.0	1.0	0.9987654320987654	0.9987654320987654	0.9987654320987654	0.9938271604938271
L1S140	0.6759259259259259	0.0	0.35246913580246914	0.43333333333333335	0.4104938271604938	0.7345679012345679	0.7086419753086419	0.6814814814814815	0.9932098765432099	0.9962962962962963	0.9932098765432099	0.9864197530864197	0.9969135802469136	0.991358024691358	0.9969135802469136	0.987037037037037	0.9950617283950617	0.9907407407407407	1.0	0.9944444444444445	1.0	0.9975308641975309	1.0	0.9938271604938271	0.9993827160493827	0.9981481481481481	0.9987654320987654
L1S208	0.6240740740740741	0.35246913580246914	0.0	0.254320987654321	0.2820987654320988	0.7395061728395061	0.7123456790123457	0.7981481481481482	0.9944444444444445	0.9962962962962963	0.9932098765432099	0.9895061728395061	0.9969135802469136	0.991358024691358	0.9969135802469136	0.9901234567901235	0.9969135802469136	0.9969135802469136	0.9975308641975309	0.9919753086419754	0.9975308641975309	0.9950617283950617	0.9975308641975309	0.9919753086419754	0.9969135802469136	0.995679012345679	0.9962962962962963
L1S257	0.6888888888888889	0.43333333333333335	0.254320987654321	0.0	0.29814814814814816	0.7580246913580246	0.7487654320987654	0.8246913580246914	0.9962962962962963	0.9975308641975309	0.9944444444444445	0.9919753086419754	0.9993827160493827	0.9925925925925926	0.9981481481481481	0.991358024691358	0.9981481481481481	0.9981481481481481	1.0	0.9944444444444445	1.0	0.9975308641975309	1.0	0.9938271604938271	0.9993827160493827	0.9981481481481481	0.9987654320987654
L1S281	0.7246913580246913	0.4104938271604938	0.2820987654320988	0.29814814814814816	0.0	0.7475308641975309	0.7197530864197531	0.8654320987654321	0.9981481481481481	0.9993827160493827	0.9962962962962963	0.9907407407407407	0.9993827160493827	0.9944444444444445	1.0	0.9932098765432099	1.0	1.0	1.0	0.9944444444444445	1.0	0.9975308641975309	1.0	0.9938271604938271	0.9993827160493827	0.9981481481481481	0.9987654320987654
L1S57	0.31666666666666665	0.7345679012345679	0.7395061728395061	0.7580246913580246	0.7475308641975309	0.0	0.22962962962962963	0.38950617283950617	0.9938271604938271	0.995679012345679	0.9882716049382716	0.9845679012345679	0.9981481481481481	0.9888888888888889	0.9987654320987654	0.987037037037037	0.9987654320987654	0.9987654320987654	0.9932098765432099	0.9932098765432099	0.9987654320987654	0.9987654320987654	0.9987654320987654	0.9987654320987654	0.9987654320987654	0.9987654320987654	0.9987654320987654
L1S76	0.29444444444444445	0.7086419753086419	0.7123456790123457	0.7487654320987654	0.7197530864197531	0.22962962962962963	0.0	0.37037037037037035	0.9950617283950617	0.9969135802469136	0.9895061728395061	0.980246913580247	0.9993827160493827	0.9901234567901235	1.0	0.9882716049382716	1.0	1.0	0.9944444444444445	0.9944444444444445	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L1S8	0.4469135802469136	0.6814814814814815	0.7981481481481482	0.8246913580246914	0.8654320987654321	0.38950617283950617	0.37037037037037035	0.0	0.9895061728395061	0.9907407407407407	0.9851851851851852	0.9839506172839506	0.9932098765432099	0.9845679012345679	0.995679012345679	0.9820987654320987	0.9938271604938271	0.9962962962962963	0.9882716049382716	0.9882716049382716	0.9938271604938271	0.9938271604938271	0.9944444444444445	0.9938271604938271	0.9938271604938271	0.9938271604938271	0.9938271604938271
L2S155	0.9895061728395061	0.9932098765432099	0.9944444444444445	0.9962962962962963	0.9981481481481481	0.9938271604938271	0.9950617283950617	0.9895061728395061	0.0	0.5950617283950618	0.8148148148148148	0.7919753086419753	0.8981481481481481	0.6666666666666666	0.7753086419753087	0.6617283950617284	0.7567901234567901	0.7018518518518518	0.8506172839506173	0.9018518518518519	0.9222222222222223	0.8611111111111112	0.9203703703703704	0.9117283950617284	0.9432098765432099	0.8975308641975308	0.8950617283950617
L2S175	0.991358024691358	0.9962962962962963	0.9962962962962963	0.9975308641975309	0.9993827160493827	0.995679012345679	0.9969135802469136	0.9907407407407407	0.5950617283950618	0.0	0.8104938271604938	0.7703703703703704	0.8537037037037037	0.5364197530864198	0.7333333333333333	0.5376543209876543	0.6061728395061728	0.6888888888888889	0.8271604938271605	0.8462962962962963	0.8654320987654321	0.7944444444444444	0.8790123456790123	0.858641975308642	0.8981481481481481	0.854320987654321	0.845679012345679
L2S204	0.9876543209876543	0.9932098765432099	0.9932098765432099	0.9944444444444445	0.9962962962962963	0.9882716049382716	0.9895061728395061	0.9851851851851852	0.8148148148148148	0.8104938271604938	0.0	0.7549382716049383	0.9518518518518518	0.6876543209876543	0.9049382716049382	0.741358024691358	0.8820987654320988	0.7438271604938271	0.9253086419753086	0.9679012345679012	0.9679012345679012	0.9580246913580247	0.9574074074074074	0.9592592592592593	0.9592592592592593	0.95	0.9493827160493827
L2S222	0.9765432098765432	0.9864197530864197	0.9895061728395061	0.9919753086419754	0.9907407407407407	0.9845679012345679	0.980246913580247	0.9839506172839506	0.7919753086419753	0.7703703703703704	0.7549382716049383	0.0	0.9407407407407408	0.8271604938271605	0.8790123456790123	0.7876543209876543	0.8530864197530864	0.7080246913580247	0.9469135802469136	0.9549382716049383	0.9549382716049383	0.9438271604938272	0.9438271604938272	0.9438271604938272	0.9469135802469136	0.9376543209876543	0.9382716049382716
L2S240	0.9981481481481481	0.9969135802469136	0.9969135802469136	0.9993827160493827	0.9993827160493827	0.9981481481481481	0.9993827160493827	0.9932098765432099	0.8981481481481481	0.8537037037037037	0.9518518518518518	0.9407407407407408	0.0	0.8203703703703704	0.8537037037037037	0.8179012345679012	0.7870370370370371	0.9061728395061729	0.3962962962962963	0.45123456790123456	0.5179012345679013	0.4339506172839506	0.4666666666666667	0.1382716049382716	0.32222222222222224	0.22777777777777777	0.39382716049382716
