	shannon_entropy
ERR1458715	2.9866140981786398
ERR1458739	3.6769668553534207
ERR1458746	5.300943814841468
ERR1458747	4.623346703664348
ERR1458750	4.411883017247214
ERR1458752	5.835917295458776
ERR1458765	5.135192143631852
ERR1458793	6.532144381888299
ERR1458809	6.208078040715821
ERR1458829	6.080890337111743
ERR1458831	2.4361053220895412
ERR1458855	5.472768259649585
ERR1458857	4.25045602308497
ERR1458868	5.788152173062279
ERR1458871	4.4329469388853076
ERR1458881	3.135344731546177
ERR1458883	5.856899953781545
ERR1458893	5.547486988382232
ERR1458899	6.333392513852026
ERR1458906	4.9849068651198865
ERR1458915	4.035689656140161
ERR1458929	2.339297227255246
ERR1458931	4.78557303678677
ERR1458936	6.367537853943979
ERR1458937	4.814571236532384
ERR1458942	4.766901480126897
ERR1458974	4.130381027698219
ERR1458980	4.384329711261643
ERR1458992	5.959338877725858
ERR1458999	6.137185988879267
ERR1459008	6.917075055539568
ERR1459017	4.501451693560299
ERR1459028	3.836856175850865
ERR1459033	5.405055034257182
ERR1459034	6.074132334359262
ERR1459035	6.352561824056388
ERR1459037	6.252335738388273
ERR1459045	5.773972178741414
ERR1459063	5.8131572551154225
ERR1459072	5.560155559407093
ERR1459099	6.087172625672395
ERR1459109	4.008054835124767
ERR1459110	0.7766026757369616
ERR1459123	5.525051589147711
ERR1459124	2.4347764653732193
ERR1459126	5.419255352975821
ERR1459131	5.05433663709534
ERR1459142	5.143605556963003
ERR1459146	4.825960780075624
ERR1459147	1.536223724672502
ERR1459152	5.322201000599718
ERR1459161	4.85323705249572
ERR1459162	3.6124344016572176
ERR1459172	4.30179299571091
ERR1459203	3.984045839855848
ERR1459204	5.755476527512965
ERR2056783	5.605053656799218
ERR2056799	6.124174408942398
