	observed_features
ERR1458715	64
ERR1458739	85
ERR1458746	138
ERR1458747	111
ERR1458750	156
ERR1458752	145
ERR1458765	169
ERR1458793	252
ERR1458809	209
ERR1458829	217
ERR1458831	62
ERR1458855	135
ERR1458857	62
ERR1458868	181
ERR1458871	101
ERR1458881	63
ERR1458883	154
ERR1458893	172
ERR1458899	211
ERR1458906	144
ERR1458915	117
ERR1458929	27
ERR1458931	117
ERR1458936	257
ERR1458937	115
ERR1458942	102
ERR1458974	129
ERR1458980	126
ERR1458992	232
ERR1458999	206
ERR1459008	292
ERR1459017	152
ERR1459028	110
ERR1459033	147
ERR1459034	202
ERR1459035	273
ERR1459037	210
ERR1459045	185
ERR1459063	198
ERR1459072	127
ERR1459099	189
ERR1459109	83
ERR1459110	44
ERR1459123	150
ERR1459124	58
ERR1459126	111
ERR1459131	109
ERR1459142	154
ERR1459146	125
ERR1459147	38
ERR1459152	116
ERR1459161	130
ERR1459162	74
ERR1459172	96
ERR1459203	118
ERR1459204	162
ERR2056783	216
ERR2056799	246
