	simpson
ERR1074192	0.0
ERR1074194	0.4970414201183432
ERR1074354	0.0
ERR1074391	0.6851851851851851
ERR1074452	0.0
ERR1074528	0.5397923875432526
ERR1077522	0.6200378071833648
ERR1080200	0.77718367479226
ERR1249707	0.49382716049382713
ERR1249727	0.0
ERR1249764	0.0
ERR1249788	0.5121107266435986
ERR1249848	0.0
ERR1249860	0.75
ERR1249877	0.4444444444444444
ERR1249937	0.782608695652174
ERR1249980	0.0
ERR1250001	0.0
ERR1250003	0.0
ERR1250047	0.0
ERR1250050	0.0
ERR1250068	0.537037037037037
ERR1250101	0.0
ERR1250522	0.0
ERR1250577	0.3046875
ERR1250578	0.0
ERR1250623	0.0
ERR1250624	0.0
ERR1315807	0.5502136752136753
ERR1315860	0.9482735575852083
ERR1315862	0.2777777777777777
ERR1315873	0.7301579260647661
ERR1315923	0.7834869334679965
ERR1315932	0.42665816326530615
ERR1315944	0.48
ERR1315964	0.0
ERR1315970	0.6484235574063058
ERR1315992	0.0
ERR1316014	0.6484375
ERR1316021	0.6465028355387523
ERR1316031	0.8739940828402366
ERR1316197	0.0
ERR1458698	0.9474277769128171
ERR1458701	0.8582766439909296
ERR1458702	0.8367690487062432
ERR1458706	0.8610348768869254
ERR1458707	0.9632517199257368
ERR1458708	0.8939623427221385
ERR1458709	0.6305343918162929
ERR1458710	0.9560923195746898
ERR1458711	0.8847649856207034
ERR1458713	0.889173551987416
ERR1458714	0.7356329159692655
ERR1458715	0.6811415063849822
ERR1458717	0.9453695630640877
ERR1458718	0.8981614984579656
ERR1458719	0.9276940520281965
ERR1458720	0.9578951756609124
ERR1458721	0.8777265209385331
ERR1458722	0.7658854316408958
ERR1458723	0.9682746460793688
ERR1458724	0.8677677840023784
ERR1458725	0.8038618284689576
ERR1458726	0.9358677561127947
ERR1458727	0.9343859598555853
ERR1458728	0.7552904059150753
ERR1458729	0.961247561117646
ERR1458731	0.8288391778410886
ERR1458732	0.8458689869949272
ERR1458733	0.7951306897452189
ERR1458734	0.9488626224328325
ERR1458735	0.7449157672026501
ERR1458736	0.9629601903741327
ERR1458737	0.9766685932714484
ERR1458738	0.2687929363807473
ERR1458739	0.7758035316103549
ERR1458740	0.8759856314220326
ERR1458741	0.8887932354042903
ERR1458742	0.7915625091558948
ERR1458743	0.9682558778782252
ERR1458744	0.9765830030552914
ERR1458746	0.9507391630343565
ERR1458747	0.9077384968636425
ERR1458748	0.6430335015936701
ERR1458749	0.9178589802828845
ERR1458750	0.8022485120947183
ERR1458751	0.8017919156264174
ERR1458752	0.9636840731589122
ERR1458753	0.8311783876315841
ERR1458755	0.9773913077167645
ERR1458756	0.8031438369954853
ERR1458757	0.9276597160511257
ERR1458758	0.9557284561893722
ERR1458759	0.9739276840302094
ERR1458760	0.9452463453134322
ERR1458761	0.874421364668662
ERR1458762	0.9283472832982359
ERR1458765	0.9011510457726966
ERR1458770	0.8837654081320979
ERR1458771	0.9045687695682078
ERR1458772	0.9045092323978658
ERR1458773	0.9408210937588355
ERR1458774	0.9026997599268421
ERR1458777	0.9480411564782776
ERR1458781	0.9539710768114376
ERR1458782	0.9496602134268731
ERR1458783	0.9402983157365965
ERR1458784	0.9593047783335293
ERR1458785	0.8683575100485695
ERR1458786	0.0
ERR1458787	0.697487363344061
ERR1458789	0.9639326371973291
ERR1458792	0.9258904837852207
ERR1458793	0.9790090656577031
ERR1458794	0.8869747181618712
ERR1458795	0.9359607783370713
ERR1458797	0.9663006721780113
ERR1458798	0.9035783256543477
ERR1458799	0.9196800941293501
ERR1458800	0.897557295494375
ERR1458801	0.8567411444214798
ERR1458805	0.5534316940900399
ERR1458806	0.9706133731176192
ERR1458808	0.9804786049916105
ERR1458809	0.9736259274526345
ERR1458810	0.9570227186219282
ERR1458811	0.6121991506759334
ERR1458812	0.9251278863446621
ERR1458813	0.974034597938743
ERR1458814	0.9625840754507997
ERR1458815	0.9207609852940003
ERR1458816	0.7073916910278041
ERR1458817	0.8703021868798709
ERR1458818	0.9647625796485841
ERR1458819	0.9098070584244723
ERR1458820	0.880996270614587
ERR1458821	0.9570132956053715
ERR1458822	0.8499446004953217
ERR1458823	0.7291205597781893
ERR1458824	0.944175335151329
ERR1458826	0.9721845548147027
ERR1458827	0.9688515501381992
ERR1458828	0.8922500652527383
ERR1458829	0.9595635864136466
ERR1458830	0.9509951441821786
ERR1458831	0.572118429553601
ERR1458832	0.9631121914479043
ERR1458833	0.6947510382619484
ERR1458834	0.9133124019663417
ERR1458835	0.93799110582132
ERR1458836	0.9279849662804184
ERR1458837	0.7414703060275849
ERR1458838	0.9765698655883104
ERR1458839	0.8743508987985305
ERR1458840	0.7339256322884811
ERR1458841	0.890872028344536
ERR1458842	0.8952162731162063
ERR1458843	0.9351866337913312
ERR1458844	0.9304576744757896
ERR1458845	0.5064895873602221
ERR1458846	0.8803930488572438
ERR1458847	0.9736027659553809
ERR1458848	0.8256172133658528
ERR1458849	0.9754996686185573
ERR1458850	0.8612060546875
ERR1458851	0.9701471168059881
ERR1458852	0.9374508095554379
ERR1458853	0.8378282144143439
ERR1458854	0.9360344113913901
ERR1458855	0.9544989981659867
ERR1458856	0.8227895747599451
ERR1458857	0.9161042497968832
ERR1458858	0.8876849737222372
ERR1458859	0.8952219217826233
ERR1458860	0.9055617882830377
ERR1458861	0.011758006705977486
ERR1458862	0.6798225112312076
ERR1458863	0.7899408284023668
ERR1458864	0.8486574020972055
ERR1458865	0.929115906540149
ERR1458866	0.48623597247194494
ERR1458867	0.9539989966995964
ERR1458868	0.9497582930551317
ERR1458871	0.8960949662072023
ERR1458875	0.9504349398812902
ERR1458879	0.7735509657871481
ERR1458880	0.7933626478788369
ERR1458881	0.7480655714223596
ERR1458882	0.9317910445816961
ERR1458883	0.9668296247184135
ERR1458885	0.8217685724901183
ERR1458886	0.9217093935989764
ERR1458889	0.9548620394593433
ERR1458891	0.8623769420413555
ERR1458892	0.6738613736565406
ERR1458893	0.9478334418927332
ERR1458896	0.8071254351555885
ERR1458897	0.9386988285949281
ERR1458898	0.9626115206558263
ERR1458899	0.9771480965954121
ERR1458901	0.8677133463878304
ERR1458902	0.8787249737060727
ERR1458903	0.8717125526768311
ERR1458904	0.8732393381912449
ERR1458905	0.9833678880482049
ERR1458906	0.9144401381235306
ERR1458907	0.6740739369927193
ERR1458908	0.965423181247584
ERR1458909	0.9464145387304324
ERR1458910	0.8923584737921435
ERR1458911	0.7953136016846588
ERR1458912	0.845111047602163
ERR1458913	0.947136154920573
ERR1458914	0.9791606966198105
ERR1458915	0.8089989822446249
ERR1458916	0.9408538520891643
ERR1458917	0.8835072439537478
ERR1458918	0.9390633219660623
ERR1458919	0.9706295718208867
ERR1458920	0.9761943697765674
ERR1458921	0.8393450949764003
ERR1458922	0.8118527157501775
ERR1458923	0.9031672638379517
ERR1458924	0.9819300703357758
ERR1458925	0.9796369680408531
ERR1458926	0.8503001952342983
ERR1458927	0.7027093177172437
ERR1458928	0.8374265354884202
ERR1458929	0.6770606603032863
ERR1458930	0.9586419551330205
ERR1458931	0.8841270330104788
ERR1458932	0.9699569654947077
ERR1458933	0.8504429678963839
ERR1458934	0.8735308759417304
ERR1458935	0.8084490617940566
ERR1458936	0.970628864591229
ERR1458937	0.9215171088076155
ERR1458938	0.9859497095436718
ERR1458939	0.9251908218730293
ERR1458940	0.9195333653663735
ERR1458941	0.9832113960586459
ERR1458942	0.9183858171547188
ERR1458943	0.9098339053368087
ERR1458944	0.9658984238180558
ERR1458945	0.0
ERR1458946	0.9585034257366999
ERR1458947	0.7952224086032662
ERR1458948	0.9595873690533797
ERR1458949	0.9050228593057559
ERR1458950	0.9717038229109145
ERR1458951	0.6812131620782471
ERR1458952	0.8232350955282879
ERR1458953	0.875137202822974
ERR1458954	0.8046580098038312
ERR1458955	0.9587849396098
ERR1458956	0.9647298064830216
ERR1458957	0.9029584665033461
ERR1458958	0.7833623423077216
ERR1458959	0.40490611774465535
ERR1458960	0.974912987088508
ERR1458961	0.8546919685139618
ERR1458962	0.9645611348441618
ERR1458963	0.9502790369848476
ERR1458965	0.9065997331833278
ERR1458966	0.8304901367867251
ERR1458967	0.9494274386342529
ERR1458968	0.8403689722234735
ERR1458969	0.8338685187466063
ERR1458970	0.5831380325701581
ERR1458971	0.9327648045295802
ERR1458973	0.9539895596917323
ERR1458974	0.8115963343374311
ERR1458975	0.7748071998159642
ERR1458976	0.9280113543394366
ERR1458977	0.9558186013114288
ERR1458978	0.8676262474011689
ERR1458979	0.9783511376654053
ERR1458980	0.8568378656352599
ERR1458981	0.9637113151667459
ERR1458982	0.6820124777439768
ERR1458983	0.9608968548962091
ERR1458984	0.9249412669043158
ERR1458985	0.94820718299052
ERR1458986	0.8818339742747554
ERR1458987	0.9290873329653042
ERR1458988	0.9733873884646407
ERR1458989	0.8582879616252608
ERR1458990	0.0
ERR1458991	0.7840269454520155
ERR1458992	0.9590902642419479
ERR1458993	0.9689662135705566
ERR1458994	0.9390415234223047
ERR1458995	0.9131970260198723
ERR1458996	0.5477398117082193
ERR1458997	0.9551961792389353
ERR1458998	0.9641944086598648
ERR1458999	0.9735134934229037
ERR1459000	0.8702396493820848
ERR1459001	0.8481595190088702
ERR1459002	0.46875
ERR1459003	0.8848367058757168
