	observed_features
ERR1458715	49
ERR1458739	72
ERR1458746	110
ERR1458747	87
ERR1458752	131
ERR1458765	127
ERR1458793	184
ERR1458809	155
ERR1458829	165
ERR1458831	49
ERR1458855	118
ERR1458857	52
ERR1458868	143
ERR1458871	82
ERR1458881	51
ERR1458883	132
ERR1458893	137
ERR1458899	171
ERR1458906	111
ERR1458929	25
ERR1458931	105
ERR1458936	197
ERR1458937	92
ERR1458942	85
ERR1458974	103
ERR1458980	105
ERR1458999	149
ERR1459008	232
ERR1459017	103
ERR1459028	88
ERR1459033	123
ERR1459034	153
ERR1459035	202
ERR1459037	162
ERR1459045	164
ERR1459063	155
ERR1459072	105
ERR1459099	156
ERR1459109	75
ERR1459110	28
ERR1459123	119
ERR1459124	50
ERR1459126	99
ERR1459131	93
ERR1459142	122
ERR1459146	101
ERR1459147	34
ERR1459152	94
ERR1459161	108
ERR1459162	68
ERR1459172	83
ERR1459203	93
ERR1459204	135
ERR2056783	163
ERR2056799	179
