	ERR1458715	ERR1458739	ERR1458746	ERR1458747	ERR1458752	ERR1458765	ERR1458793	ERR1458809	ERR1458829	ERR1458831	ERR1458855	ERR1458857	ERR1458868	ERR1458871	ERR1458881	ERR1458883	ERR1458893	ERR1458899	ERR1458906	ERR1458929	ERR1458931	ERR1458936	ERR1458937	ERR1458942	ERR1458974	ERR1458980	ERR1458999	ERR1459008	ERR1459017	ERR1459028	ERR1459033	ERR1459034	ERR1459035	ERR1459037	ERR1459045	ERR1459063	ERR1459072	ERR1459099	ERR1459109	ERR1459110	ERR1459123	ERR1459124	ERR1459126	ERR1459131	ERR1459142	ERR1459146	ERR1459147	ERR1459152	ERR1459161	ERR1459162	ERR1459172	ERR1459203	ERR1459204	ERR2056783	ERR2056799
ERR1458715	0	0.3278054893016815	0.4789475202560425	0.5228626728057861	0.5142996311187744	0.3708416521549225	0.5233741402626038	0.4421542584896088	0.4469428360462189	0.2854892015457153	0.4870599508285522	0.3546554744243622	0.374326229095459	0.4053528308868408	0.2197470813989639	0.4499679505825043	0.4664677381515503	0.4903801381587982	0.593284010887146	0.236301377415657	0.3601381778717041	0.4642156064510345	0.4429269433021545	0.3430730402469635	0.3483419418334961	0.3506151437759399	0.4367238879203796	0.4526335895061493	0.3591846227645874	0.2862615585327148	0.4849259257316589	0.5109120607376099	0.4783035814762115	0.5045744776725769	0.4459851086139679	0.5311256647109985	0.4406529664993286	0.4778061509132385	0.466095507144928	0.2628406286239624	0.5050608515739441	0.2466195672750473	0.4773701727390289	0.4900799691677094	0.574381411075592	0.3589281141757965	0.2403858155012131	0.4530292451381683	0.3684223294258118	0.2991787493228912	0.2974342405796051	0.258844792842865	0.4146649539470673	0.5136303305625916	0.5342583656311035
ERR1458739	0.3278054893016815	0	0.319110631942749	0.3339427411556244	0.320771723985672	0.184311106801033	0.3555237650871277	0.2974556386470795	0.2793431580066681	0.1539272665977478	0.3165566325187683	0.5874612331390381	0.181628555059433	0.2181701064109802	0.1852404475212097	0.3146700263023376	0.2995578646659851	0.3255341053009033	0.4842445850372314	0.4308867156505585	0.2303770631551743	0.2826057970523834	0.2607287168502808	0.2454435229301453	0.153485044836998	0.1909471750259399	0.2194536924362183	0.3679898083209991	0.2891644537448883	0.2115892022848129	0.3027274310588837	0.279524952173233	0.2691859602928162	0.2977548837661743	0.3196817934513092	0.3674072325229645	0.3605289161205292	0.2805785834789276	0.294062614440918	0.2306691110134125	0.3206187784671783	0.1833037883043289	0.3042096197605133	0.2892813682556152	0.436555415391922	0.2198006361722946	0.2117087095975876	0.3413608074188232	0.2385404109954834	0.1206192597746849	0.177496537566185	0.2422515600919724	0.2922018766403198	0.3119730353355408	0.3768410086631775
ERR1458746	0.4789475202560425	0.319110631942749	0	0.208218052983284	0.2266036719083786	0.2793022394180298	0.2878355979919434	0.2081129550933838	0.2841542363166809	0.2728695869445801	0.1255574822425842	0.6305323839187622	0.2551687359809875	0.1819737106561661	0.3571783900260925	0.2794656455516815	0.264441579580307	0.2363990098237991	0.3939690291881561	0.5712171792984009	0.3120287954807281	0.1563596129417419	0.214755967259407	0.2740918099880219	0.23149473965168	0.2687808573246002	0.2854262590408325	0.3034860789775848	0.4058544635772705	0.2798721790313721	0.204708456993103	0.2702663540840149	0.2813915312290192	0.2570915818214417	0.2355014979839325	0.314081609249115	0.2370814383029938	0.2002469897270203	0.2028969526290894	0.4026708006858826	0.1317590773105621	0.3584176599979401	0.1753080040216446	0.2141516804695129	0.3462108969688416	0.2679513692855835	0.3710199296474457	0.1898174732923508	0.2319821119308472	0.2796647250652313	0.3522346317768097	0.3349036574363708	0.1983206570148468	0.2250449508428574	0.2547444105148315
ERR1458747	0.5228626728057861	0.3339427411556244	0.208218052983284	0	0.240959644317627	0.3143906891345978	0.2946361303329468	0.2857936918735504	0.2956686019897461	0.3237296044826508	0.2060171663761139	0.6758706569671631	0.2916810214519501	0.1816041171550751	0.3956788778305054	0.3224537372589111	0.2861810922622681	0.310686469078064	0.4182880818843842	0.6185519099235535	0.3646897375583649	0.2146004289388657	0.2638553380966187	0.2922999560832977	0.2922653555870056	0.2982224225997925	0.316746324300766	0.3254550695419312	0.4534831941127777	0.3320808112621307	0.2298964411020279	0.285054475069046	0.2949637472629547	0.2859759330749512	0.2967551052570343	0.3642690777778625	0.3031365275382996	0.2185978144407272	0.1587768495082855	0.4452417194843292	0.186638131737709	0.4013311266899109	0.2227447330951691	0.1905761212110519	0.3587661981582642	0.300981342792511	0.4168708622455597	0.248966172337532	0.2754005789756775	0.3240700364112854	0.3860524296760559	0.3799963891506195	0.2925989925861359	0.1765897274017334	0.3567533493041992
ERR1458752	0.5142996311187744	0.320771723985672	0.2266036719083786	0.240959644317627	0	0.250542014837265	0.1791197657585144	0.2180317640304565	0.2066135406494141	0.3009960651397705	0.2060342878103256	0.6565961241722107	0.2300346344709396	0.1942543089389801	0.390763908624649	0.3083731532096863	0.1687606126070023	0.1825900226831436	0.3842813968658447	0.6111626625061035	0.327605277299881	0.1793739050626755	0.2588199377059937	0.2694434523582458	0.2563150525093079	0.2673974335193634	0.2722148001194	0.2021242380142212	0.4085985124111176	0.3089144229888916	0.1719175279140472	0.2253940999507904	0.2197770029306412	0.1683388650417328	0.207119420170784	0.3229892551898956	0.2097043842077255	0.1640646755695343	0.2961057126522064	0.4373975396156311	0.2277204990386963	0.38579922914505	0.1432001143693924	0.2206225991249084	0.3008745610713959	0.2390382140874863	0.4121801257133484	0.2005892395973206	0.2390836179256439	0.302290141582489	0.3661768436431885	0.313387393951416	0.2528609931468964	0.2588167190551758	0.2741874754428864
ERR1458765	0.3708416521549225	0.184311106801033	0.2793022394180298	0.3143906891345978	0.250542014837265	0	0.2627845108509064	0.2311613261699677	0.1861338019371033	0.1632247567176819	0.2633337676525116	0.6008865833282471	0.1313589513301849	0.168359786272049	0.220304474234581	0.263197273015976	0.2117427587509155	0.2374148517847061	0.4154618680477142	0.4722838401794434	0.1735237091779709	0.2400029897689819	0.223761186003685	0.1819582879543304	0.1239747926592827	0.121415376663208	0.1972890645265579	0.2781248390674591	0.2585821449756622	0.185503751039505	0.2446819692850113	0.2565869987010956	0.213609054684639	0.2196862697601318	0.2440594583749771	0.3086811602115631	0.271598219871521	0.2400508970022202	0.3048558533191681	0.2759026885032654	0.2781459987163544	0.2235602885484695	0.2383269667625427	0.2730575799942017	0.3714950382709503	0.1337289065122604	0.2525788545608521	0.2871103882789612	0.1657971441745758	0.1451621651649475	0.1827913224697113	0.2123558819293976	0.2517126202583313	0.2808586657047272	0.3005977869033813
ERR1458793	0.5233741402626038	0.3555237650871277	0.2878355979919434	0.2946361303329468	0.1791197657585144	0.2627845108509064	0	0.2363738119602203	0.1810980588197708	0.3260496258735657	0.2820239067077637	0.6721404790878296	0.2869280874729156	0.2530584931373596	0.3997527956962585	0.332284152507782	0.1521775424480438	0.1944945454597473	0.4222477078437805	0.6188323497772217	0.3489722907543182	0.239685133099556	0.3381222784519196	0.2672989666461945	0.2857760787010193	0.2752141952514648	0.2857992649078369	0.1729905009269714	0.4080887734889984	0.3055602014064789	0.2002049088478088	0.2322884798049927	0.2039525806903839	0.1827265918254852	0.2285507023334503	0.3362363278865814	0.2142061293125153	0.2184878438711166	0.3666036128997803	0.4467309415340424	0.2923033833503723	0.3953424990177155	0.2019775360822678	0.2722227871417999	0.3222814500331879	0.2306340336799622	0.4189693629741669	0.2329965233802795	0.2526487708091736	0.3283866345882416	0.3547838926315308	0.3239982724189758	0.2992439270019531	0.313926100730896	0.3161410391330719
ERR1458809	0.4421542584896088	0.2974556386470795	0.2081129550933838	0.2857936918735504	0.2180317640304565	0.2311613261699677	0.2363738119602203	0	0.2234201431274414	0.2807841002941132	0.2001746594905853	0.5911845564842224	0.2202335894107819	0.2220657616853714	0.3604775369167328	0.2516376078128815	0.2369377911090851	0.2106312662363052	0.3765548765659332	0.5420275330543518	0.2956241965293884	0.152815967798233	0.2619601786136627	0.236706554889679	0.2169496864080429	0.2258250713348389	0.2506954967975616	0.2443353682756424	0.3848580121994019	0.267588198184967	0.2049152553081512	0.2145106345415115	0.2168399095535278	0.1990088820457458	0.1680341064929962	0.2956624329090118	0.2316240668296814	0.1659114807844162	0.2915396094322205	0.4124178290367126	0.208239734172821	0.3646957874298096	0.1801952123641968	0.2377345412969589	0.3562636971473694	0.221621036529541	0.3837221264839172	0.1830218434333801	0.2318962663412094	0.2758259177207947	0.3257123827934265	0.3298363089561462	0.1996982991695404	0.2614480555057526	0.2673299014568329
ERR1458829	0.4469428360462189	0.2793431580066681	0.2841542363166809	0.2956686019897461	0.2066135406494141	0.1861338019371033	0.1810980588197708	0.2234201431274414	0	0.2615329623222351	0.2811229228973389	0.6025274395942688	0.2129077315330505	0.2037303298711777	0.3208417892456055	0.2731215953826904	0.1408964246511459	0.1981706321239471	0.3861170411109924	0.54718416929245	0.2529069483280182	0.2233648598194122	0.2706967890262604	0.2000908106565475	0.2259570509195328	0.2091826051473618	0.193502351641655	0.181718647480011	0.3413883149623871	0.2304421067237854	0.1966837346553802	0.2393892109394073	0.169832170009613	0.1770104467868805	0.2044295966625214	0.3047488033771515	0.2103193998336792	0.2050240486860275	0.3354578614234924	0.3696088492870331	0.2852925062179565	0.3206540048122406	0.2007772475481033	0.2467523217201233	0.3147719502449036	0.1543504595756531	0.336866021156311	0.2428904920816422	0.2028116583824158	0.2602972388267517	0.2786425054073334	0.2660548388957977	0.2598653733730316	0.2955379486083984	0.2891886830329895
ERR1458831	0.2854892015457153	0.1539272665977478	0.2728695869445801	0.3237296044826508	0.3009960651397705	0.1632247567176819	0.3260496258735657	0.2807841002941132	0.2615329623222351	0	0.2878222465515137	0.5720072984695435	0.1780268400907516	0.1786345392465591	0.1371572464704514	0.2825300395488739	0.2538001835346222	0.3016398549079895	0.4554242491722107	0.4122439324855804	0.1961973905563354	0.2693479955196381	0.2322343736886978	0.1907007247209549	0.1289146393537521	0.1412103027105331	0.2539623379707336	0.3205622434616089	0.2156074196100235	0.1541145890951157	0.2806078791618347	0.314528614282608	0.2892328202724457	0.3038598597049713	0.2661867439746857	0.3520905673503876	0.3047778606414795	0.2813822627067566	0.2711655497550964	0.1529654860496521	0.2922767996788025	0.11432034522295	0.2687483429908752	0.3074900209903717	0.4064865112304688	0.1765205562114716	0.1363631784915924	0.2990748286247253	0.1907321512699127	0.09015747904777527	0.1538543999195099	0.1536866724491119	0.2628853619098663	0.3023483455181122	0.3440054953098297
ERR1458855	0.4870599508285522	0.3165566325187683	0.1255574822425842	0.2060171663761139	0.2060342878103256	0.2633337676525116	0.2820239067077637	0.2001746594905853	0.2811229228973389	0.2878222465515137	0	0.6341529488563538	0.2430136352777481	0.1961474716663361	0.365899533033371	0.2670415043830872	0.2706256508827209	0.2268435657024384	0.3795896172523499	0.5854294300079346	0.3025008141994476	0.1518061012029648	0.2105181515216827	0.2736929357051849	0.233878031373024	0.2694230377674103	0.269854336977005	0.2894075512886047	0.409445732831955	0.2967061996459961	0.205886498093605	0.244430884718895	0.2697885930538177	0.2317231446504593	0.2306431978940964	0.2952254116535187	0.2579075694084167	0.196939691901207	0.2081582993268967	0.4219034314155579	0.1311444491147995	0.3728582262992859	0.1836311668157578	0.1993196606636047	0.3620710670948029	0.2731896638870239	0.3902646899223328	0.2109130471944809	0.2457927167415619	0.2871511280536652	0.3543122112751007	0.346402496099472	0.2045545428991318	0.2071653008460999	0.2681030035018921
ERR1458857	0.3546554744243622	0.5874612331390381	0.6305323839187622	0.6758706569671631	0.6565961241722107	0.6008865833282471	0.6721404790878296	0.5911845564842224	0.6025274395942688	0.5720072984695435	0.6341529488563538	0	0.5984064340591431	0.6069726943969727	0.5355379581451416	0.5305166244506836	0.6196978092193604	0.6338896751403809	0.6911817193031311	0.388670414686203	0.538727879524231	0.6089257597923279	0.5837146639823914	0.5640333890914917	0.5788875818252563	0.5905125737190247	0.5892874598503113	0.5943939685821533	0.6387287378311157	0.5606188178062439	0.6337456107139587	0.6578440070152283	0.6284795999526978	0.6482617259025574	0.5940646529197693	0.6294791102409363	0.592312753200531	0.6238921284675598	0.6189310550689697	0.5636747479438782	0.6339180469512939	0.5410167574882507	0.6267738938331604	0.6402864456176758	0.6716530323028564	0.5804154276847839	0.5457873940467834	0.6039941906929016	0.5742052793502808	0.5782927870750427	0.5685313940048218	0.5802698731422424	0.5356959104537964	0.6635076999664307	0.6315137147903442
ERR1458868	0.374326229095459	0.181628555059433	0.2551687359809875	0.2916810214519501	0.2300346344709396	0.1313589513301849	0.2869280874729156	0.2202335894107819	0.2129077315330505	0.1780268400907516	0.2430136352777481	0.5984064340591431	0	0.1617102921009064	0.25227090716362	0.2589101493358612	0.2285994440317154	0.2729707658290863	0.423480749130249	0.4854098856449127	0.1980157643556595	0.2182757556438446	0.1856388449668884	0.1938601732254028	0.1375016272068024	0.1588553041219711	0.189984992146492	0.2988367080688477	0.2864534556865692	0.2224154621362686	0.2443650960922241	0.2479372024536133	0.2327356338500977	0.2267304360866547	0.2616264224052429	0.3214105367660522	0.2992653250694275	0.2265832722187042	0.2781797349452972	0.301626980304718	0.2634094655513763	0.2561546564102173	0.2433825731277466	0.2563988864421844	0.392553299665451	0.1577664464712143	0.2709333598613739	0.2829557359218597	0.1847998350858688	0.1685033142566681	0.2092209756374359	0.2393025755882263	0.2319511622190475	0.2467539310455322	0.3078984916210175
ERR1458871	0.4053528308868408	0.2181701064109802	0.1819737106561661	0.1816041171550751	0.1942543089389801	0.168359786272049	0.2530584931373596	0.2220657616853714	0.2037303298711777	0.1786345392465591	0.1961474716663361	0.6069726943969727	0.1617102921009064	0	0.2682835459709167	0.2451882660388947	0.1876031309366226	0.2600672543048859	0.3960182368755341	0.5054306387901306	0.2295847535133362	0.1679282188415527	0.1754362732172012	0.1661824434995651	0.1540803015232086	0.164437860250473	0.2247555106878281	0.2666325867176056	0.3297568261623383	0.1950474381446838	0.1834940612316132	0.2590863108634949	0.2189543694257736	0.2420733869075775	0.2490215599536896	0.330057680606842	0.2469049245119095	0.1627935767173767	0.2243091762065887	0.3111426532268524	0.1951356530189514	0.2630042433738708	0.1694520115852356	0.1844515800476074	0.3210604190826416	0.167063370347023	0.2900886535644531	0.2055797278881073	0.1454927325248718	0.1795105040073395	0.2507418692111969	0.2488914430141449	0.2209168076515198	0.2382659912109375	0.2986829876899719
ERR1458881	0.2197470813989639	0.1852404475212097	0.3571783900260925	0.3956788778305054	0.390763908624649	0.220304474234581	0.3997527956962585	0.3604775369167328	0.3208417892456055	0.1371572464704514	0.365899533033371	0.5355379581451416	0.25227090716362	0.2682835459709167	0	0.3446273505687714	0.3369688391685486	0.3653646409511566	0.489571750164032	0.3666121363639832	0.2303703278303146	0.3527684807777405	0.3157643675804138	0.2335014492273331	0.2104862183332443	0.2142710536718369	0.309445858001709	0.3528830707073212	0.2256170511245728	0.1799665093421936	0.3608928918838501	0.3849209547042847	0.3463534414768219	0.3735036551952362	0.3452064990997314	0.413053959608078	0.3327047228813171	0.3590574860572815	0.338064432144165	0.1184050887823105	0.3793375492095947	0.09137824177742004	0.3537069857120514	0.356644481420517	0.4539793431758881	0.2289347350597382	0.09360248595476151	0.3714534640312195	0.2430626004934311	0.1560021489858627	0.1541218012571335	0.1585476249456406	0.3394036293029785	0.3868198096752167	0.4111604690551758
ERR1458883	0.4499679505825043	0.3146700263023376	0.2794656455516815	0.3224537372589111	0.3083731532096863	0.263197273015976	0.332284152507782	0.2516376078128815	0.2731215953826904	0.2825300395488739	0.2670415043830872	0.5305166244506836	0.2589101493358612	0.2451882660388947	0.3446273505687714	0	0.2769370675086975	0.2625840306282043	0.3287141621112823	0.5613018274307251	0.2064268589019775	0.2510150074958801	0.2179790586233139	0.2555719017982483	0.2460906505584717	0.2625810205936432	0.2297092378139496	0.3095243573188782	0.4025582075119019	0.299124151468277	0.2903391122817993	0.2799957990646362	0.2667430639266968	0.2659703195095062	0.2832217812538147	0.2397777289152145	0.3192059695720673	0.2643921673297882	0.3069782257080078	0.400755375623703	0.2811387479305267	0.360215425491333	0.2863234877586365	0.2889605462551117	0.2970894873142242	0.2723931670188904	0.372481644153595	0.2778953611850739	0.2552632391452789	0.2814512252807617	0.3137778639793396	0.340422660112381	0.1996896117925644	0.2849896848201752	0.2409795671701431
ERR1458893	0.4664677381515503	0.2995578646659851	0.264441579580307	0.2861810922622681	0.1687606126070023	0.2117427587509155	0.1521775424480438	0.2369377911090851	0.1408964246511459	0.2538001835346222	0.2706256508827209	0.6196978092193604	0.2285994440317154	0.1876031309366226	0.3369688391685486	0.2769370675086975	0	0.1972558945417404	0.3894146382808685	0.5663542747497559	0.2692010104656219	0.2164621204137802	0.2624317705631256	0.2176460474729538	0.2225557267665863	0.222684845328331	0.22953000664711	0.1888529807329178	0.3587325215339661	0.2356274425983429	0.216747909784317	0.2378645390272141	0.2043249607086182	0.1871740072965622	0.2223309874534607	0.3047425746917725	0.1965509653091431	0.1984096169471741	0.325439065694809	0.3782868385314941	0.2677238285541534	0.3270902931690216	0.201101079583168	0.2540079653263092	0.2811741232872009	0.1803552210330963	0.3571229875087738	0.206829696893692	0.1869964003562927	0.2636061310768127	0.3055757880210876	0.2621245682239532	0.2447468042373657	0.3140756487846375	0.2752103507518768
ERR1458899	0.4903801381587982	0.3255341053009033	0.2363990098237991	0.310686469078064	0.1825900226831436	0.2374148517847061	0.1944945454597473	0.2106312662363052	0.1981706321239471	0.3016398549079895	0.2268435657024384	0.6338896751403809	0.2729707658290863	0.2600672543048859	0.3653646409511566	0.2625840306282043	0.1972558945417404	0	0.393108457326889	0.5896562337875366	0.3060941398143768	0.2038155198097229	0.3101911842823029	0.2654674053192139	0.2505510151386261	0.2566604018211365	0.2521644234657288	0.2149933576583862	0.3880684077739716	0.2918699681758881	0.2100801765918732	0.2186505645513535	0.2039569467306137	0.1605059802532196	0.1778550297021866	0.2863498628139496	0.2127306014299393	0.2230617105960846	0.3177639245986938	0.415606826543808	0.2447027862071991	0.3688666522502899	0.1809501051902771	0.2729487419128418	0.3291617631912231	0.2200131267309189	0.3885646164417267	0.2268760651350021	0.237989529967308	0.3030943870544434	0.3296068012714386	0.293635755777359	0.2438416033983231	0.2570963799953461	0.2554570734500885
ERR1458906	0.593284010887146	0.4842445850372314	0.3939690291881561	0.4182880818843842	0.3842813968658447	0.4154618680477142	0.4222477078437805	0.3765548765659332	0.3861170411109924	0.4554242491722107	0.3795896172523499	0.6911817193031311	0.423480749130249	0.3960182368755341	0.489571750164032	0.3287141621112823	0.3894146382808685	0.393108457326889	0	0.6955090761184692	0.3256534337997437	0.3653845191001892	0.3678474724292755	0.4072165489196777	0.4206599295139313	0.420644074678421	0.399566262960434	0.3987824022769928	0.514060914516449	0.3895842730998993	0.3904699087142944	0.4154406487941742	0.4105669260025024	0.3718633055686951	0.3917048573493958	0.2064838111400604	0.3853577673435211	0.3819849193096161	0.4567285776138306	0.5303464531898499	0.3882949650287628	0.4876892864704132	0.3672688603401184	0.396816611289978	0.2238996177911758	0.3867487907409668	0.5013991594314575	0.3991060853004456	0.3978458046913147	0.4708975851535797	0.4905283451080322	0.454291433095932	0.3567473590373993	0.4336613416671753	0.2483526468276978
