	faith_pd
ERR1458715	7.50277666903431
ERR1458739	10.36238768597708
ERR1458746	10.11057769270791
ERR1458747	8.951407453500263
ERR1458750	11.65889834924468
ERR1458752	13.17762180721446
ERR1458765	14.49362776425611
ERR1458793	18.85301726042474
ERR1458809	15.30758805969487
ERR1458829	16.11201621584868
ERR1458831	6.290465604591647
ERR1458855	15.99470425012426
ERR1458857	12.80652959102838
ERR1458868	19.83765937953775
ERR1458871	8.854552878335952
ERR1458881	7.318958164809015
ERR1458883	17.72088144298982
ERR1458893	12.83310405609507
ERR1458899	18.44603100328877
ERR1458906	11.44536099581506
ERR1458915	10.48712261510179
ERR1458929	4.188293979095505
ERR1458931	15.62500803274945
ERR1458936	16.90556065720826
ERR1458937	9.286816960590372
ERR1458942	14.11631324244635
ERR1458974	11.49088155821584
ERR1458980	19.93214399646859
ERR1458992	18.146694498379
ERR1458999	15.83374168453651
ERR1459008	23.30698252682679
ERR1459017	12.29276191700622
ERR1459028	15.74676726025436
ERR1459033	14.84844147178766
ERR1459034	13.08370784531613
ERR1459035	18.78900341421913
ERR1459037	16.7420572601369
ERR1459045	14.9141819956543
ERR1459063	13.66774509832232
ERR1459072	10.9874046155342
ERR1459099	12.78603420634391
ERR1459109	10.89868365518807
ERR1459110	11.63402658635195
ERR1459123	27.22098147344469
ERR1459124	6.989895047550963
ERR1459126	10.99778648121313
ERR1459131	10.89245731671024
ERR1459142	14.28801847585098
ERR1459146	10.982916002808
ERR1459147	4.848670501532876
ERR1459152	9.471831941719504
ERR1459161	13.89946001549986
ERR1459162	9.00092259159292
ERR1459172	13.6038328092272
ERR1459204	14.15024618090387
ERR2056783	15.4581540777113
ERR2056799	16.59248720639803
