	observed_features
ERR1458715	50
ERR1458739	77
ERR1458746	116
ERR1458747	89
ERR1458750	120
ERR1458752	131
ERR1458765	145
ERR1458793	204
ERR1458809	172
ERR1458829	181
ERR1458831	56
ERR1458855	119
ERR1458857	55
ERR1458868	149
ERR1458871	85
ERR1458881	56
ERR1458883	137
ERR1458893	147
ERR1458899	185
ERR1458906	110
ERR1458915	92
ERR1458929	25
ERR1458931	111
ERR1458936	209
ERR1458937	97
ERR1458942	90
ERR1458974	114
ERR1458980	107
ERR1458992	185
ERR1458999	159
ERR1459008	241
ERR1459017	112
ERR1459028	93
ERR1459033	126
ERR1459034	170
ERR1459035	216
ERR1459037	166
ERR1459045	161
ERR1459063	164
ERR1459072	116
ERR1459099	156
ERR1459109	77
ERR1459110	31
ERR1459123	124
ERR1459124	53
ERR1459126	104
ERR1459131	97
ERR1459142	131
ERR1459146	109
ERR1459147	37
ERR1459152	98
ERR1459161	115
ERR1459162	68
ERR1459172	87
ERR1459204	136
ERR2056783	175
ERR2056799	182
