	ERR1458715	ERR1458739	ERR1458746	ERR1458747	ERR1458750	ERR1458752	ERR1458765	ERR1458793	ERR1458809	ERR1458829	ERR1458831	ERR1458855	ERR1458857	ERR1458868	ERR1458871	ERR1458881	ERR1458883	ERR1458893	ERR1458899	ERR1458906	ERR1458915	ERR1458929	ERR1458931	ERR1458936	ERR1458937	ERR1458942	ERR1458974	ERR1458980	ERR1458992	ERR1458999	ERR1459008	ERR1459017	ERR1459028	ERR1459033	ERR1459034	ERR1459035	ERR1459037	ERR1459045	ERR1459063	ERR1459072	ERR1459099	ERR1459109	ERR1459110	ERR1459123	ERR1459124	ERR1459126	ERR1459131	ERR1459142	ERR1459146	ERR1459147	ERR1459152	ERR1459161	ERR1459162	ERR1459172	ERR1459204	ERR2056783	ERR2056799
ERR1458715	0	0.3398468494415283	0.4756372570991516	0.5256643295288086	0.3366991877555847	0.5142850279808044	0.3702844977378845	0.5323705673217773	0.4421396255493164	0.4399455785751343	0.2852221131324768	0.4888198971748352	0.347306102514267	0.3838952481746674	0.4132334291934967	0.2209371477365494	0.459710955619812	0.4682959020137787	0.4946392178535461	0.5921173095703125	0.4063372611999512	0.2335384786128998	0.3706657588481903	0.4691267013549805	0.4392575323581696	0.3658897876739502	0.344052791595459	0.3441923558712006	0.455325186252594	0.4416750073432922	0.4489774107933044	0.3600275814533234	0.2823788523674011	0.4947910904884338	0.5152226090431213	0.4769507348537445	0.5066270232200623	0.4466668367385864	0.5309809446334839	0.4385713040828705	0.4866471588611603	0.4683215320110321	0.2608200907707214	0.5074028968811035	0.2476794719696045	0.4819073677062988	0.4866680800914764	0.5702190399169922	0.3655546605587006	0.2418833374977112	0.445402592420578	0.3603415191173553	0.3039926588535309	0.2951866686344147	0.4195103943347931	0.5162071585655212	0.5338034629821777
ERR1458739	0.3398468494415283	0	0.3190569281578064	0.3358475863933563	0.167029395699501	0.3191294968128204	0.1947744786739349	0.3533194661140442	0.3009961545467377	0.2677376568317413	0.1705783158540726	0.3179866075515747	0.5837138295173645	0.1940743923187256	0.221069723367691	0.1995068490505219	0.3079864680767059	0.2938420474529266	0.3322781920433044	0.4854638576507568	0.2866512835025787	0.4417650103569031	0.2363891005516052	0.282845139503479	0.2531266510486603	0.2585054934024811	0.1524868458509445	0.1813645362854004	0.2658947706222534	0.2198577523231506	0.3538464903831482	0.2904888987541199	0.2147926092147827	0.3057592511177063	0.2860824167728424	0.2713639140129089	0.3080718815326691	0.3142750561237335	0.3632805049419403	0.3407841622829437	0.2903982698917389	0.2912636995315552	0.2396159321069717	0.3241086602210999	0.1908264011144638	0.312343418598175	0.2778332531452179	0.4367333054542542	0.2189638763666153	0.2251454889774323	0.3269313871860504	0.2349652051925659	0.1210630312561989	0.1875485330820084	0.2863401472568512	0.3094146251678467	0.3808625936508179
ERR1458746	0.4756372570991516	0.3190569281578064	0	0.2053785175085068	0.3050678372383118	0.2366188168525696	0.2856889367103577	0.3052115142345428	0.2075853049755096	0.2795982658863068	0.2723571360111237	0.1123706102371216	0.6257858276367188	0.2658560574054718	0.1879826039075851	0.3577346205711365	0.2695704698562622	0.2601107358932495	0.2489505857229233	0.3987384736537933	0.4396249651908875	0.568036675453186	0.3131646811962128	0.1588519364595413	0.2223486453294754	0.2786744236946106	0.2371835261583328	0.2738656401634216	0.307353675365448	0.2838218510150909	0.2967817187309265	0.4114471673965454	0.2791909575462341	0.2198746800422668	0.2712737321853638	0.2962800860404968	0.2715880274772644	0.2430831342935562	0.3134863078594208	0.2288290858268738	0.2115281224250793	0.191971942782402	0.3969594240188599	0.1262853294610977	0.3526606559753418	0.195606604218483	0.2174559235572815	0.3530181348323822	0.2714135348796844	0.3698044419288635	0.1798088401556015	0.2486427277326584	0.2836674451828003	0.3497036695480347	0.1947260200977325	0.2196133732795715	0.2641682922840118
ERR1458747	0.5256643295288086	0.3358475863933563	0.2053785175085068	0	0.3317008018493652	0.246263861656189	0.3174189031124115	0.2780725955963135	0.2831079363822937	0.2831876873970032	0.3181753158569336	0.2011508196592331	0.6774546504020691	0.3048675954341888	0.1698867529630661	0.3984116315841675	0.3103868067264557	0.2605953514575958	0.3044507503509521	0.4271717965602875	0.4697205424308777	0.6203635334968567	0.3639253675937653	0.2163003534078598	0.2723975479602814	0.2810640037059784	0.2951575815677643	0.3124210238456726	0.3234392106533051	0.315793365240097	0.313277393579483	0.4561654925346375	0.3370460569858551	0.234306812286377	0.2914360761642456	0.2959019839763641	0.292844295501709	0.2973514795303345	0.3566473424434662	0.2927990555763245	0.2096558958292007	0.1587003618478775	0.4316719174385071	0.1899775862693787	0.3909782469272614	0.2176484167575836	0.1898885518312454	0.335292786359787	0.2980683445930481	0.4167031645774841	0.2390712201595306	0.2917516231536865	0.3221611678600311	0.380725085735321	0.2953841090202332	0.174491211771965	0.3568050861358643
ERR1458750	0.3366991877555847	0.167029395699501	0.3050678372383118	0.3317008018493652	0	0.3073931336402893	0.1491601914167404	0.314270943403244	0.2744565010070801	0.2367496639490128	0.1308880001306534	0.304821789264679	0.5884355306625366	0.1872043162584305	0.2039466500282288	0.2014137506484985	0.2855338454246521	0.2500403523445129	0.305579662322998	0.4615679681301117	0.2802175283432007	0.4432289898395538	0.2077906727790833	0.2784997224807739	0.2555519342422485	0.2112307846546173	0.1319937855005264	0.1433738023042679	0.2513428032398224	0.2396087050437927	0.3145074844360352	0.2666074335575104	0.1714414358139038	0.2951687872409821	0.29607093334198	0.2493347376585007	0.298162043094635	0.2831009328365326	0.3437173664569855	0.2912694811820984	0.2740751504898071	0.2993981242179871	0.2284545600414276	0.3038118481636047	0.1805524230003357	0.2835216224193573	0.2821382582187653	0.4123642444610596	0.1670552641153336	0.2101081013679504	0.30275958776474	0.1853716224431992	0.140694797039032	0.1634028106927872	0.2727703154087067	0.3095225095748901	0.3527946770191193
ERR1458752	0.5142850279808044	0.3191294968128204	0.2366188168525696	0.246263861656189	0.3073931336402893	0	0.2506486177444458	0.1852292865514755	0.2081049382686615	0.1981847435235977	0.301347017288208	0.2107246220111847	0.6549583673477173	0.2260056287050247	0.2068406343460083	0.3939818143844604	0.2933061122894287	0.1629740595817566	0.1717854738235474	0.3988268375396729	0.4483761787414551	0.6095815300941467	0.3210020363330841	0.185473769903183	0.2692883014678955	0.2596111297607422	0.2554083168506622	0.279041975736618	0.2245575189590454	0.2683832347393036	0.2055373191833496	0.4103322327136993	0.3087137043476105	0.1858905106782913	0.224930465221405	0.2240562736988068	0.1658132970333099	0.2059642225503922	0.3193174600601196	0.1995016187429428	0.1662703305482864	0.2946641445159912	0.4269115328788757	0.226404994726181	0.3801005184650421	0.1508168876171112	0.2299827486276627	0.3102887272834778	0.2317605018615723	0.4119517207145691	0.1983688175678253	0.2536274194717407	0.3027844727039337	0.3595219850540161	0.2434084415435791	0.2579784691333771	0.2759296596050262
ERR1458765	0.3702844977378845	0.1947744786739349	0.2856889367103577	0.3174189031124115	0.1491601914167404	0.2506486177444458	0	0.2697963118553162	0.2404333651065826	0.184239387512207	0.1549226641654968	0.269159346818924	0.597196102142334	0.1560936719179153	0.1805458217859268	0.2189286947250366	0.2606211006641388	0.2068918943405151	0.2460778951644897	0.4114857017993927	0.2894899845123291	0.4719007313251495	0.1868768334388733	0.2471623122692108	0.2399931401014328	0.1935259103775024	0.1199974119663239	0.1277650594711304	0.2057800143957138	0.2137904465198517	0.2645388245582581	0.2557288408279419	0.1748482137918472	0.2595930397510529	0.2604517042636871	0.2186896502971649	0.2322556376457214	0.2434913665056229	0.3104216456413269	0.255155086517334	0.2544873952865601	0.3069140017032623	0.2607632875442505	0.2866191864013672	0.2120965421199799	0.2497522681951523	0.2752439081668854	0.3746277093887329	0.1305996775627136	0.2496627271175385	0.28620246052742	0.1574510782957077	0.1601762324571609	0.1786487996578217	0.2429488450288773	0.2844706475734711	0.3006933331489563
ERR1458793	0.5323705673217773	0.3533194661140442	0.3052115142345428	0.2780725955963135	0.314270943403244	0.1852292865514755	0.2697963118553162	0	0.2410871684551239	0.1839966475963593	0.3299378156661987	0.2924818694591522	0.6814357042312622	0.2838330268859863	0.249492272734642	0.4071483314037323	0.3258278965950012	0.1575399488210678	0.2017826437950134	0.4502180814743042	0.4486750364303589	0.6266564130783081	0.3551928102970123	0.242622509598732	0.3575479686260223	0.2598526179790497	0.2881238162517548	0.298287034034729	0.2185105085372925	0.2810435593128204	0.1848078519105911	0.413349837064743	0.3199078738689423	0.2002534568309784	0.2321216613054276	0.209476575255394	0.1931410580873489	0.2376071214675903	0.3518351912498474	0.2249227613210678	0.2190859466791153	0.3706165254116058	0.4425134658813477	0.296299546957016	0.3959034979343414	0.1890716105699539	0.2804104387760162	0.3178175985813141	0.2313886880874634	0.4250727593898773	0.2462683767080307	0.2746612727642059	0.3414553105831146	0.3593376874923706	0.2996582388877869	0.3072359561920166	0.3353543281555176
ERR1458809	0.4421396255493164	0.3009961545467377	0.2075853049755096	0.2831079363822937	0.2744565010070801	0.2081049382686615	0.2404333651065826	0.2410871684551239	0	0.2105166614055634	0.2816874980926514	0.2015692293643951	0.5895704627037048	0.2304204255342484	0.2236165255308151	0.3593859672546387	0.2401841878890991	0.2234863042831421	0.2168510258197784	0.3736668825149536	0.4194417893886566	0.5422563552856445	0.2986899018287659	0.1462477594614029	0.2748226821422577	0.238227516412735	0.2176734060049057	0.2308087646961212	0.2219797372817993	0.2529560327529907	0.239144891500473	0.3875406384468079	0.2689186632633209	0.2086724489927292	0.221766859292984	0.2281943559646606	0.2077523469924927	0.1611211746931076	0.2990055084228516	0.2161990404129028	0.1728531122207642	0.2935106754302979	0.4038196504116058	0.2048189342021942	0.3575237691402435	0.1866397559642792	0.2355287671089172	0.3560080230236053	0.2154479175806046	0.3849401772022247	0.1659714728593826	0.2352683842182159	0.2796263694763184	0.3278402984142303	0.194244921207428	0.262429267168045	0.2639264464378357
ERR1458829	0.4399455785751343	0.2677376568317413	0.2795982658863068	0.2831876873970032	0.2367496639490128	0.1981847435235977	0.184239387512207	0.1839966475963593	0.2105166614055634	0	0.2499927580356598	0.2693720161914825	0.5955603122711182	0.2005060166120529	0.190946638584137	0.3138668537139893	0.2560397684574127	0.1413040012121201	0.1939302384853363	0.3956652283668518	0.3773931562900543	0.539004921913147	0.2558425068855286	0.2063406854867935	0.2743968665599823	0.1852129101753235	0.2089644521474838	0.2202317863702774	0.1449724435806274	0.1854463070631027	0.179984524846077	0.33759605884552	0.2281600385904312	0.191906526684761	0.2303739339113235	0.1508951634168625	0.1769044399261475	0.1925343871116638	0.3051412105560303	0.1974237561225891	0.2025884985923767	0.325634241104126	0.3543270230293274	0.2722404897212982	0.3073586821556091	0.1962315440177917	0.2359600365161896	0.319774329662323	0.1363733410835266	0.3286483883857727	0.227872759103775	0.1988911330699921	0.2555234134197235	0.2718331813812256	0.2417414486408234	0.2760222852230072	0.2891089916229248
