	shannon_entropy
ERR1458715	2.9799211877582397
ERR1458739	3.5554713827312674
ERR1458746	5.245042785552299
ERR1458747	4.573949645741608
ERR1458752	5.755072171572221
ERR1458765	5.063514208016286
ERR1458793	6.4446296802971945
ERR1458809	6.117604366596377
ERR1458829	6.005751290041398
ERR1458831	2.4053863148498578
ERR1458855	5.3934498240025786
ERR1458857	4.2389879598228495
ERR1458868	5.569509822138595
ERR1458871	4.352981582896932
ERR1458881	3.0291425705671413
ERR1458883	5.727312002805693
ERR1458893	5.420316916189352
ERR1458899	6.307340090511809
ERR1458906	4.932619800871216
ERR1458929	2.311321763798175
ERR1458931	4.690508004269378
ERR1458936	6.330786199667003
ERR1458937	4.796452778710836
ERR1458942	4.697163769282177
ERR1458974	4.29072956586818
ERR1458980	4.368849090862689
ERR1458999	6.00923882028643
ERR1459008	6.830525363722598
ERR1459017	4.416585438078016
ERR1459028	3.8567502431744938
ERR1459033	5.3973460665747846
ERR1459034	5.935123184083294
ERR1459035	6.227638705678966
ERR1459037	6.218763063914121
ERR1459045	5.733285998153566
ERR1459063	5.760061685100088
ERR1459072	5.381389630035877
ERR1459099	6.102792236969712
ERR1459109	4.04139104299728
ERR1459110	0.710149293921601
ERR1459123	5.494229621334848
ERR1459124	2.4046877752660225
ERR1459126	5.36590536865212
ERR1459131	5.015303013763003
ERR1459142	5.132215875167226
ERR1459146	4.6963900954493125
ERR1459147	1.5154063101863493
ERR1459152	5.346829091604853
ERR1459161	4.780783085115311
ERR1459162	3.636049534356742
ERR1459172	4.252613355489949
ERR1459203	3.994867682425943
ERR1459204	5.802012906127824
ERR2056783	5.5047456745154815
ERR2056799	6.090562517596263
