	faith_pd
ERR1458715	8.125032118549267
ERR1458739	10.34058558287204
ERR1458746	9.046949458640649
ERR1458747	9.387176522559027
ERR1458750	10.73380914280358
ERR1458752	12.97185070471486
ERR1458765	12.37457343747429
ERR1458793	17.00129767839327
ERR1458809	15.95482756450239
ERR1458829	15.21828921596714
ERR1458831	5.420256558642974
ERR1458855	15.06419176236237
ERR1458857	9.952346327100738
ERR1458868	14.76706304588262
ERR1458871	8.544428910731115
ERR1458881	7.435878072449791
ERR1458883	16.68165962145398
ERR1458893	12.29155899057985
ERR1458899	19.48865037893303
ERR1458906	11.25730379502028
ERR1458915	11.43698921497414
ERR1458929	4.188293979095505
ERR1458931	15.2310007421414
ERR1458936	15.70101217239657
ERR1458937	9.085727956674686
ERR1458942	11.4885550477982
ERR1458980	21.31505112629775
ERR1458999	15.0821395365375
ERR1459017	13.0799131629694
ERR1459028	15.99211398824555
ERR1459033	14.91105525377819
ERR1459034	13.01777233993445
ERR1459035	18.98393156009013
ERR1459037	16.44937950232092
ERR1459045	13.78680134365567
ERR1459063	13.4768615465972
ERR1459072	12.17290624524538
ERR1459099	13.53757993927519
ERR1459109	14.20956380353754
ERR1459123	26.93095520526826
ERR1459124	6.995992775203838
ERR1459126	10.5262466890824
ERR1459131	10.44134810534759
ERR1459142	11.15330082100878
ERR1459146	11.24404250678107
ERR1459147	4.546236544466788
ERR1459152	9.079654208816835
ERR1459161	12.79006167186599
ERR1459162	6.579266661571964
ERR1459172	13.49147876230662
ERR1459204	14.72629607761306
ERR2056783	14.22452387422922
