	observed_features
ERR1458715	52
ERR1458739	76
ERR1458746	109
ERR1458747	89
ERR1458750	114
ERR1458752	131
ERR1458765	136
ERR1458793	185
ERR1458809	167
ERR1458829	172
ERR1458831	47
ERR1458855	118
ERR1458857	52
ERR1458868	152
ERR1458871	82
ERR1458881	57
ERR1458883	133
ERR1458893	136
ERR1458899	173
ERR1458906	114
ERR1458915	95
ERR1458929	25
ERR1458931	102
ERR1458936	201
ERR1458937	95
ERR1458942	79
ERR1458980	108
ERR1458999	156
ERR1459017	111
ERR1459028	94
ERR1459033	128
ERR1459034	160
ERR1459035	210
ERR1459037	165
ERR1459045	151
ERR1459063	157
ERR1459072	114
ERR1459099	148
ERR1459109	76
ERR1459123	120
ERR1459124	54
ERR1459126	101
ERR1459131	92
ERR1459142	122
ERR1459146	107
ERR1459147	35
ERR1459152	88
ERR1459161	109
ERR1459162	64
ERR1459172	83
ERR1459204	140
ERR2056783	164
