	shannon_entropy
ERR1458715	2.956672176931431
ERR1458739	3.711606148710616
ERR1458746	5.2046081000603115
ERR1458747	4.668729131515895
ERR1458750	4.245250132403506
ERR1458752	5.7909024089416965
ERR1458765	5.030302807926528
ERR1458793	6.438618537697503
ERR1458809	6.231115469549349
ERR1458829	5.973245322836359
ERR1458831	2.3020228675055527
ERR1458855	5.395547593224219
ERR1458857	4.215811503841736
ERR1458868	5.74142246490255
ERR1458871	4.363259590613305
ERR1458881	3.1110785971553723
ERR1458883	5.718613663653077
ERR1458893	5.568232967060044
ERR1458899	6.302537505300063
ERR1458906	4.956690949865521
ERR1458915	3.948061447625321
ERR1458929	2.3288078674030896
ERR1458931	4.741058145586949
ERR1458936	6.325410403562041
ERR1458937	4.712807495277385
ERR1458942	4.551903337925955
ERR1458980	4.415293205115402
ERR1458999	6.056357341479219
ERR1459017	4.359526703049787
ERR1459028	3.9645017999850407
ERR1459033	5.368057034938568
ERR1459034	5.9798070875547324
ERR1459035	6.261157553752755
ERR1459037	6.194111413049601
ERR1459045	5.621978082118131
ERR1459063	5.682191887176975
ERR1459072	5.5192240672883575
ERR1459099	6.0637744369705695
ERR1459109	4.001238937334764
ERR1459123	5.492044949106953
ERR1459124	2.5255026436168793
ERR1459126	5.322294189132677
ERR1459131	5.022595810134739
ERR1459142	5.090344178985528
ERR1459146	4.7518831126719325
ERR1459147	1.4929020087285054
ERR1459152	5.252268133246917
ERR1459161	4.775213786170281
ERR1459162	3.5857233106630813
ERR1459172	4.185763874994685
ERR1459204	5.752392018412434
ERR2056783	5.508325854091996
