	functools.partial(<function _simpsons_dominance at 0x79dc5948f370>)
ERR1458715	0.679450291837514
ERR1458739	0.7837520656217905
ERR1458746	0.9485965642625838
ERR1458747	0.9118773099453984
ERR1458750	0.7892494747170349
ERR1458752	0.9620359488802355
ERR1458765	0.9025910684908405
ERR1458793	0.9795032192385577
ERR1458809	0.9756538048579413
ERR1458829	0.9571410852941646
ERR1458831	0.5547708546444919
ERR1458855	0.9529208107020597
ERR1458857	0.9152134144968683
ERR1458868	0.9490533854502452
ERR1458871	0.8940178938005353
ERR1458881	0.7548896445268032
ERR1458883	0.9638272118884849
ERR1458893	0.9513309419808438
ERR1458899	0.9778298455690596
ERR1458906	0.9160247223767473
ERR1458915	0.8012176986281855
ERR1458929	0.6841404864326973
ERR1458931	0.8879457741788783
ERR1458936	0.9708547263596059
ERR1458937	0.91899487877251
ERR1458942	0.9040786027166124
ERR1458980	0.8663720251873847
ERR1458999	0.9732223372461951
ERR1459017	0.8944599788208528
ERR1459028	0.774973403264634
ERR1459033	0.9438883587962025
ERR1459034	0.9697642499761561
ERR1459035	0.9731044479074438
ERR1459037	0.9784651381167752
ERR1459045	0.9577477241831558
ERR1459063	0.9563265027104314
ERR1459072	0.9549707753147911
ERR1459099	0.9743062642219366
ERR1459109	0.8691718969827288
ERR1459123	0.9588553927618402
ERR1459124	0.5890087021161546
ERR1459126	0.9537886072234236
ERR1459131	0.9477418665566366
ERR1459142	0.9273920381306517
ERR1459146	0.8799440353111316
ERR1459147	0.34433183556565816
ERR1459152	0.9582643087161564
ERR1459161	0.8930174717730761
ERR1459162	0.7989139444667533
ERR1459172	0.8765342499229422
ERR1459204	0.9644215706380228
ERR2056783	0.94769192732286
