	shannon_entropy
ERR1458715	2.9981097381449184
ERR1458739	3.765474184478911
ERR1458746	5.242116695553071
ERR1458747	4.569143422214208
ERR1458750	4.331331609782327
ERR1458752	5.786073052271003
ERR1458765	5.144929801633214
ERR1458793	6.452378332878782
ERR1458809	6.192303155994419
ERR1458829	6.015564824631561
ERR1458831	2.497916246658044
ERR1458855	5.369704295449712
ERR1458857	4.2422071496207545
ERR1458868	5.6781354431187685
ERR1458871	4.389682722533322
ERR1458881	3.142777992221651
ERR1458883	5.764962458896009
ERR1458893	5.536562932948186
ERR1458899	6.241032645876578
ERR1458906	4.952057237434141
ERR1458915	4.07252658652342
ERR1458929	2.2784954101874275
ERR1458931	4.776381514796712
ERR1458936	6.290230493188755
ERR1458937	4.7304579766015875
ERR1458942	4.836182962303001
ERR1458974	4.206873691959414
ERR1458980	4.254508047163891
ERR1458992	5.904576030225455
ERR1458999	6.12366254347978
ERR1459008	6.813823312722684
ERR1459017	4.413068289411565
ERR1459028	3.7434748058063456
ERR1459033	5.317704387454644
ERR1459034	6.037131422927215
ERR1459035	6.28800383968847
ERR1459037	6.206890503911786
ERR1459045	5.675323911263092
ERR1459063	5.760691874450891
ERR1459072	5.491178431041283
ERR1459099	6.048019748998618
ERR1459109	4.03286625147551
ERR1459110	0.771116896791365
ERR1459123	5.516115179835116
ERR1459124	2.5471048754575207
ERR1459126	5.371655918355396
ERR1459131	5.044195293281133
ERR1459142	5.138439841595327
ERR1459146	4.761358224084071
ERR1459147	1.5613152558750376
ERR1459152	5.298417109054639
ERR1459161	4.768395856873043
ERR1459162	3.584517990516597
ERR1459172	4.25562818666533
ERR1459204	5.731986471305042
ERR2056783	5.517767650236103
ERR2056799	6.094679009604933
