	functools.partial(<function _simpsons_dominance at 0x7ce91dde3370>)
ERR1458715	0.6828730915050755
ERR1458739	0.7901319677272891
ERR1458746	0.9476948128556539
ERR1458747	0.9082211087179148
ERR1458750	0.8006829645653825
ERR1458752	0.9631866106474988
ERR1458765	0.901344211657225
ERR1458793	0.9791999912766634
ERR1458809	0.9750230880672327
ERR1458829	0.957941704485461
ERR1458831	0.5826231739678673
ERR1458855	0.951739654440769
ERR1458857	0.9166548790560864
ERR1458868	0.9460494946371167
ERR1458871	0.8954541420552968
ERR1458881	0.7569523932989024
ERR1458883	0.9652923271893379
ERR1458893	0.9489960439062496
ERR1458899	0.9758524108364438
ERR1458906	0.9157831511781502
ERR1458915	0.8121384017938572
ERR1458929	0.6705332048660467
ERR1458931	0.8803276339857561
ERR1458936	0.9702222239722743
ERR1458937	0.9196074861978943
ERR1458942	0.9275984260435216
ERR1458974	0.8207890439737948
ERR1458980	0.8480603751822283
ERR1458992	0.958860077982995
ERR1458999	0.9743645973074573
ERR1459008	0.9835301586647722
ERR1459017	0.8947901992101139
ERR1459028	0.7420221603040327
ERR1459033	0.940011612941918
ERR1459034	0.9692105592355449
ERR1459035	0.9721431753975251
ERR1459037	0.9785730014547981
ERR1459045	0.9568294790623261
ERR1459063	0.9592720133248968
ERR1459072	0.954275479942535
ERR1459099	0.9736116037339515
ERR1459109	0.8712359786750766
ERR1459110	0.16557317016655226
ERR1459123	0.9604496637729218
ERR1459124	0.591548843567251
ERR1459126	0.955543392693418
ERR1459131	0.9462378944773101
ERR1459142	0.9303856532613012
ERR1459146	0.8794692334277049
ERR1459147	0.359267591077844
ERR1459152	0.9585014519206334
ERR1459161	0.8964549026212112
ERR1459162	0.8016903887912393
ERR1459172	0.8823206740958397
ERR1459204	0.96521175748276
ERR2056783	0.9478559522688096
ERR2056799	0.9689452244123787
