sample_id	plateau_depth	passes	observed_features	shannon	faith_pd	simpson
ERR1458715	1454.0	True	64.0	2.988104627720455	10.06835918849688	0.6811415063849822
ERR1458739	1454.0	True	85.0	3.6701913806531614	11.3085556541824	0.7758035316103549
ERR1458746	1454.0	True	138.0	5.283934734636794	12.01929333643719	0.9507391630343563
ERR1458747	1454.0	True	111.0	4.671416674318394	11.34858920126479	0.9077384968636424
ERR1458750	1090.0	True	156.0	4.406235213805865	14.28385554436462	0.8022485120947183
ERR1458752	1454.0	True	145.0	5.828718406409077	14.22141985592713	0.9636840731589122
ERR1458765	1817.0	True	169.0	5.141923079088786	16.23372262122179	0.9011510457726966
ERR1458793	1090.0	True	252.0	6.547455354030856	22.58104541302787	0.9790090656577032
ERR1458809	1454.0	True	209.0	6.205059321978869	19.80063779374119	0.9736259274526344
ERR1458829	1454.0	True	217.0	6.096682300692023	19.33473875248702	0.9595635864136466
ERR1458831	1090.0	True	62.0	2.394222148657677	7.028224089460101	0.572118429553601
ERR1458855	1090.0	True	135.0	5.471976921303122	19.50310099001921	0.9544989981659868
ERR1458857	1090.0	True	62.0	4.229765363052628	17.50068430059598	0.9161042497968832
ERR1458868	1090.0	True	181.0	5.745499968636777	23.18930326981281	0.9497582930551316
ERR1458871	1454.0	True	101.0	4.450568086194959	9.988866549435391	0.8960949662072023
ERR1458881	1090.0	True	63.0	3.118003723277593	8.226773581042076	0.7480655714223596
ERR1458883	1454.0	True	154.0	5.847730087382312	28.00732803050885	0.9668296247184136
ERR1458893	1817.0	True	172.0	5.590406424315947	15.54846249521978	0.9478334418927332
ERR1458899	1454.0	True	211.0	6.317534581086201	29.60562496649564	0.977148096595412
ERR1458906	1454.0	True	144.0	4.94780118307363	13.70862455329013	0.9144401381235306
ERR1458915	1090.0	True	117.0	4.056385528125685	14.06166985846856	0.8089989822446249
ERR1458929	727.0	True	27.0	2.296293503732873	4.599467178474358	0.6770606603032863
ERR1458931	1090.0	True	117.0	4.772645981164359	16.63843535376051	0.8841270330104788
ERR1458936	1817.0	True	257.0	6.386956984070229	19.60021520255003	0.970628864591229
ERR1458937	1090.0	True	115.0	4.799674098981144	11.0578965744194	0.9215171088076156
ERR1458942	1090.0	True	102.0	4.757717511990434	16.21642913838946	0.9183858171547188
ERR1458974	1454.0	True	129.0	4.235708564736711	13.14565533532893	0.8115963343374311
ERR1458980	1454.0	True	126.0	4.371757403653301	26.58004000618221	0.8568378656352599
ERR1458992	1454.0	True	232.0	5.982970706144938	22.11685130051021	0.959090264241948
ERR1458999	1454.0	True	206.0	6.1764383394906925	20.43064852830809	0.9735134934229036
ERR1459008	1454.0	True	292.0	6.910667791715759	26.08295359934533	0.9840016635028715
ERR1459017	1454.0	True	152.0	4.500643492904853	16.46144805794334	0.8992751800343936
ERR1459028	1090.0	True	110.0	3.854428560114854	23.86258684563685	0.7568312968930699
ERR1459033	1090.0	True	147.0	5.402030286456152	17.26970786537147	0.9409942349761614
ERR1459034	1454.0	True	202.0	6.080515111466932	16.64262089186748	0.9717386915492338
ERR1459035	1454.0	True	273.0	6.368016343465157	22.26944643779943	0.9730026953437032
ERR1459037	1454.0	True	210.0	6.277467641344001	19.73869291846373	0.9787527529163552
ERR1459045	1454.0	True	185.0	5.771464514195856	16.39218652224426	0.9571929616637478
ERR1459063	1817.0	True	198.0	5.832925021309534	15.48673662115414	0.9592948216420262
ERR1459072	1090.0	True	127.0	5.5868295625701725	13.06678558230928	0.9562206487635015
ERR1459099	1454.0	True	189.0	6.1129498539315055	16.44797182934422	0.9741806292719596
ERR1459109	1090.0	True	83.0	4.038529860883089	18.85433635479461	0.8703606372890158
ERR1459110	1817.0	True	44.0	0.7720693123125884	26.3310896713319	0.1628374020306295
ERR1459123	1454.0	True	150.0	5.529372621144622	43.44989830381891	0.9583632860872232
ERR1459124	1454.0	True	58.0	2.445027538653998	7.791850736614077	0.5720955256746334
ERR1459126	1090.0	True	111.0	5.421320777317169	12.72863043667822	0.956817669659371
ERR1459131	1454.0	True	109.0	5.075019683574936	11.97689572608858	0.944999818889076
ERR1459142	1454.0	True	154.0	5.173036441586887	18.30231616387103	0.927312337801482
ERR1459146	1454.0	True	125.0	4.792218532891326	12.88912829208557	0.8806767390272704
ERR1459147	1454.0	True	38.0	1.518490217797617	4.970969528753372	0.3478726896963333
ERR1459152	1090.0	True	116.0	5.320718628912222	15.62447579857177	0.9598673250332586
ERR1459161	1454.0	True	130.0	4.826796621733075	18.16177170787143	0.8959843208206935
ERR1459162	1454.0	True	74.0	3.6410362641712863	9.532907420858129	0.802796640310077
ERR1459172	1090.0	True	96.0	4.310080659744338	14.6107801629851	0.8820070753116591
ERR1459203	2180.0	False	118.0	3.994986906503732	11.41505703891656	0.834318010023058
ERR1459204	1090.0	True	162.0	5.788130106259833	21.02167032709292	0.9647743278688408
ERR2056783	1817.0	True	216.0	5.595739390570824	18.90149744111492	0.9510147456344468
ERR2056799	1817.0	True	246.0	6.185668716902067	22.35184291484022	0.9682044998545088
