	faith_pd
ERR1458715	8.369489514521048
ERR1458739	10.25416069559961
ERR1458746	9.348072319421824
ERR1458747	10.35479744743478
ERR1458750	11.71077986859026
ERR1458752	12.68819807860115
ERR1458765	12.51324248367582
ERR1458793	17.14955664668496
ERR1458809	15.94522992169625
ERR1458829	15.22102749437157
ERR1458831	5.912148135463582
ERR1458855	14.59185425402609
ERR1458857	11.59119346236438
ERR1458868	15.91760183096759
ERR1458871	8.84755824691819
ERR1458881	6.942968296861853
ERR1458883	22.15923592093069
ERR1458893	13.69931340992131
ERR1458899	17.70781464702651
ERR1458906	12.10221219452191
ERR1458915	11.16617327100509
ERR1458929	4.401567147980383
ERR1458931	15.12342816306764
ERR1458936	16.74044508825898
ERR1458937	10.00727836279781
ERR1458942	12.47176218615323
ERR1458974	11.41561511242985
ERR1458980	18.97560966960646
ERR1458992	17.92693988190035
ERR1458999	15.57651500987481
ERR1459008	20.42686845335864
ERR1459017	11.84573163805085
ERR1459028	10.69148374298743
ERR1459033	14.96060480360958
ERR1459034	13.32120823389499
ERR1459035	18.93517536865777
ERR1459037	16.81154217248253
ERR1459045	13.55275075186071
ERR1459063	13.3140722377686
ERR1459072	12.85715765294619
ERR1459099	14.02905203267046
ERR1459109	16.48311076629516
ERR1459110	14.90610756406563
ERR1459123	15.95609970659446
ERR1459124	7.43878757205041
ERR1459126	11.73244016382689
ERR1459131	11.16278529415775
ERR1459142	13.49585787300176
ERR1459146	11.12550646725753
ERR1459147	4.882551997197735
ERR1459152	8.904675306161273
ERR1459161	14.48479922141401
ERR1459162	8.636904673766333
ERR1459172	11.31881715522075
ERR1459203	9.626988611351944
ERR1459204	13.5752724289924
ERR2056783	14.8570911156922
ERR2056799	16.38360492184642
