	observed_features
ERR1458715	53
ERR1458739	77
ERR1458746	110
ERR1458747	96
ERR1458750	120
ERR1458752	128
ERR1458765	139
ERR1458793	195
ERR1458809	172
ERR1458829	177
ERR1458831	48
ERR1458855	117
ERR1458857	52
ERR1458868	151
ERR1458871	86
ERR1458881	57
ERR1458883	137
ERR1458893	146
ERR1458899	168
ERR1458906	116
ERR1458915	99
ERR1458929	26
ERR1458931	108
ERR1458936	209
ERR1458937	102
ERR1458942	88
ERR1458974	107
ERR1458980	106
ERR1458992	189
ERR1458999	161
ERR1459008	241
ERR1459017	115
ERR1459028	90
ERR1459033	127
ERR1459034	164
ERR1459035	222
ERR1459037	166
ERR1459045	150
ERR1459063	165
ERR1459072	120
ERR1459099	156
ERR1459109	77
ERR1459110	36
ERR1459123	115
ERR1459124	54
ERR1459126	98
ERR1459131	97
ERR1459142	131
ERR1459146	110
ERR1459147	37
ERR1459152	93
ERR1459161	119
ERR1459162	65
ERR1459172	85
ERR1459203	94
ERR1459204	136
ERR2056783	164
ERR2056799	184
