	shannon_entropy
ERR1458715	3.112103220997288
ERR1458739	3.630772551099992
ERR1458746	5.2139570109674755
ERR1458747	4.700473914814212
ERR1458750	4.291053496277076
ERR1458752	5.709633712898286
ERR1458765	5.17765382660172
ERR1458793	6.489680190257516
ERR1458809	6.152771733246037
ERR1458829	6.021803461323763
ERR1458831	2.2825510046123196
ERR1458855	5.376134049032869
ERR1458857	4.202955557191537
ERR1458868	5.692011014101459
ERR1458871	4.427481168532778
ERR1458881	3.154584288545592
ERR1458883	5.851345532998973
ERR1458893	5.503778598647226
ERR1458899	6.266564644025532
ERR1458906	4.860301160452139
ERR1458915	3.943583962705341
ERR1458929	2.279119399502425
ERR1458931	4.789297731067387
ERR1458936	6.263853842388008
ERR1458937	4.725185876316471
ERR1458942	4.667094418463135
ERR1458974	4.092018522519034
ERR1458980	4.292795303325016
ERR1458992	5.927482890608007
ERR1458999	6.079872261826387
ERR1459008	6.807968464222522
ERR1459017	4.4446616297991275
ERR1459028	3.833041741643115
ERR1459033	5.404994756344661
ERR1459034	5.9930577436049095
ERR1459035	6.335398376984623
ERR1459037	6.158268221144847
ERR1459045	5.726526395673617
ERR1459063	5.735444106528368
ERR1459072	5.603272068107068
ERR1459099	6.0519103002786645
ERR1459109	3.963751463207225
ERR1459110	0.7666488225472017
ERR1459123	5.492584926793894
ERR1459124	2.4673981209527445
ERR1459126	5.306276686985348
ERR1459131	5.001338053363218
ERR1459142	5.146534114702075
ERR1459146	4.824040808375098
ERR1459147	1.5269742474173353
ERR1459152	5.263553637587874
ERR1459161	4.769867170913197
ERR1459162	3.633117986392938
ERR1459172	4.251899693088052
ERR1459203	3.988255127412698
ERR1459204	5.675654972292869
ERR2056783	5.4740106317298345
ERR2056799	6.092408668064203
