	functools.partial(<function _simpsons_dominance at 0x7542dccdb370>)
ERR1458715	0.6955922009735607
ERR1458739	0.7761934084893211
ERR1458746	0.9491711164265578
ERR1458747	0.9093151605230246
ERR1458750	0.7968035029042956
ERR1458752	0.9596106484074307
ERR1458765	0.9060954011962481
ERR1458793	0.9799705526809267
ERR1458809	0.9725320908232619
ERR1458829	0.959919599913857
ERR1458831	0.5560503154788642
ERR1458855	0.9522624488526238
ERR1458857	0.9176580627710709
ERR1458868	0.9473180131752673
ERR1458871	0.894570904219278
ERR1458881	0.7540530954366348
ERR1458883	0.9687949891700381
ERR1458893	0.9467582657400948
ERR1458899	0.9769379816198085
ERR1458906	0.9070586029515773
ERR1458915	0.7965006092705442
ERR1458929	0.6708409447979382
ERR1458931	0.8899590457517804
ERR1458936	0.9673326187062867
ERR1458937	0.9167960274894146
ERR1458942	0.9133969551314574
ERR1458974	0.8106427130303933
ERR1458980	0.8518229199006873
ERR1458992	0.958422699575858
ERR1458999	0.972784098326543
ERR1459008	0.9832848148214336
ERR1459017	0.9003519321130556
ERR1459028	0.7621688274593676
ERR1459033	0.9430587228974563
ERR1459034	0.9699829380016108
ERR1459035	0.9738678517481052
ERR1459037	0.9776049534013289
ERR1459045	0.9593271399662395
ERR1459063	0.9556669732959886
ERR1459072	0.9574867582475665
ERR1459099	0.9730373174043591
ERR1459109	0.8690484808521246
ERR1459110	0.16065114861809315
ERR1459123	0.9597312000736637
ERR1459124	0.579311940763698
ERR1459126	0.9541016189967617
ERR1459131	0.9452837795309934
ERR1459142	0.9306031308903346
ERR1459146	0.8822516143473444
ERR1459147	0.3506611713684341
ERR1459152	0.9576987837911924
ERR1459161	0.8916716063570104
ERR1459162	0.801517739420001
ERR1459172	0.8796479406716181
ERR1459203	0.8398876991563503
ERR1459204	0.9617199996728749
ERR2056783	0.9464396216373885
ERR2056799	0.969237213875315
