	faith_pd
ERR1458715	7.487518005567994
ERR1458739	10.157761498444
ERR1458746	9.83160746599539
ERR1458747	9.539480794046366
ERR1458750	12.00925371123333
ERR1458752	12.28561126952472
ERR1458765	13.26465675163592
ERR1458793	17.50797666834931
ERR1458829	15.45979769212265
ERR1458831	5.798846271311819
ERR1458855	12.07676687097134
ERR1458857	9.010051371614296
ERR1458868	16.32297769752366
ERR1458871	8.73689880361215
ERR1458881	7.013641356413329
ERR1458883	19.04917569583386
ERR1458893	12.89889204465253
ERR1458899	17.79822357650447
ERR1458906	11.48439298770086
ERR1458915	11.15130283436235
ERR1458929	4.599467178474358
ERR1458931	13.66490138162407
ERR1458942	9.680408903810388
ERR1458980	19.51650826812763
ERR1458992	18.77805969931578
ERR1458999	15.38618962694713
ERR1459017	11.95967716975239
ERR1459028	12.92058762154496
ERR1459033	13.98583051053568
ERR1459034	12.77403698896288
ERR1459035	18.21879003762274
ERR1459037	16.9564324622706
ERR1459045	13.7728304862454
ERR1459063	14.23817353045439
ERR1459072	10.24237811279008
ERR1459099	14.29013893112935
ERR1459109	12.84852073972438
ERR1459110	15.65671766869865
ERR1459123	23.89915415219169
ERR1459124	6.592744354722841
ERR1459126	11.96605012453626
ERR1459131	10.47013137590917
ERR1459142	13.68596383057377
ERR1459146	11.08677838727364
ERR1459147	4.416906006685672
ERR1459152	9.229652949074769
ERR1459161	15.14941781350847
ERR1459162	8.555242241675025
ERR1459172	11.15526801769536
ERR1459204	11.40224682669007
ERR2056783	15.23219374328411
ERR2056799	17.43013185176107
