	observed_features
ERR1458715	50
ERR1458739	72
ERR1458746	110
ERR1458747	89
ERR1458750	123
ERR1458752	127
ERR1458765	129
ERR1458793	187
ERR1458829	173
ERR1458831	52
ERR1458855	116
ERR1458857	52
ERR1458868	152
ERR1458871	85
ERR1458881	55
ERR1458883	136
ERR1458893	144
ERR1458899	174
ERR1458906	111
ERR1458915	96
ERR1458929	27
ERR1458931	106
ERR1458942	90
ERR1458980	105
ERR1458992	177
ERR1458999	166
ERR1459017	113
ERR1459028	88
ERR1459033	122
ERR1459034	163
ERR1459035	209
ERR1459037	165
ERR1459045	153
ERR1459063	162
ERR1459072	108
ERR1459099	162
ERR1459109	74
ERR1459110	33
ERR1459123	123
ERR1459124	51
ERR1459126	104
ERR1459131	93
ERR1459142	124
ERR1459146	111
ERR1459147	33
ERR1459152	95
ERR1459161	111
ERR1459162	65
ERR1459172	82
ERR1459204	128
ERR2056783	164
ERR2056799	181
