	shannon_entropy
ERR1458715	2.9849206381068925
ERR1458739	3.6541625151658153
ERR1458746	5.266444574724852
ERR1458747	4.593368698573183
ERR1458750	4.288737335740804
ERR1458752	5.784599077309961
ERR1458765	5.026746998550577
ERR1458793	6.453835623354322
ERR1458829	6.010179001208111
ERR1458831	2.3241757522778865
ERR1458855	5.459544937607703
ERR1458857	4.186935766249745
ERR1458868	5.724473346640806
ERR1458871	4.437319993591699
ERR1458881	3.018216062805998
ERR1458883	5.767419728431642
ERR1458893	5.511393999028607
ERR1458899	6.265109724526106
ERR1458906	4.965722545934832
ERR1458915	3.960070831275062
ERR1458929	2.294194446529392
ERR1458931	4.768585683483869
ERR1458942	4.653843193714507
ERR1458980	4.279254449719701
ERR1458992	5.94765232573157
ERR1458999	6.0833804580956015
ERR1459017	4.514024940808857
ERR1459028	3.6956497488802817
ERR1459033	5.370859308039644
ERR1459034	6.0509301284071695
ERR1459035	6.324202211210706
ERR1459037	6.202057815614907
ERR1459045	5.706971958544901
ERR1459063	5.77105410362291
ERR1459072	5.576996302691337
ERR1459099	6.0493244829720485
ERR1459109	4.028224252401095
ERR1459110	0.7696493832949459
ERR1459123	5.468737428293348
ERR1459124	2.41396492750699
ERR1459126	5.378419634846588
ERR1459131	5.022192264187058
ERR1459142	5.050720137181287
ERR1459146	4.7863587058208
ERR1459147	1.5684022780656888
ERR1459152	5.268094058193677
ERR1459161	4.756816544752116
ERR1459162	3.686949684162647
ERR1459172	4.282478334167939
ERR1459204	5.6844544013665335
ERR2056783	5.491357035462166
ERR2056799	6.09860765560568
