	functools.partial(<function _simpsons_dominance at 0x7347193c7370>)
ERR1458715	0.6865883275637144
ERR1458739	0.7771347078084085
ERR1458746	0.9510353999580019
ERR1458747	0.9086517266490078
ERR1458750	0.7860222540687172
ERR1458752	0.9626417690932632
ERR1458765	0.898909482682752
ERR1458793	0.9804078561782814
ERR1458829	0.9598738256604975
ERR1458831	0.5481575902109277
ERR1458855	0.9545761735003596
ERR1458857	0.9131618125322097
ERR1458868	0.9484901363873222
ERR1458871	0.8978664895051882
ERR1458881	0.7368869600883188
ERR1458883	0.9654007070904297
ERR1458893	0.947843382376117
ERR1458899	0.9770455539959778
ERR1458906	0.9191725314566006
ERR1458915	0.7935573476372397
ERR1458929	0.6724088598750128
ERR1458931	0.8808535843066367
ERR1458942	0.9080999390495745
ERR1458980	0.8487811347585662
ERR1458992	0.9613613598862696
ERR1458999	0.9722202778668088
ERR1459017	0.9034424914929334
ERR1459028	0.7420929205405391
ERR1459033	0.9422976713990231
ERR1459034	0.9723234310382162
ERR1459035	0.9740148155789123
ERR1459037	0.9787582241117263
ERR1459045	0.9588742223090019
ERR1459063	0.9592835602907773
ERR1459072	0.9577239825802129
ERR1459099	0.9729603609378588
ERR1459109	0.8725505726843034
ERR1459110	0.16001267310391587
ERR1459123	0.9577714657860988
ERR1459124	0.5704304884752938
ERR1459126	0.9556903914867524
ERR1459131	0.9449198905102766
ERR1459142	0.9246412868931206
ERR1459146	0.8816943645212035
ERR1459147	0.361755716097912
ERR1459152	0.9569249548397871
ERR1459161	0.8926310567182801
ERR1459162	0.8152301564203229
ERR1459172	0.881782781525267
ERR1459204	0.9635136589944449
ERR2056783	0.9476861965911152
ERR2056799	0.9685951807002053
