	ERR1458715	ERR1458739	ERR1458746	ERR1458747	ERR1458750	ERR1458752	ERR1458765	ERR1458793	ERR1458829	ERR1458831	ERR1458855	ERR1458857	ERR1458868	ERR1458871	ERR1458881	ERR1458883	ERR1458893	ERR1458899	ERR1458906	ERR1458915	ERR1458929	ERR1458931	ERR1458942	ERR1458980	ERR1458992	ERR1458999	ERR1459017	ERR1459028	ERR1459033	ERR1459034	ERR1459035	ERR1459037	ERR1459045	ERR1459063	ERR1459072	ERR1459099	ERR1459109	ERR1459110	ERR1459123	ERR1459124	ERR1459126	ERR1459131	ERR1459142	ERR1459146	ERR1459147	ERR1459152	ERR1459161	ERR1459162	ERR1459172	ERR1459204	ERR2056783	ERR2056799
ERR1458715	0	0.3362392485141754	0.4806637167930603	0.5299487113952637	0.3282085955142975	0.5117036700248718	0.3726500570774078	0.5256352424621582	0.4454998970031738	0.2838493287563324	0.4844038784503937	0.3460627496242523	0.3881568312644958	0.4158453941345215	0.2180365025997162	0.4575214982032776	0.4646691977977753	0.4987660944461823	0.5945565700531006	0.4005232155323029	0.2368497401475906	0.3715648055076599	0.3482619524002075	0.3441290855407715	0.4536614418029785	0.4407777190208435	0.360218346118927	0.2854335606098175	0.4943784475326538	0.5156125426292419	0.4818596243858337	0.5102178454399109	0.4479939341545105	0.5244491100311279	0.4360581338405609	0.4801104962825775	0.4712216258049011	0.261663943529129	0.502375602722168	0.2478614747524261	0.4827618002891541	0.4806030988693237	0.5759832262992859	0.3668821156024933	0.2398793548345566	0.4480383396148682	0.3605401515960693	0.3028814494609833	0.2966000735759735	0.4076912999153137	0.5135429501533508	0.5336392521858215
ERR1458739	0.3362392485141754	0	0.3262000977993011	0.3429547846317291	0.1670597493648529	0.3195701241493225	0.1939478814601898	0.3596251606941223	0.2810295522212982	0.1746223568916321	0.3106496930122375	0.5850935578346252	0.2017230242490768	0.2290477603673935	0.2004292756319046	0.3086637854576111	0.2882128357887268	0.3447085618972778	0.4860045313835144	0.2824923992156982	0.4390043318271637	0.2298024296760559	0.2445603013038635	0.1930539458990097	0.2695302367210388	0.2157652974128723	0.2967857718467712	0.2189388424158096	0.3034861385822296	0.2764604091644287	0.2679842710494995	0.3191739916801453	0.3223939538002014	0.370158851146698	0.3464690148830414	0.2985480129718781	0.3043103814125061	0.2370621562004089	0.3249868154525757	0.1990426480770111	0.3183452188968658	0.2857524752616882	0.4465126395225525	0.2298394590616226	0.2228681594133377	0.3431436717510223	0.2340056896209717	0.133894219994545	0.1811429560184479	0.2899377346038818	0.3184420466423035	0.3771105110645294
ERR1458746	0.4806637167930603	0.3262000977993011	0	0.2173783779144287	0.3027887344360352	0.2176882177591324	0.2850901186466217	0.2867287397384644	0.2774839401245117	0.2843427062034607	0.1231754571199417	0.6277590990066528	0.2516801655292511	0.1746432036161423	0.3601139187812805	0.272655189037323	0.2401307970285416	0.2534512579441071	0.3958417177200317	0.4419289827346802	0.5734184384346008	0.3114960789680481	0.274620920419693	0.2753157019615173	0.3008465170860291	0.2741540372371674	0.4012686908245087	0.2775229215621948	0.2035278081893921	0.2694531977176666	0.2780371308326721	0.2702663540840149	0.2465105801820755	0.3147946000099182	0.2243498861789703	0.191246971487999	0.2064134627580643	0.4041060209274292	0.1357963085174561	0.3599620759487152	0.1882937401533127	0.2198514938354492	0.353218674659729	0.2688498198986053	0.3759870827198029	0.17966029047966	0.2421334385871887	0.2823779582977295	0.34881991147995	0.2028165310621262	0.2338419556617737	0.2702788114547729
ERR1458747	0.5299487113952637	0.3429547846317291	0.2173783779144287	0	0.3364022076129913	0.2323611378669739	0.3175579905509949	0.2814080119132996	0.2912000119686127	0.3309007883071899	0.2120183706283569	0.6804592609405518	0.2894494235515594	0.1800786703824997	0.3993331789970398	0.323227733373642	0.2624555826187134	0.3151691257953644	0.4264848232269287	0.4758983254432678	0.6250367760658264	0.3648998439311981	0.2910776734352112	0.3158773481845856	0.3244817852973938	0.3108706176280975	0.4458592534065247	0.3353813290596008	0.2380995154380798	0.2871527969837189	0.2918509542942047	0.2914536595344543	0.3018287122249603	0.367169052362442	0.300262451171875	0.2146452367305756	0.1542840301990509	0.4408137500286102	0.1998371183872223	0.3962782323360443	0.22211654484272	0.1978142261505127	0.3469556570053101	0.2963877022266388	0.4217714965343475	0.2431507557630539	0.3035686016082764	0.3225503265857697	0.3795839250087738	0.3022695183753967	0.1808908730745316	0.3675785064697266
ERR1458750	0.3282085955142975	0.1670597493648529	0.3027887344360352	0.3364022076129913	0	0.3049174547195435	0.1492282748222351	0.3128867447376251	0.2442061603069305	0.133828341960907	0.2938483953475952	0.5840757489204407	0.1884371340274811	0.2053302228450775	0.1946316063404083	0.2867005169391632	0.2448836863040924	0.3071560263633728	0.459377110004425	0.2823982536792755	0.4376691877841949	0.1988353133201599	0.1915324330329895	0.136800616979599	0.2514500021934509	0.2396009564399719	0.258687287569046	0.1676670908927917	0.2919937074184418	0.2981155812740326	0.2491442710161209	0.2995113134384155	0.2810978591442108	0.3436934947967529	0.2841923236846924	0.2731187045574188	0.2988503575325012	0.2285429239273071	0.3025239408016205	0.1802507936954498	0.280599981546402	0.2881431579589844	0.4185391664505005	0.1693925261497498	0.2056211829185486	0.309249073266983	0.1869177669286728	0.1344829052686691	0.1630955338478088	0.271175891160965	0.3083490431308746	0.3487986028194427
ERR1458752	0.5117036700248718	0.3195701241493225	0.2176882177591324	0.2323611378669739	0.3049174547195435	0	0.2418284565210342	0.1763341873884201	0.2019152939319611	0.3068616688251495	0.1874143928289413	0.6522580981254578	0.2110913693904877	0.1840188652276993	0.3895451426506042	0.2956750690937042	0.1567017436027527	0.1830611824989319	0.3918209671974182	0.4452649354934692	0.6085289120674133	0.3179836571216583	0.2548992335796356	0.2802897989749908	0.2271180152893066	0.2641365230083466	0.3965989649295807	0.3053977787494659	0.1754325181245804	0.2213383167982101	0.2212107479572296	0.1713031828403473	0.2064865231513977	0.3236278593540192	0.1992031931877136	0.1604761034250259	0.286717414855957	0.4298636317253113	0.216440737247467	0.3814211487770081	0.1420639753341675	0.2244651764631271	0.3070391118526459	0.2271046340465546	0.4107009172439575	0.1954683810472488	0.2561798393726349	0.2942819595336914	0.3506653606891632	0.2498300075531006	0.2627931535243988	0.2814367711544037
ERR1458765	0.3726500570774078	0.1939478814601898	0.2850901186466217	0.3175579905509949	0.1492282748222351	0.2418284565210342	0	0.2703110575675964	0.192446693778038	0.1612199544906616	0.2578746378421783	0.6008623838424683	0.1459247469902039	0.1788299381732941	0.2263656854629517	0.2651653587818146	0.2036229223012924	0.2548497319221497	0.4090602993965149	0.2918038964271545	0.4738009572029114	0.1737567335367203	0.1760548204183578	0.1214409098029137	0.2014311701059341	0.2169086933135986	0.2499419748783112	0.1825399547815323	0.2615484893321991	0.2595010101795197	0.2228328585624695	0.2329627871513367	0.2496854066848755	0.3222806453704834	0.2585770487785339	0.2465163022279739	0.3135047852993011	0.2676640748977661	0.2796139419078827	0.2201781868934631	0.2496926635503769	0.27113276720047	0.380577951669693	0.1369805634021759	0.2535040378570557	0.2928765118122101	0.1627028733491898	0.148658499121666	0.1778752654790878	0.2432143092155457	0.2899475693702698	0.3046362102031708
ERR1458793	0.5256352424621582	0.3596251606941223	0.2867287397384644	0.2814080119132996	0.3128867447376251	0.1763341873884201	0.2703110575675964	0	0.1779718846082687	0.3349426686763763	0.2644219994544983	0.6748536229133606	0.2806547582149506	0.241294339299202	0.4008972644805908	0.3246847093105316	0.1695279628038406	0.1899279803037643	0.4334355890750885	0.4483254551887512	0.6216729283332825	0.3458769917488098	0.2591196894645691	0.287930816411972	0.220262736082077	0.2781014740467072	0.4031279683113098	0.3113979697227478	0.1958348751068115	0.2286785244941711	0.215936005115509	0.1742628663778305	0.2288724929094315	0.3445042073726654	0.2239536643028259	0.2292847186326981	0.3653924167156219	0.4472849667072296	0.2915863394737244	0.3966264426708221	0.1870052963495255	0.2801318764686584	0.33624666929245	0.2294891327619553	0.4220832884311676	0.2373910546302795	0.2777838408946991	0.32863450050354	0.3558394312858582	0.2936376333236694	0.3017000555992126	0.3263477385044098
ERR1458829	0.4454998970031738	0.2810295522212982	0.2774839401245117	0.2912000119686127	0.2442061603069305	0.2019152939319611	0.192446693778038	0.1779718846082687	0	0.2641658186912537	0.2606901824474335	0.5933695435523987	0.2068573534488678	0.1986670345067978	0.315951943397522	0.2637232840061188	0.1445784121751785	0.2009733915328979	0.3874072432518005	0.3790353536605835	0.5448370575904846	0.2475651353597641	0.1945231109857559	0.2218560427427292	0.1452139317989349	0.188753753900528	0.32958123087883	0.2335351407527924	0.1964005678892136	0.2345042377710342	0.1710975617170334	0.1676021814346313	0.2024561911821365	0.3021389245986938	0.2010215669870377	0.2120595574378967	0.3344049751758575	0.3655000925064087	0.2808987498283386	0.3167218267917633	0.1980687528848648	0.2481764554977417	0.325326144695282	0.147317111492157	0.3331479728221893	0.2452052086591721	0.2185716778039932	0.259013831615448	0.2699449062347412	0.2444611787796021	0.2860096991062164	0.2891342043876648
ERR1458831	0.2838493287563324	0.1746223568916321	0.2843427062034607	0.3309007883071899	0.133828341960907	0.3068616688251495	0.1612199544906616	0.3349426686763763	0.2641658186912537	0	0.294064462184906	0.5645917654037476	0.2015697360038757	0.1956045776605606	0.1283164024353027	0.2902939915657043	0.2489511221647263	0.3121203184127808	0.4591248631477356	0.2452246099710464	0.4061606228351593	0.202974796295166	0.1877079010009766	0.1404876112937927	0.28022301197052	0.2616217434406281	0.2010400146245956	0.1456162631511688	0.3032992780208588	0.3222353458404541	0.2938420474529266	0.3193528354167938	0.274991363286972	0.3535812795162201	0.2905245721340179	0.2959508001804352	0.2780923843383789	0.137286052107811	0.3015313446521759	0.09981191158294678	0.28600212931633	0.310616672039032	0.4122728705406189	0.1804714798927307	0.1264529526233673	0.3050641417503357	0.1940535455942154	0.09764169156551361	0.1466954499483109	0.269084244966507	0.3158760964870453	0.3546671867370605
