	shannon_entropy
ERR1458715	2.988104627720455
ERR1458739	3.6701913806531623
ERR1458746	5.283934734636794
ERR1458747	4.671416674318394
ERR1458750	4.406235213805865
ERR1458752	5.828718406409077
ERR1458765	5.141923079088786
ERR1458793	6.547455354030856
ERR1458809	6.205059321978869
ERR1458829	6.096682300692023
ERR1458831	2.394222148657677
ERR1458855	5.471976921303122
ERR1458857	4.229765363052628
ERR1458868	5.745499968636777
ERR1458871	4.450568086194959
ERR1458881	3.118003723277593
ERR1458883	5.847730087382312
ERR1458893	5.590406424315947
ERR1458899	6.317534581086201
ERR1458906	4.94780118307363
ERR1458915	4.056385528125685
ERR1458929	2.296293503732873
ERR1458931	4.772645981164359
ERR1458936	6.386956984070229
ERR1458937	4.799674098981144
ERR1458942	4.757717511990434
ERR1458974	4.235708564736711
ERR1458980	4.371757403653301
ERR1458992	5.982970706144938
ERR1458999	6.1764383394906925
ERR1459008	6.910667791715759
ERR1459017	4.500643492904853
ERR1459028	3.854428560114854
ERR1459033	5.402030286456152
ERR1459034	6.080515111466932
ERR1459035	6.368016343465157
ERR1459037	6.277467641344001
ERR1459045	5.771464514195856
ERR1459063	5.832925021309534
ERR1459072	5.5868295625701725
ERR1459099	6.1129498539315055
ERR1459109	4.038529860883089
ERR1459110	0.7720693123125884
ERR1459123	5.529372621144622
ERR1459124	2.445027538653998
ERR1459126	5.421320777317169
ERR1459131	5.075019683574936
ERR1459142	5.173036441586887
ERR1459146	4.792218532891326
ERR1459147	1.518490217797617
ERR1459152	5.320718628912222
ERR1459161	4.826796621733075
ERR1459162	3.6410362641712863
ERR1459172	4.310080659744338
ERR1459203	3.994986906503732
ERR1459204	5.788130106259833
ERR2056783	5.595739390570824
ERR2056799	6.185668716902067
