	faith_pd
ERR1458715	7.817595737484556
ERR1458739	9.339790384481969
ERR1458746	9.039461874800503
ERR1458747	9.23244899019484
ERR1458752	12.87476197976551
ERR1458765	12.72844276990868
ERR1458793	17.60073519767814
ERR1458809	14.81063751206856
ERR1458829	16.00933109852328
ERR1458831	5.809073285749744
ERR1458855	13.76184352916411
ERR1458857	11.17301695271505
ERR1458868	16.18211680002467
ERR1458871	8.473168046492713
ERR1458881	6.483673430186712
ERR1458883	15.97428281191826
ERR1458893	12.7590909341815
ERR1458899	18.67905563720699
ERR1458906	11.89674689590013
ERR1458929	4.283694458705972
ERR1458931	14.8142176092144
ERR1458936	16.03782388913519
ERR1458937	9.3392151944943
ERR1458942	13.44947766537324
ERR1458974	11.10766352983077
ERR1458980	17.75789654630175
ERR1458999	14.84484054467296
ERR1459008	19.74305904292125
ERR1459017	10.7970309909713
ERR1459028	11.93292889989292
ERR1459033	14.1787023004225
ERR1459034	12.7686485184739
ERR1459035	18.29368022827432
ERR1459037	15.58905210679242
ERR1459045	14.90904414004009
ERR1459063	13.59715439922816
ERR1459072	11.01363368999093
ERR1459099	13.49721038982397
ERR1459109	15.48003694051282
ERR1459110	12.76050924149538
ERR1459123	19.60546060507293
ERR1459124	6.839101425403557
ERR1459126	10.09231126422002
ERR1459131	10.361546396531
ERR1459142	12.7887653211036
ERR1459146	10.30655370914605
ERR1459147	4.778672756589893
ERR1459152	12.038885712453
ERR1459161	14.32203215665962
ERR1459162	7.39674646592786
ERR1459172	12.37132624911235
ERR1459203	9.151736813180566
ERR1459204	14.7836931217709
ERR2056783	15.44214325764372
ERR2056799	15.66741321794958
