	functools.partial(<function _simpsons_dominance at 0x7d0de7583370>)
ERR1458715	0.6886954169023838
ERR1458739	0.762573103841038
ERR1458746	0.9492809287664442
ERR1458747	0.9081403291020927
ERR1458752	0.9627806610422512
ERR1458765	0.9030923563323866
ERR1458793	0.9799206855252975
ERR1458809	0.9737441086487213
ERR1458829	0.9597373086434235
ERR1458831	0.5786636116466646
ERR1458855	0.9535957345765322
ERR1458857	0.916225032117443
ERR1458868	0.9395908266150013
ERR1458871	0.8920844456973979
ERR1458881	0.7413699153688822
ERR1458883	0.9645875628395036
ERR1458893	0.9438403569151361
ERR1458899	0.9780229656272409
ERR1458906	0.9183507432893938
ERR1458929	0.678335531257509
ERR1458931	0.8719578301285265
ERR1458936	0.9707206227094445
ERR1458937	0.924376902686513
ERR1458942	0.917971388514159
ERR1458974	0.8371290884700744
ERR1458980	0.8591581540464194
ERR1458999	0.9706364267618238
ERR1459008	0.984096426118529
ERR1459017	0.8995722089043363
ERR1459028	0.7653099451496512
ERR1459033	0.9433389653169457
ERR1459034	0.9691199536827686
ERR1459035	0.9726126664762009
ERR1459037	0.9791373794058604
ERR1459045	0.9585453210703669
ERR1459063	0.9592302409139328
ERR1459072	0.9507226661167126
ERR1459099	0.9747781105672536
ERR1459109	0.8733617266034598
ERR1459110	0.15127552130535915
ERR1459123	0.9591602352945628
ERR1459124	0.5731464120228029
ERR1459126	0.9553969602424843
ERR1459131	0.945950931736953
ERR1459142	0.9313613822514942
ERR1459146	0.8771032431522205
ERR1459147	0.3509561443175304
ERR1459152	0.9612310771972777
ERR1459161	0.9046731588995116
ERR1459162	0.8073767002378298
ERR1459172	0.880878816488783
ERR1459203	0.835742220389042
ERR1459204	0.9645005288262328
ERR2056783	0.9476083620766316
ERR2056799	0.9695607998804229
