	observed_features
ERR1458715	51
ERR1458739	73
ERR1458746	101
ERR1458747	92
ERR1458750	119
ERR1458752	129
ERR1458793	191
ERR1458809	160
ERR1458829	178
ERR1458831	48
ERR1458855	118
ERR1458857	46
ERR1458868	140
ERR1458871	81
ERR1458881	56
ERR1458883	134
ERR1458893	141
ERR1458899	179
ERR1458906	113
ERR1458915	97
ERR1458929	26
ERR1458931	98
ERR1458936	199
ERR1458937	91
ERR1458942	85
ERR1458974	108
ERR1458980	110
ERR1458992	166
ERR1458999	152
ERR1459008	220
ERR1459028	86
ERR1459033	121
ERR1459034	164
ERR1459037	158
ERR1459045	150
ERR1459063	154
ERR1459072	111
ERR1459099	147
ERR1459109	73
ERR1459110	32
ERR1459123	117
ERR1459124	49
ERR1459126	99
ERR1459131	102
ERR1459142	123
ERR1459146	106
ERR1459147	33
ERR1459152	93
ERR1459162	60
ERR1459172	85
ERR1459203	88
ERR1459204	127
ERR2056799	180
