	shannon_entropy
ERR1458715	2.899729928597997
ERR1458739	3.6635328072672837
ERR1458746	5.289029662813094
ERR1458747	4.6521685014016105
ERR1458750	4.3751468389075026
ERR1458752	5.801231620680271
ERR1458793	6.386488685985821
ERR1458809	6.188863018348918
ERR1458829	6.030729323946639
ERR1458831	2.2888342966464967
ERR1458855	5.454896329029543
ERR1458857	4.145098901848173
ERR1458868	5.698537720004732
ERR1458871	4.362059191488595
ERR1458881	3.076029232857298
ERR1458883	5.814578150593584
ERR1458893	5.522641366770274
ERR1458899	6.316220895303833
ERR1458906	4.8855841091884
ERR1458915	4.175798901061044
ERR1458929	2.356491156765078
ERR1458931	4.725575686254664
ERR1458936	6.313096008661313
ERR1458937	4.828584205085446
ERR1458942	4.630190450283164
ERR1458974	4.1779558293700125
ERR1458980	4.373537495672214
ERR1458992	5.909127321759366
ERR1458999	6.092522362862394
ERR1459008	6.801839963640109
ERR1459028	3.819133132494771
ERR1459033	5.227090172079917
ERR1459034	6.043052631860801
ERR1459037	6.172558120765973
ERR1459045	5.683591833340111
ERR1459063	5.701777009487233
ERR1459072	5.5326931718446835
ERR1459099	6.055114870857116
ERR1459109	3.8832237274497197
ERR1459110	0.7612780896212324
ERR1459123	5.423927319719042
ERR1459124	2.395984095252675
ERR1459126	5.372802130827519
ERR1459131	5.020177336611965
ERR1459142	5.07437521286461
ERR1459146	4.734527051801169
ERR1459147	1.352553551240745
ERR1459152	5.279791276108373
ERR1459162	3.583566903233481
ERR1459172	4.1798787976504554
ERR1459203	3.9854922376313633
ERR1459204	5.668930581659162
ERR2056799	6.136747844713518
