	functools.partial(<function _simpsons_dominance at 0x739ebe63b370>)
ERR1458715	0.6655642358319032
ERR1458739	0.7720976521628898
ERR1458746	0.9534964022787775
ERR1458747	0.9065954753665362
ERR1458750	0.8083861055873944
ERR1458752	0.963943321936923
ERR1458793	0.9780589144588092
ERR1458809	0.975144221036121
ERR1458829	0.9608583445752267
ERR1458831	0.5536716055315792
ERR1458855	0.9559333546503598
ERR1458857	0.9134730544586958
ERR1458868	0.9500812632797822
ERR1458871	0.8957502804954884
ERR1458881	0.7502369784817863
ERR1458883	0.965839149791213
ERR1458893	0.9503631778010289
ERR1458899	0.9781904115005988
ERR1458906	0.9112953120831591
ERR1458915	0.8327773878065348
ERR1458929	0.6816002527770473
ERR1458931	0.8896531694571158
ERR1458936	0.9719192324356847
ERR1458937	0.9267324971761247
ERR1458942	0.9120483455023282
ERR1458974	0.8185889515996284
ERR1458980	0.851618359635895
ERR1458992	0.9600703083463726
ERR1458999	0.9741073810519385
ERR1459008	0.9842307612259686
ERR1459028	0.7633327594133907
ERR1459033	0.932128605998914
ERR1459034	0.9714736561286136
ERR1459037	0.978600984997985
ERR1459045	0.9553496591483154
ERR1459063	0.9579483812619554
ERR1459072	0.9562909509222768
ERR1459099	0.9749682609658127
ERR1459109	0.8602772979344558
ERR1459110	0.16253318171755948
ERR1459123	0.9572161603242206
ERR1459124	0.5665942644585253
ERR1459126	0.9571215581358828
ERR1459131	0.9425310626285407
ERR1459142	0.9202815739533687
ERR1459146	0.8799545531087225
ERR1459147	0.3143801002404789
ERR1459152	0.9592188886513323
ERR1459162	0.8028187668037137
ERR1459172	0.8749794240240365
ERR1459203	0.8320990901161526
ERR1459204	0.9623909000262995
ERR2056799	0.9702778844680235
