sample_id	plateau_depth	passes	observed_features	shannon	faith_pd	simpson
ERR1458715	1454.0	True	64.0	3.0219140352744582	12.28628184798889	0.6811415063849822
ERR1458739	1090.0	True	85.0	3.714222700962973	11.3085556541824	0.7758035316103549
ERR1458746	1090.0	True	137.0	5.329753546803498	12.23127090215187	0.9507391630343563
ERR1458747	1454.0	True	112.0	4.663049178174876	11.38108090901872	0.9077384968636424
ERR1458750	1090.0	True	160.0	4.370632318048044	16.78462769984094	0.8022485120947183
ERR1458752	1090.0	True	145.0	5.831339402684926	14.22141985592713	0.9636840731589122
ERR1458765	1817.0	False	167.0	5.11279917572088	16.23009458702855	0.9011510457726966
ERR1458793	1454.0	True	251.0	6.513778635418408	21.35050210515994	0.9790090656577032
ERR1458809	1454.0	True	207.0	6.17549253630054	20.19907723843658	0.9736259274526344
ERR1458829	1454.0	True	217.0	6.09914414850269	20.71574087120593	0.9595635864136466
ERR1458831	1090.0	True	61.0	2.431110226409729	6.873964676247324	0.572118429553601
ERR1458855	1090.0	True	135.0	5.456140029473564	20.21287565499594	0.9544989981659868
ERR1458857	727.0	True	58.0	4.218584568830332	12.28389672353191	0.9161042497968832
ERR1458868	1454.0	True	182.0	5.755168250104895	24.03810080167499	0.9497582930551316
ERR1458871	1454.0	True	100.0	4.456568138497786	9.954722420430947	0.8960949662072023
ERR1458881	1090.0	True	63.0	3.096445406359528	8.22677358104208	0.7480655714223596
ERR1458883	1454.0	True	151.0	5.853795463435958	25.63986570600643	0.9668296247184136
ERR1458893	1454.0	True	175.0	5.572280317644362	15.89090735401998	0.9478334418927332
ERR1458899	1090.0	True	209.0	6.352011879177251	27.72553499839611	0.977148096595412
ERR1458906	1454.0	True	148.0	4.999295859084491	14.15463695302073	0.9144401381235306
ERR1458915	1454.0	True	118.0	4.100181273904404	14.1755437227062	0.8089989822446249
ERR1458929	727.0	True	28.0	2.3032609501709445	7.847914686094231	0.6770606603032863
ERR1458931	1090.0	True	117.0	4.77513070388562	16.63843535376052	0.8841270330104788
ERR1458936	1454.0	True	256.0	6.427062917942124	19.53229108724739	0.970628864591229
ERR1458937	1090.0	True	119.0	4.823429209139589	11.87413338471083	0.9215171088076156
ERR1458942	1090.0	True	103.0	4.723735082212848	16.13366122888619	0.9183858171547188
ERR1458974	1454.0	True	128.0	4.185543162689058	12.98731915921237	0.8115963343374311
ERR1458980	1454.0	True	125.0	4.369424986584285	24.39605560765021	0.8568378656352599
ERR1458992	1454.0	True	231.0	5.967809916385421	22.20246717505466	0.959090264241948
ERR1458999	1454.0	True	203.0	6.203722029566358	19.70108000316092	0.9735134934229036
ERR1459008	1090.0	True	296.0	6.937894260054482	25.84374545599854	0.9840016635028715
ERR1459017	1817.0	False	150.0	4.481628932399406	15.92537390873201	0.8992751800343936
ERR1459028	1454.0	True	107.0	3.828369836081407	21.16656088752125	0.7568312968930699
ERR1459033	1090.0	True	145.0	5.399553497969389	16.10898120169311	0.9409942349761614
ERR1459034	1090.0	True	209.0	6.117026988046167	17.18165576696058	0.9717386915492338
ERR1459035	1817.0	False	275.0	6.349369766288569	22.8111642196262	0.9730026953437032
ERR1459037	1090.0	True	205.0	6.276735749571951	19.15176412881577	0.9787527529163552
ERR1459045	1454.0	True	184.0	5.753764240604643	16.47077031505775	0.9571929616637478
ERR1459063	1090.0	True	201.0	5.847774844979971	15.69151264609585	0.9592948216420262
ERR1459072	1090.0	True	127.0	5.593470678813353	13.06678558230928	0.9562206487635015
ERR1459099	1454.0	True	188.0	6.115887175753852	16.31496571172434	0.9741806292719596
ERR1459109	1454.0	True	83.0	4.015041722431318	18.85433635479461	0.8703606372890158
ERR1459110	1454.0	True	44.0	0.7675230455889959	24.77275105038741	0.1628374020306295
ERR1459123	1090.0	True	151.0	5.514792575048086	48.05581719968415	0.9583632860872232
ERR1459124	1454.0	True	58.0	2.4411526735957825	7.791850736614077	0.5720955256746334
ERR1459126	1090.0	True	111.0	5.439449125408061	12.72863043667822	0.956817669659371
ERR1459131	1090.0	True	108.0	5.072830433009903	11.72739102257947	0.944999818889076
ERR1459142	1454.0	True	152.0	5.147195929138883	15.61698310812543	0.927312337801482
ERR1459146	1454.0	True	125.0	4.82044872469403	12.88912829208557	0.8806767390272704
ERR1459147	1454.0	True	38.0	1.5199886053312976	4.970969528753374	0.3478726896963333
ERR1459152	1454.0	True	114.0	5.286942309166513	14.99647857239113	0.9598673250332586
ERR1459161	1817.0	False	131.0	4.802932851887254	18.29105045400684	0.8959843208206935
ERR1459162	1454.0	True	73.0	3.609655141727208	9.504532193755	0.802796640310077
ERR1459172	1090.0	True	96.0	4.310615738291322	14.6107801629851	0.8820070753116591
ERR1459203	1090.0	True	116.0	4.026481636648574	11.4152212800563	0.834318010023058
ERR1459204	1454.0	True	163.0	5.757189919196369	18.12616550208352	0.9647743278688408
ERR2056783	1817.0	False	216.0	5.620381325568196	19.21300963131027	0.9510147456344468
ERR2056799	1454.0	True	245.0	6.195304237927143	21.80622504682198	0.9682044998545088
