	ERR1458715	ERR1458739	ERR1458746	ERR1458747	ERR1458750	ERR1458752	ERR1458765	ERR1458793	ERR1458809	ERR1458829	ERR1458831	ERR1458855	ERR1458857	ERR1458868	ERR1458871	ERR1458881	ERR1458883	ERR1458893	ERR1458899	ERR1458906	ERR1458915	ERR1458929	ERR1458931	ERR1458936	ERR1458937	ERR1458942	ERR1458974	ERR1458980	ERR1458992	ERR1458999	ERR1459008	ERR1459017	ERR1459028	ERR1459033	ERR1459034	ERR1459035	ERR1459037	ERR1459045	ERR1459063	ERR1459072	ERR1459099	ERR1459109	ERR1459110	ERR1459123	ERR1459124	ERR1459126	ERR1459131	ERR1459142	ERR1459146	ERR1459147	ERR1459152	ERR1459161	ERR1459162	ERR1459172	ERR1459203	ERR1459204	ERR2056783	ERR2056799
ERR1458715	0.0	0.9972479721900348	0.9926129779837776	0.9976825028968713	0.9759559675550405	0.9936268829663963	0.956981460023175	0.9976825028968713	0.9979721900347625	0.9986964078794901	0.9986964078794901	0.9957995365005794	0.6888760139049827	0.9902954808806489	0.9986964078794901	0.5764774044032445	0.9917439165701043	0.9976825028968713	0.996523754345307	0.998117033603708	0.9986964078794901	0.7970741599073001	0.9976825028968713	0.9984067207415991	0.998117033603708	0.9839223638470452	0.9937717265353418	0.9986964078794901	0.998117033603708	0.9824739281575898	0.9985515643105446	0.9960892236384704	0.9875434530706837	0.9986964078794901	0.9976825028968713	0.9982618771726536	0.9966685979142526	0.9936268829663963	0.9797219003476245	0.9963789107763615	0.9972479721900348	0.9966685979142526	0.9978273464658169	1.0	0.9986964078794901	0.9991309385863267	1.0	0.9955098493626883	0.998117033603708	0.9616164542294322	0.9963789107763615	0.9972479721900348	0.990874855156431	0.9927578215527231	0.9142526071842411	0.9022305909617613	0.9982618771726536	0.9985515643105446
ERR1458739	0.9972479721900348	0.0	0.9049826187717266	0.8709443800695249	0.4761008111239861	0.90324449594438	0.5918308227114716	0.8835457705677868	0.9023754345307068	0.7043742757821553	0.49971031286210893	0.8667439165701043	0.994351100811124	0.6836616454229433	0.6517960602549246	0.6657010428736964	0.8138760139049827	0.7117612977983777	0.8587775202780996	0.9136732329084588	0.9181633835457705	0.9979721900347625	0.6058806488991889	0.8516801853997682	0.6988702201622248	0.6729432213209734	0.49565469293163383	0.5646002317497103	0.7282734646581692	0.7526071842410197	0.816917728852839	0.8948435689455388	0.46784472769409036	0.8548667439165701	0.802143684820394	0.8075028968713789	0.8361819235225956	0.9162804171494786	0.8820973348783314	0.8670336037079953	0.8667439165701043	0.8722479721900348	0.540845886442642	0.890063731170336	0.5227404403244496	0.9223638470451911	0.9313441483198146	0.9000579374275782	0.5790845886442642	0.5215816917728853	0.8996234067207416	0.8221320973348784	0.47450753186558514	0.677143684820394	0.8347334878331402	0.8829663962920047	0.8909327925840093	0.9194669756662804
ERR1458746	0.9926129779837776	0.9049826187717266	0.0	0.6906141367323291	0.8327056778679026	0.8238702201622248	0.766657010428737	0.7542004634994206	0.6300695249130939	0.7531865585168018	0.8561703360370799	0.5593858632676709	0.9934820393974507	0.7592699884125145	0.6528099652375434	0.9185979142526072	0.6993047508690614	0.680909617612978	0.7158169177288528	0.7682502896871379	0.8994785631517961	0.9933371958285052	0.7802723059096176	0.7391367323290846	0.6904692931633836	0.716396292004635	0.8232908458864426	0.8238702201622248	0.8205388180764774	0.8185110081112399	0.7476825028968713	0.8778968713789108	0.7195828505214369	0.8570393974507532	0.7589803012746235	0.833864426419467	0.785196987253766	0.7301564310544612	0.7621668597914253	0.6825028968713789	0.7733198146002318	0.7346465816917729	0.9642236384704519	0.44988412514484355	0.9542294322132098	0.6790266512166859	0.8681923522595597	0.7190034762456546	0.7849073001158748	0.9391657010428737	0.5062282734646582	0.6875724217844728	0.7837485515643106	0.8964368482039398	0.8639918887601391	0.5979142526071842	0.7191483198146003	0.6958285052143685
ERR1458747	0.9976825028968713	0.8709443800695249	0.6906141367323291	0.0	0.804316338354577	0.7862108922363847	0.7891077636152954	0.777954808806489	0.7229142526071842	0.7657879490150638	0.8949884125144844	0.6251448435689455	0.9988412514484357	0.7870799536500579	0.5853128621089224	0.9162804171494786	0.755648899188876	0.7765063731170336	0.7578215527230591	0.8277809965237544	0.8809385863267671	0.9988412514484357	0.8203939745075318	0.7079953650057937	0.723928157589803	0.7502896871378911	0.8345886442641947	0.8108342989571263	0.84545191193511	0.820683661645423	0.8008400926998841	0.9154113557358053	0.8258980301274623	0.8309675550405562	0.7359501738122828	0.7875144843568945	0.787369640787949	0.7337775202780996	0.831981460023175	0.7991019698725377	0.7229142526071842	0.6735225955967555	0.9705967555040557	0.6880069524913094	0.967989571263036	0.6370220162224797	0.7901216685979142	0.7334878331402086	0.8119930475086906	0.9585747392815759	0.6607763615295481	0.7104577056778679	0.7753476245654692	0.9191772885283893	0.8993337195828505	0.7427578215527231	0.6797508690614137	0.8406720741599073
ERR1458750	0.9759559675550405	0.4761008111239861	0.8327056778679026	0.804316338354577	0.0	0.8870220162224797	0.5055040556199305	0.8608053302433372	0.8051853997682503	0.7027809965237544	0.5154982618771726	0.841396292004635	0.9995654692931634	0.6445538818076477	0.5753186558516802	0.6646871378910776	0.7395712630359212	0.6891657010428737	0.8438586326767091	0.9088933951332561	0.8757242178447276	1.0	0.5598203939745076	0.8652954808806489	0.6706257242178447	0.6455677867902665	0.45393974507531865	0.5482329084588644	0.6867033603707995	0.7375434530706837	0.8332850521436849	0.9012166859791425	0.45133256083429896	0.8143105446118193	0.7668018539976825	0.7885283893395133	0.8482039397450754	0.8670336037079953	0.8877462340672074	0.8286500579374276	0.8034472769409038	0.8037369640787949	0.546494785631518	0.8295191193511008	0.5385283893395133	0.820683661645423	0.8160486674391657	0.8800695249130939	0.5023174971031287	0.515063731170336	0.7963499420625724	0.7896871378910776	0.44655272305909616	0.639774044032445	0.8109791425260718	0.7941772885283893	0.8509559675550405	0.8780417149478563
ERR1458752	0.9936268829663963	0.90324449594438	0.8238702201622248	0.7862108922363847	0.8870220162224797	0.0	0.8186558516801854	0.6732329084588644	0.8534183082271147	0.7788238702201622	0.7694090382387022	0.6993047508690614	0.9930475086906141	0.8119930475086906	0.839513325608343	0.9248261877172653	0.8227114716106605	0.7588354577056778	0.7301564310544612	0.8553012746234068	0.9503186558516802	0.9949304750869061	0.8725376593279258	0.6305040556199305	0.7812862108922364	0.8445828505214369	0.8034472769409038	0.8392236384704519	0.8033024333719583	0.8505214368482039	0.8050405561993047	0.8639918887601391	0.8858632676709154	0.7307358053302433	0.7475376593279258	0.7550695249130939	0.7384125144843569	0.8411066048667439	0.7654982618771726	0.8384994206257242	0.7165411355735806	0.7531865585168018	0.9669756662804172	0.7841830822711472	0.9936268829663963	0.7830243337195828	0.8632676709154113	0.7743337195828505	0.8353128621089224	0.9548088064889919	0.7643395133256083	0.7733198146002318	0.9087485515643106	0.966396292004635	0.8448725376593279	0.7959154113557358	0.7285631517960602	0.7838933951332561
ERR1458765	0.956981460023175	0.5918308227114716	0.766657010428737	0.7891077636152954	0.5055040556199305	0.8186558516801854	0.0	0.7720162224797219	0.7457995365005794	0.580388180764774	0.6074739281575898	0.7482618771726536	0.9994206257242179	0.5053592120509849	0.4984067207415991	0.621234067207416	0.6849652375434531	0.5974797219003476	0.7303012746234068	0.834154113557358	0.8613847045191193	1.0	0.524188876013905	0.7621668597914253	0.5677867902665121	0.5999420625724218	0.5421494785631518	0.5104287369640788	0.6180475086906141	0.6848203939745076	0.7400057937427578	0.8221320973348784	0.5660486674391657	0.772595596755504	0.7092989571263036	0.6936558516801854	0.733053302433372	0.8037369640787949	0.7895422943221321	0.7838933951332561	0.6936558516801854	0.7937427578215527	0.6803302433371958	0.7644843568945539	0.6775782155272306	0.7809965237543454	0.8480590961761297	0.8034472769409038	0.4698725376593279	0.6365874855156431	0.766657010428737	0.7159617612977984	0.5084009269988412	0.6200753186558516	0.7614426419466975	0.6982908458864426	0.7844727694090382	0.8095307068366164
ERR1458793	0.9976825028968713	0.8835457705677868	0.7542004634994206	0.777954808806489	0.8608053302433372	0.6732329084588644	0.7720162224797219	0.0	0.7213209733487833	0.6606315179606026	0.8212630359212051	0.6761297798377752	0.9984067207415991	0.7360950173812283	0.7492757821552724	0.9225086906141368	0.7710023174971031	0.6449884125144844	0.6964078794901506	0.7714368482039398	0.8912224797219004	0.9988412514484357	0.8419756662804172	0.6613557358053302	0.7778099652375434	0.8037369640787949	0.8157589803012746	0.7705677867902665	0.716396292004635	0.7957705677867902	0.6991599073001159	0.8144553881807648	0.7584009269988412	0.7459443800695249	0.6946697566628042	0.6645422943221321	0.7074159907300116	0.8231460023174971	0.7281286210892236	0.7557937427578215	0.6868482039397451	0.8641367323290846	0.9743626882966396	0.69220741599073	0.9640787949015064	0.7542004634994206	0.8248841251448435	0.7417439165701043	0.7589803012746235	0.9601680185399768	0.6716396292004635	0.7705677867902665	0.8650057937427578	0.9278679026651216	0.8270567786790266	0.733053302433372	0.6929316338354577	0.740874855156431
ERR1458809	0.9979721900347625	0.9023754345307068	0.6300695249130939	0.7229142526071842	0.8051853997682503	0.8534183082271147	0.7457995365005794	0.7213209733487833	0.0	0.7187137891077636	0.875	0.6942352259559675	0.9985515643105446	0.7440614136732329	0.6972769409038239	0.9210602549246814	0.6465816917728853	0.7191483198146003	0.7359501738122828	0.7421784472769409	0.8823870220162224	0.9994206257242179	0.8053302433371958	0.7659327925840093	0.7586906141367323	0.7429026651216686	0.8105446118192352	0.7342120509849362	0.7814310544611819	0.8040266512166859	0.7360950173812283	0.8241599073001159	0.7691193511008111	0.847045191193511	0.7079953650057937	0.8031575898030128	0.7287079953650057	0.6522305909617613	0.7824449594438007	0.7359501738122828	0.7127752027809965	0.7976535341830823	0.9482908458864426	0.5995075318655851	0.9490150637311703	0.6672943221320974	0.837630359212051	0.7636152954808807	0.7188586326767091	0.9564020857473928	0.6390498261877172	0.7192931633835458	0.7773754345307068	0.878765932792584	0.8592120509849362	0.6787369640787949	0.7146581691772885	0.7584009269988412
ERR1458829	0.9986964078794901	0.7043742757821553	0.7531865585168018	0.7657879490150638	0.7027809965237544	0.7788238702201622	0.580388180764774	0.6606315179606026	0.7187137891077636	0.0	0.7039397450753186	0.6864136732329085	0.9995654692931634	0.5585168018539977	0.5750289687137891	0.7543453070683661	0.7046639629200464	0.48638470451911936	0.6777230590961761	0.765063731170336	0.8718134414831982	1.0	0.6380359212050984	0.716396292004635	0.6122537659327926	0.6189165701042874	0.6632387022016223	0.5889339513325609	0.5760428736964078	0.6767091541135574	0.5984936268829664	0.7857763615295481	0.6403534183082271	0.7392815758980301	0.668018539976825	0.6332560834298957	0.6838064889918888	0.7698435689455388	0.7673812282734647	0.7517381228273464	0.7200173812282734	0.7935979142526072	0.794611819235226	0.72045191193511	0.7975086906141368	0.727694090382387	0.8243047508690614	0.7527520278099652	0.5961761297798378	0.7833140208574739	0.7191483198146003	0.729287369640788	0.6497682502896871	0.7452201622247973	0.7654982618771726	0.7688296639629201	0.6984356894553881	0.7879490150637312
