	faith_pd
ERR1458715	12.05393574758452
ERR1458739	11.3085556541824
ERR1458746	11.67329483643069
ERR1458747	11.81692541806369
ERR1458750	17.45495118102792
ERR1458752	14.31688955015663
ERR1458765	16.22222462863509
ERR1458793	20.77193677342787
ERR1458809	20.25541643724713
ERR1458829	20.68382230091047
ERR1458831	6.927205310900742
ERR1458855	16.54738601234452
ERR1458857	13.84414154500961
ERR1458868	18.99555271888758
ERR1458871	10.40863440602158
ERR1458881	8.22677358104208
ERR1458883	27.80219586946286
ERR1458893	15.85559894773205
ERR1458899	27.93749975061297
ERR1458906	13.90089854541898
ERR1458915	14.11141756643569
ERR1458929	7.847914686094231
ERR1458931	16.63843535376052
ERR1458936	19.73997647945326
ERR1458937	11.83684843839716
ERR1458942	15.77900949886768
ERR1458974	13.29126745278479
ERR1458980	26.42288917839175
ERR1458992	21.20707118349868
ERR1458999	20.09158813530681
ERR1459008	28.22312763908708
ERR1459017	16.86310235300052
ERR1459028	19.78893163716455
ERR1459033	15.85020351881426
ERR1459034	16.05960671557001
ERR1459035	22.51675846584919
ERR1459037	19.2269129405773
ERR1459045	16.17239840677266
ERR1459063	15.59429272648923
ERR1459072	13.06678558230928
ERR1459099	16.38307002299877
ERR1459109	18.85433635479461
ERR1459110	28.2364086232529
ERR1459123	50.45201313364053
ERR1459124	7.791850736614077
ERR1459126	12.72863043667822
ERR1459131	11.97689572608858
ERR1459142	14.57569088351009
ERR1459146	12.88912829208557
ERR1459147	4.970969528753374
ERR1459152	20.66024420799893
ERR1459161	17.74957515213204
ERR1459162	9.532907420858129
ERR1459172	14.6107801629851
ERR1459203	11.90591795995926
ERR1459204	22.86254969204219
ERR2056783	18.92231125678294
ERR2056799	23.29623365344939
