	observed_features
ERR1458715	64
ERR1458739	85
ERR1458746	133
ERR1458747	113
ERR1458750	164
ERR1458752	145
ERR1458765	167
ERR1458793	246
ERR1458809	218
ERR1458829	217
ERR1458831	61
ERR1458855	133
ERR1458857	59
ERR1458868	181
ERR1458871	104
ERR1458881	63
ERR1458883	154
ERR1458893	173
ERR1458899	211
ERR1458906	143
ERR1458915	117
ERR1458929	28
ERR1458931	117
ERR1458936	255
ERR1458937	120
ERR1458942	100
ERR1458974	129
ERR1458980	126
ERR1458992	225
ERR1458999	207
ERR1459008	295
ERR1459017	157
ERR1459028	106
ERR1459033	144
ERR1459034	206
ERR1459035	273
ERR1459037	209
ERR1459045	183
ERR1459063	198
ERR1459072	127
ERR1459099	187
ERR1459109	83
ERR1459110	46
ERR1459123	149
ERR1459124	58
ERR1459126	111
ERR1459131	109
ERR1459142	155
ERR1459146	125
ERR1459147	38
ERR1459152	118
ERR1459161	128
ERR1459162	74
ERR1459172	96
ERR1459203	120
ERR1459204	168
ERR2056783	217
ERR2056799	258
