	ERR1458715	ERR1458739	ERR1458746	ERR1458747	ERR1458750	ERR1458752	ERR1458765	ERR1458793	ERR1458809	ERR1458829	ERR1458831	ERR1458855	ERR1458857	ERR1458868	ERR1458871	ERR1458881	ERR1458883	ERR1458893	ERR1458899	ERR1458906	ERR1458915	ERR1458929	ERR1458931	ERR1458936	ERR1458937	ERR1458942	ERR1458974	ERR1458980	ERR1458992	ERR1458999	ERR1459008	ERR1459017	ERR1459028	ERR1459033	ERR1459034	ERR1459035	ERR1459037	ERR1459045	ERR1459063	ERR1459072	ERR1459099	ERR1459109	ERR1459110	ERR1459123	ERR1459124	ERR1459126	ERR1459131	ERR1459142	ERR1459146	ERR1459147	ERR1459152	ERR1459161	ERR1459162	ERR1459172	ERR1459203	ERR1459204	ERR2056783	ERR2056799
ERR1458715	0	0.3291257321834564	0.4749685525894165	0.5223528742790222	0.3365782201290131	0.5094588994979858	0.3623071908950806	0.5158467292785645	0.4394100606441498	0.4371377229690552	0.279041051864624	0.48594930768013	0.3582848012447357	0.3798930943012238	0.4081210494041443	0.2123110294342041	0.4537797272205353	0.4596192836761475	0.4942821562290192	0.5945084691047668	0.3961583971977234	0.2367793023586273	0.3694199323654175	0.4639609158039093	0.4324714839458466	0.3463274538516998	0.3369958400726318	0.3391281366348267	0.4459756016731262	0.4319057166576385	0.4409524202346802	0.3524817228317261	0.2791071236133575	0.4837558269500732	0.5082616806030273	0.475311279296875	0.5006449818611145	0.4441166520118713	0.5258341431617737	0.4352426826953888	0.4828935265541077	0.4620817899703979	0.2530481815338135	0.5025562644004822	0.2385218292474747	0.4769874811172485	0.4794000387191772	0.563203752040863	0.3595154583454132	0.2303053438663483	0.4417685866355896	0.3552188873291016	0.2946160733699799	0.2909118831157684	0.2529704868793488	0.4171560108661652	0.5126174092292786	0.5281843543052673
ERR1458739	0.3291257321834564	0	0.3208548724651337	0.3355236649513245	0.167475163936615	0.32073774933815	0.1875595152378082	0.3541290462017059	0.3056004643440247	0.268761157989502	0.1642460823059082	0.3164791762828827	0.5847561359405518	0.1944977939128876	0.2253909111022949	0.1888317465782166	0.3101460933685303	0.2891763150691986	0.3385546803474426	0.4865607619285583	0.2763462960720062	0.4386429488658905	0.2395817488431931	0.2886732816696167	0.258780300617218	0.2446082532405853	0.1433259695768356	0.1881800293922424	0.2656232714653015	0.2111025005578995	0.3544538617134094	0.2917278110980988	0.2164277285337448	0.3063081800937653	0.2758390009403229	0.2661217451095581	0.3059607446193695	0.3140925168991089	0.369845986366272	0.346993625164032	0.2953491508960724	0.2942003607749939	0.2346716374158859	0.3257855176925659	0.1905911713838577	0.3159320950508118	0.2868815362453461	0.4387903213500977	0.2240581065416336	0.2177611589431763	0.3418819308280945	0.2294218242168427	0.1248245760798454	0.1788701415061951	0.2475281357765198	0.286745548248291	0.3157877624034882	0.3807879090309143
ERR1458746	0.4749685525894165	0.3208548724651337	0	0.2079584747552872	0.2920126914978027	0.2210085391998291	0.2746423482894897	0.2750140726566315	0.205883577466011	0.2748579382896423	0.2673740983009338	0.1181993409991264	0.6284185647964478	0.2602462470531464	0.1672454625368118	0.3564113676548004	0.2665281593799591	0.2542760670185089	0.2464101761579514	0.4018654525279999	0.4341033399105072	0.5760557651519775	0.3103131055831909	0.1524400115013123	0.227243646979332	0.2692193388938904	0.2299588918685913	0.2766561806201935	0.3009117543697357	0.2758237719535828	0.2902129888534546	0.405474066734314	0.2783051729202271	0.2030960470438004	0.268853485584259	0.273034930229187	0.2643199563026428	0.2328591644763947	0.3138795793056488	0.2240484803915024	0.1922271102666855	0.2015757113695145	0.3978121876716614	0.1355754435062408	0.3571293950080872	0.1817644089460373	0.2168095260858536	0.3384429812431335	0.2671647965908051	0.3755089938640594	0.1861768215894699	0.2385260760784149	0.27968630194664	0.3489800095558167	0.3346068859100342	0.1910095810890198	0.2278248369693756	0.2584371864795685
ERR1458747	0.5223528742790222	0.3355236649513245	0.2079584747552872	0	0.3198331892490387	0.2336576730012894	0.312744677066803	0.2759751677513123	0.2779988348484039	0.2790661752223969	0.3152442574501038	0.1961484998464584	0.6774164438247681	0.2951186895370483	0.1717856377363205	0.394571840763092	0.3112251460552216	0.2712708115577698	0.3067314326763153	0.426322728395462	0.4651786088943481	0.624847412109375	0.3614104390144348	0.205216571688652	0.2748354971408844	0.2867268621921539	0.2893362045288086	0.3130477070808411	0.3182199001312256	0.3010873198509216	0.3133181929588318	0.4512462317943573	0.330599308013916	0.2262127250432968	0.2768831551074982	0.2851599454879761	0.2822884321212769	0.2864687144756317	0.3607671856880188	0.2903423607349396	0.2077137976884842	0.1521539688110352	0.4382703602313995	0.1842686831951141	0.3964889049530029	0.2180615216493607	0.1885837316513062	0.3388611078262329	0.3003840148448944	0.4222346544265747	0.2403586804866791	0.2905496656894684	0.320501983165741	0.3815431594848633	0.376295804977417	0.2869177758693695	0.178273007273674	0.3564037680625916
ERR1458750	0.3365782201290131	0.167475163936615	0.2920126914978027	0.3198331892490387	0	0.2938326001167297	0.1318346858024597	0.2977533936500549	0.2664206624031067	0.223088338971138	0.1336823999881744	0.2909708321094513	0.5893735885620117	0.1750672459602356	0.1928945183753967	0.2012185603380203	0.2757299840450287	0.2318889498710632	0.2942715883255005	0.4545733630657196	0.2843245565891266	0.4517774283885956	0.2008217722177505	0.2612608075141907	0.2504073977470398	0.1899988353252411	0.1244857758283615	0.1256043314933777	0.2319896519184113	0.2294291257858276	0.2957539558410645	0.2653589248657227	0.1723227500915527	0.2756137549877167	0.2825466096401215	0.2393486052751541	0.2804052531719208	0.270265132188797	0.3384903371334076	0.2755435407161713	0.2608347535133362	0.2929831743240356	0.2375817000865936	0.2888344526290894	0.1931951642036438	0.2711828351020813	0.2720968723297119	0.3998464643955231	0.1590594500303268	0.2197653651237488	0.3010485470294952	0.1696323752403259	0.1348258703947067	0.1672139316797256	0.2031851559877396	0.2642525136470795	0.3016107082366943	0.3394271731376648
ERR1458752	0.5094588994979858	0.32073774933815	0.2210085391998291	0.2336576730012894	0.2938326001167297	0	0.2459350377321243	0.1681743562221527	0.2038939595222473	0.1990799456834793	0.2981195151805878	0.1973045170307159	0.6550948023796082	0.2146073579788208	0.195850670337677	0.3869022130966187	0.287099689245224	0.1622475832700729	0.1807023882865906	0.4017863273620605	0.4448218643665314	0.6133353710174561	0.319439172744751	0.1721939444541931	0.267207145690918	0.258909285068512	0.2544315457344055	0.2780599296092987	0.2221156358718872	0.2578859627246857	0.19708251953125	0.4024728536605835	0.3070738911628723	0.1753208786249161	0.2219936698675156	0.2075818181037903	0.171024426817894	0.198210671544075	0.3197539746761322	0.1945292949676514	0.1630269289016724	0.2913330495357513	0.4323044121265411	0.2278506457805634	0.3862544298171997	0.1426157206296921	0.2270102798938751	0.3037221133708954	0.2333024889230728	0.4154044389724731	0.1996348798274994	0.2518700063228607	0.3012453019618988	0.3564886152744293	0.3170271217823029	0.2407120615243912	0.2563575506210327	0.2742303013801575
ERR1458765	0.3623071908950806	0.1875595152378082	0.2746423482894897	0.312744677066803	0.1318346858024597	0.2459350377321243	0	0.2599644064903259	0.2371430993080139	0.1841239184141159	0.1513740122318268	0.2589828073978424	0.596916675567627	0.1381746679544449	0.1787506490945816	0.2162039428949356	0.2541999816894531	0.196831613779068	0.2477982491254807	0.414431095123291	0.283009797334671	0.4730853140354156	0.1777351498603821	0.2445022314786911	0.2300235480070114	0.1761202067136765	0.1169497966766357	0.1149652302265167	0.2020269930362701	0.2076934427022934	0.2591544687747955	0.251109391450882	0.1810090094804764	0.2545357644557953	0.258003443479538	0.2166984230279922	0.2286724895238876	0.2433403879404068	0.3090140521526337	0.2559665441513062	0.2487528175115585	0.2983071804046631	0.2633331716060638	0.2790912389755249	0.2153962850570679	0.2456459552049637	0.2750512361526489	0.3746146261692047	0.133621484041214	0.2505728900432587	0.2908884584903717	0.1496734023094177	0.1426100134849548	0.175665408372879	0.2087452411651611	0.2411359548568726	0.2777098119258881	0.3002495169639587
ERR1458793	0.5158467292785645	0.3541290462017059	0.2750140726566315	0.2759751677513123	0.2977533936500549	0.1681743562221527	0.2599644064903259	0	0.225563570857048	0.1724202632904053	0.3182982504367828	0.2599300444126129	0.6697483062744141	0.2686597108840942	0.2434249669313431	0.3922531008720398	0.3085083961486816	0.1550928801298141	0.1831154674291611	0.4366882741451263	0.4379825592041016	0.6178234219551086	0.3439204692840576	0.2228589057922363	0.3408475816249847	0.2536126673221588	0.2794827818870544	0.277955561876297	0.2135505825281143	0.2797625064849854	0.173955500125885	0.3971619307994843	0.3012943267822266	0.1929449886083603	0.2283094823360443	0.1935895979404449	0.1762316524982452	0.214766800403595	0.3384444117546082	0.2052914500236511	0.2137897610664368	0.354425460100174	0.4409580826759338	0.2832987904548645	0.392880767583847	0.1764207482337952	0.2733604609966278	0.3230262100696564	0.2208022922277451	0.4169551730155945	0.2262625992298126	0.257606565952301	0.3222360610961914	0.3521930277347565	0.3215450942516327	0.2806366086006165	0.2971041202545166	0.3126327693462372
ERR1458809	0.4394100606441498	0.3056004643440247	0.205883577466011	0.2779988348484039	0.2664206624031067	0.2038939595222473	0.2371430993080139	0.225563570857048	0	0.2125163078308105	0.2808300256729126	0.1973905563354492	0.5921591520309448	0.2238762378692627	0.2174569666385651	0.3594017326831818	0.239590048789978	0.2251074463129044	0.2244694381952286	0.3786388337612152	0.4196523427963257	0.5473089218139648	0.2989564538002014	0.1486641764640808	0.2704305648803711	0.2410765290260315	0.2207575440406799	0.2341978549957275	0.2153933048248291	0.2522502243518829	0.2290132939815521	0.3879565596580505	0.2691515386104584	0.2046051621437073	0.2197260409593582	0.216493546962738	0.2034000903367996	0.1576577872037888	0.3024029135704041	0.2195885628461838	0.1669783294200897	0.2895824611186981	0.4091879427433014	0.2050011456012726	0.3677269816398621	0.1803386062383652	0.2259647250175476	0.3492098152637482	0.2196105867624283	0.388932079076767	0.1765811294317245	0.2322026342153549	0.2805467844009399	0.3256898820400238	0.3361642062664032	0.1961029022932053	0.2599521279335022	0.264549046754837
ERR1458829	0.4371377229690552	0.268761157989502	0.2748579382896423	0.2790661752223969	0.223088338971138	0.1990799456834793	0.1841239184141159	0.1724202632904053	0.2125163078308105	0	0.2514020502567291	0.2581921517848969	0.5981658697128296	0.1949836909770966	0.1882847547531128	0.3098195195198059	0.2497261166572571	0.1388207823038101	0.1946513652801514	0.4006001353263855	0.3713005781173706	0.5442320108413696	0.250419020652771	0.2060449719429016	0.2698125243186951	0.1840341091156006	0.2169478088617325	0.2060601264238358	0.1396211534738541	0.1857632249593735	0.1685612350702286	0.3303339183330536	0.2283280938863754	0.1840097010135651	0.2315445095300674	0.1482119858264923	0.173163503408432	0.191595658659935	0.3008300065994263	0.1937173306941986	0.1974279582500458	0.3227774202823639	0.3595996499061584	0.2775740325450897	0.3146303296089172	0.1912450343370438	0.2368008196353912	0.3193293511867523	0.1399563252925873	0.3329449594020844	0.2379194051027298	0.2003644406795502	0.2474621385335922	0.2695020735263824	0.2704554796218872	0.2428691834211349	0.2762757241725922	0.2910099923610687
ERR1458831	0.279041051864624	0.1642460823059082	0.2673740983009338	0.3152442574501038	0.1336823999881744	0.2981195151805878	0.1513740122318268	0.3182982504367828	0.2808300256729126	0.2514020502567291	0	0.2810817956924438	0.5688145160675049	0.1930414438247681	0.1850683689117432	0.1358807981014252	0.2795920073986053	0.2436165511608124	0.3048379123210907	0.4575077891349792	0.2471873015165329	0.4166198372840881	0.2012048959732056	0.2722697556018829	0.2324165105819702	0.1851201206445694	0.1128518655896187	0.1298867762088776	0.2723300158977509	0.2546263635158539	0.3077730536460876	0.2109548896551132	0.148477777838707	0.282817542552948	0.31224125623703	0.2849763035774231	0.3098064363002777	0.2638747990131378	0.3525686264038086	0.2908356785774231	0.2865345478057861	0.2601365745067596	0.148700088262558	0.2903454005718231	0.1138654425740242	0.2716026306152344	0.3022029101848602	0.4030057787895203	0.1781122237443924	0.1412997543811798	0.2973108291625977	0.1820891201496124	0.08803296089172363	0.1495445668697357	0.1511242389678955	0.2596451640129089	0.3021874129772186	0.3469290435314178
