	ERR1458715	ERR1458739	ERR1458746	ERR1458747	ERR1458750	ERR1458752	ERR1458793	ERR1458809	ERR1458829	ERR1458831	ERR1458855	ERR1458857	ERR1458868	ERR1458871	ERR1458881	ERR1458883	ERR1458893	ERR1458899	ERR1458906	ERR1458915	ERR1458929	ERR1458931	ERR1458936	ERR1458937	ERR1458942	ERR1458974	ERR1458980	ERR1458992	ERR1458999	ERR1459008	ERR1459028	ERR1459033	ERR1459034	ERR1459037	ERR1459045	ERR1459063	ERR1459072	ERR1459099	ERR1459109	ERR1459110	ERR1459123	ERR1459124	ERR1459126	ERR1459131	ERR1459142	ERR1459146	ERR1459147	ERR1459152	ERR1459162	ERR1459172	ERR1459203	ERR1459204	ERR2056799
ERR1458715	0.0	0.9931224209078404	0.9938101788170564	0.9965612104539202	0.9635488308115543	0.9903713892709766	0.9993122420907841	0.9965612104539202	0.9979367262723521	0.9979367262723521	0.9965612104539202	0.6898211829436038	0.9931224209078404	0.9979367262723521	0.5729023383768913	0.9938101788170564	0.9965612104539202	0.9965612104539202	0.9965612104539202	0.9979367262723521	0.7888583218707015	0.9972489683631361	0.9979367262723521	0.9972489683631361	0.9869325997248969	0.9924346629986245	0.9979367262723521	0.9972489683631361	0.9779917469050894	0.9972489683631361	0.9800550206327373	0.9979367262723521	0.9979367262723521	0.9972489683631361	0.9938101788170564	0.9786795048143053	0.9931224209078404	0.9951856946354883	0.9944979367262724	0.9979367262723521	1.0	0.9979367262723521	0.9986244841815681	1.0	0.9993122420907841	0.9979367262723521	0.9566712517193948	0.9938101788170564	0.9869325997248969	0.9910591471801926	0.9126547455295736	0.8927097661623109	0.9986244841815681
ERR1458739	0.9931224209078404	0.0	0.9085281980742779	0.859009628610729	0.4938101788170564	0.8920220082530949	0.8858321870701513	0.8947730398899587	0.7132049518569463	0.5006877579092159	0.8631361760660248	0.9910591471801926	0.6925722145804677	0.6396148555708391	0.6664374140302614	0.8177441540577717	0.7248968363136176	0.8535075653370013	0.9126547455295736	0.9167812929848693	0.9979367262723521	0.6141678129298487	0.843878954607978	0.6932599724896836	0.6623108665749656	0.5013755158184319	0.5598349381017882	0.7242090784044016	0.7537826685006878	0.8191196698762035	0.46011004126547456	0.8700137551581844	0.8108665749656121	0.8308115543328748	0.9112792297111417	0.8782668500687758	0.8720770288858322	0.8548830811554333	0.8885832187070152	0.5364511691884457	0.8768913342503438	0.515818431911967	0.9243466299862448	0.921595598349381	0.9105914718019257	0.5749656121045392	0.5185694635488308	0.8961485557083907	0.4766162310866575	0.6843191196698762	0.8253094910591472	0.8734525447042641	0.9174690508940853
ERR1458746	0.9938101788170564	0.9085281980742779	0.0	0.7042640990371389	0.8308115543328748	0.843878954607978	0.7723521320495186	0.6781292984869326	0.7709766162310867	0.8727647867950481	0.562585969738652	0.9944979367262724	0.7702888583218707	0.6918844566712518	0.9243466299862448	0.7008253094910591	0.6932599724896836	0.7331499312242091	0.7881705639614855	0.8920220082530949	0.9944979367262724	0.7991746905089409	0.7579092159559835	0.7063273727647867	0.7434662998624484	0.8294360385144429	0.8356258596973866	0.843878954607978	0.8370013755158184	0.7565337001375516	0.7159559834938102	0.8617606602475929	0.7462173314993122	0.7950481430536451	0.7434662998624484	0.7909215955983494	0.7063273727647867	0.7847317744154058	0.7482806052269602	0.9649243466299863	0.48349381017881704	0.953920220082531	0.6829436038514443	0.875515818431912	0.7462173314993122	0.7984869325997249	0.9449793672627235	0.5137551581843192	0.7916093535075653	0.8988995873452544	0.8658872077028886	0.609353507565337	0.7028885832187071
ERR1458747	0.9965612104539202	0.859009628610729	0.7042640990371389	0.0	0.8033012379642366	0.7874828060522696	0.7833562585969739	0.7441540577716643	0.7716643741403026	0.8988995873452544	0.6121045392022009	0.9986244841815681	0.7902338376891335	0.6066024759284732	0.9044016506189821	0.7606602475928473	0.7799174690508941	0.7661623108665749	0.8342503438789546	0.8686382393397524	0.9986244841815681	0.8088033012379643	0.6932599724896836	0.7283356258596974	0.7730398899587345	0.844566712517194	0.8170563961485557	0.8473177441540578	0.811554332874828	0.8033012379642366	0.8211829436038515	0.8363136176066025	0.7248968363136176	0.7771664374140302	0.7324621733149931	0.8349381017881705	0.8094910591471802	0.7310866574965612	0.6609353507565336	0.9745529573590096	0.68707015130674	0.969050894085282	0.6189821182943603	0.8012379642365888	0.7462173314993122	0.8033012379642366	0.9607977991746905	0.6609353507565336	0.7881705639614855	0.9222833562585969	0.8940852819807428	0.7420907840440165	0.843878954607978
ERR1458750	0.9635488308115543	0.4938101788170564	0.8308115543328748	0.8033012379642366	0.0	0.9147180192572214	0.8693259972489684	0.7950481430536451	0.7200825309491059	0.5254470426409904	0.8548830811554333	0.9993122420907841	0.6657496561210454	0.5880330123796423	0.6740027510316369	0.7455295735900963	0.7255845942228336	0.8521320495185695	0.9160935350756534	0.8789546079779917	1.0	0.5894085281980743	0.874828060522696	0.6733149931224209	0.655433287482806	0.4731774415405777	0.5447042640990372	0.7056396148555708	0.7482806052269602	0.8466299862448419	0.4477303988995873	0.8363136176066025	0.7888583218707015	0.8486932599724897	0.8651994497936726	0.8892709766162311	0.859697386519945	0.8067400275103164	0.8218707015130674	0.5591471801925723	0.8204951856946355	0.530949105914718	0.8314993122420908	0.8411279229711142	0.8920220082530949	0.5096286107290234	0.5165061898211829	0.7984869325997249	0.4511691884456671	0.6478679504814305	0.8143053645116919	0.7902338376891335	0.8865199449793673
ERR1458752	0.9903713892709766	0.8920220082530949	0.843878954607978	0.7874828060522696	0.9147180192572214	0.0	0.6953232462173315	0.8569463548830811	0.7943603851444292	0.7716643741403026	0.7207702888583218	0.9910591471801926	0.8204951856946355	0.8562585969738652	0.9312242090784044	0.828748280605227	0.750343878954608	0.7386519944979367	0.8803301237964236	0.9484181568088033	0.9958734525447043	0.8665749656121046	0.6506189821182944	0.7998624484181568	0.8548830811554333	0.8239339752407153	0.8342503438789546	0.8081155433287482	0.8645116918844566	0.81292984869326	0.8844566712517193	0.7469050894085282	0.7819807427785419	0.7682255845942229	0.8349381017881705	0.7689133425034388	0.844566712517194	0.71939477303989	0.7696011004126547	0.969050894085282	0.7819807427785419	0.9917469050894085	0.7861072902338377	0.8741403026134801	0.7888583218707015	0.8335625859697386	0.9546079779917469	0.7757909215955984	0.9078404401650619	0.969050894085282	0.8500687757909215	0.8060522696011004	0.8005502063273727
ERR1458793	0.9993122420907841	0.8858321870701513	0.7723521320495186	0.7833562585969739	0.8693259972489684	0.6953232462173315	0.0	0.7365887207702888	0.6836313617606602	0.8246217331499313	0.6946354883081155	0.9986244841815681	0.7331499312242091	0.7696011004126547	0.9257221458046767	0.7799174690508941	0.6588720770288858	0.717331499312242	0.7867950481430537	0.9009628610729024	0.9993122420907841	0.8466299862448419	0.6740027510316369	0.7744154057771664	0.8246217331499313	0.8376891334250344	0.7634112792297112	0.7248968363136176	0.7861072902338377	0.7028885832187071	0.7799174690508941	0.7682255845942229	0.7097661623108665	0.718707015130674	0.843878954607978	0.7338376891334251	0.797799174690509	0.6939477303988996	0.8686382393397524	0.9773039889958735	0.6987620357634112	0.9656121045392022	0.7565337001375516	0.828060522696011	0.7469050894085282	0.765474552957359	0.9718019257221459	0.68707015130674	0.8610729023383769	0.9429160935350757	0.8356258596973866	0.7585969738651994	0.7689133425034388
ERR1458809	0.9965612104539202	0.8947730398899587	0.6781292984869326	0.7441540577716643	0.7950481430536451	0.8569463548830811	0.7365887207702888	0.0	0.7242090784044016	0.8851444291609354	0.7118294360385145	0.9965612104539202	0.7551581843191196	0.7427785419532325	0.9291609353507565	0.6643741403026134	0.7462173314993122	0.7524071526822559	0.7544704264099037	0.8679504814305364	0.9986244841815681	0.8108665749656121	0.7867950481430537	0.7702888583218707	0.7757909215955984	0.8191196698762035	0.7517193947730398	0.7909215955983494	0.8026134800550206	0.7414030261348006	0.7757909215955984	0.8383768913342503	0.7077028885832187	0.7469050894085282	0.6753782668500687	0.7957359009628611	0.7558459422283357	0.7290233837689133	0.828748280605227	0.9552957359009628	0.6279229711141678	0.9511691884456671	0.6767537826685007	0.8521320495185695	0.7702888583218707	0.7262723521320495	0.9662998624484181	0.6485557083906465	0.7819807427785419	0.8782668500687758	0.8521320495185695	0.6760660247592847	0.7675378266850069
ERR1458829	0.9979367262723521	0.7132049518569463	0.7709766162310867	0.7716643741403026	0.7200825309491059	0.7943603851444292	0.6836313617606602	0.7242090784044016	0.0	0.71939477303989	0.6939477303988996	0.9993122420907841	0.5515818431911967	0.5983493810178817	0.7689133425034388	0.703576341127923	0.515818431911967	0.6788170563961485	0.7785419532324622	0.8707015130674003	1.0	0.6437414030261348	0.7207702888583218	0.6127922971114168	0.6416781292984869	0.6891334250343879	0.5969738651994498	0.5859697386519945	0.6905089408528198	0.6148555708390646	0.6643741403026134	0.7558459422283357	0.671939477303989	0.6760660247592847	0.7592847317744154	0.7792297111416782	0.7757909215955984	0.7152682255845942	0.8149931224209078	0.8094910591471802	0.7159559834938102	0.8012379642365888	0.7207702888583218	0.8349381017881705	0.7675378266850069	0.6079779917469051	0.8046767537826685	0.718707015130674	0.6595598349381018	0.7517193947730398	0.7792297111416782	0.7757909215955984	0.7950481430536451
ERR1458831	0.9979367262723521	0.5006877579092159	0.8727647867950481	0.8988995873452544	0.5254470426409904	0.7716643741403026	0.8246217331499313	0.8851444291609354	0.71939477303989	0.0	0.8149931224209078	1.0	0.7207702888583218	0.6581843191196699	0.6987620357634112	0.8177441540577717	0.687757909215956	0.8933975240715268	0.90646492434663	0.9683631361760661	1.0	0.6141678129298487	0.7565337001375516	0.6265474552957359	0.6636863823933975	0.4759284731774415	0.49105914718019256	0.7469050894085282	0.8328748280605227	0.8088033012379643	0.4312242090784044	0.7819807427785419	0.8927097661623109	0.8686382393397524	0.8810178817056397	0.8342503438789546	0.8638239339752407	0.8067400275103164	0.7221458046767538	0.30605226960110044	0.8294360385144429	0.343878954607978	0.8762035763411279	0.8851444291609354	0.8858321870701513	0.5701513067400276	0.3074277854195323	0.8301237964236589	0.5392022008253095	0.7221458046767538	0.8239339752407153	0.8782668500687758	0.8858321870701513
