	ERR1458715	ERR1458739	ERR1458746	ERR1458747	ERR1458750	ERR1458752	ERR1458793	ERR1458809	ERR1458829	ERR1458831	ERR1458855	ERR1458857	ERR1458868	ERR1458871	ERR1458881	ERR1458883	ERR1458893	ERR1458899	ERR1458906	ERR1458915	ERR1458929	ERR1458931	ERR1458936	ERR1458937	ERR1458942	ERR1458974	ERR1458980	ERR1458992	ERR1458999	ERR1459008	ERR1459028	ERR1459033	ERR1459034	ERR1459037	ERR1459045	ERR1459063	ERR1459072	ERR1459099	ERR1459109	ERR1459110	ERR1459123	ERR1459124	ERR1459126	ERR1459131	ERR1459142	ERR1459146	ERR1459147	ERR1459152	ERR1459162	ERR1459172	ERR1459203	ERR1459204	ERR2056799
ERR1458715	0	0.3332701325416565	0.4807076752185822	0.5291430354118347	0.3459885120391846	0.5122729539871216	0.526128351688385	0.450540155172348	0.4503692090511322	0.2891492247581482	0.4956406950950623	0.3555997014045715	0.394044041633606	0.4176803231239319	0.2189422398805618	0.4640742540359497	0.4749372005462646	0.5075249075889587	0.6029418110847473	0.4066630601882935	0.2355528771877289	0.3912588357925415	0.4738185703754425	0.4457282721996307	0.3572344481945038	0.3448011875152588	0.3494432270526886	0.4545570313930511	0.4555013179779053	0.4475593566894531	0.2948009073734283	0.4967636466026306	0.5136949419975281	0.5124857425689697	0.4572137594223022	0.5396300554275513	0.4341543316841125	0.4864107072353363	0.4804159104824066	0.2568580508232117	0.5196707248687744	0.2465915381908417	0.4843531548976898	0.4910567700862885	0.5750719904899597	0.3700703084468842	0.2403111159801483	0.4491600096225739	0.3042057156562805	0.2915712893009186	0.2612375319004059	0.4283948838710785	0.5341516733169556
ERR1458739	0.3332701325416565	0	0.3183088302612305	0.3336571156978607	0.1773631274700165	0.3193367719650269	0.3555583655834198	0.3033134341239929	0.2731418013572693	0.1700423061847687	0.3254568874835968	0.5838854312896729	0.1996175050735474	0.2287109941244125	0.1860982179641724	0.3101823925971985	0.2891115546226501	0.3459284901618958	0.4885264933109283	0.2661110758781433	0.4329413175582886	0.2458113878965378	0.2896583378314972	0.2584037482738495	0.2402537763118744	0.1459827125072479	0.1884746700525284	0.265203058719635	0.2177236527204514	0.3546513915061951	0.2098627090454102	0.3137950599193573	0.2779507339000702	0.3020186722278595	0.3208705186843872	0.3636775314807892	0.3436069190502167	0.2917626202106476	0.3037287294864655	0.2350261509418488	0.3264283835887909	0.1910613775253296	0.313300758600235	0.2828247547149658	0.445956289768219	0.2227157056331635	0.2180058509111404	0.3464705646038055	0.1264406591653824	0.1777360588312149	0.240895539522171	0.2764588296413422	0.3774479627609253
ERR1458746	0.4807076752185822	0.3183088302612305	0	0.2191805243492126	0.299944132566452	0.2267664968967438	0.2770224213600159	0.2117663621902466	0.2723084688186646	0.269395500421524	0.1317178010940552	0.62535160779953	0.2513918876647949	0.1743726581335068	0.3535141348838806	0.26445472240448	0.2360276132822037	0.25323885679245	0.4118191301822662	0.4238254725933075	0.5666922330856323	0.3070677220821381	0.1554160416126251	0.2281067073345184	0.2701783180236816	0.2299544811248779	0.2726690769195557	0.3035797774791718	0.2800056934356689	0.283276230096817	0.2723104357719421	0.1959271281957626	0.2685739994049072	0.2595110535621643	0.2287232577800751	0.3195190727710724	0.2141706049442291	0.2003875374794006	0.2253806591033936	0.3954942524433136	0.154521107673645	0.3537040650844574	0.1703784763813019	0.2257455438375473	0.3464385569095612	0.2674325406551361	0.3734312653541565	0.1958168596029282	0.2700169682502747	0.345915675163269	0.3353249728679657	0.1924362778663635	0.2513428628444672
ERR1458747	0.5291430354118347	0.3336571156978607	0.2191805243492126	0	0.3277915120124817	0.2385222315788269	0.2731568515300751	0.2836877405643463	0.2772689163684845	0.3203701972961426	0.2048097103834152	0.6759240031242371	0.291710764169693	0.1673583537340164	0.3893207311630249	0.2980301976203918	0.2568926215171814	0.3062067925930023	0.4337573349475861	0.4545072615146637	0.6178759336471558	0.3586925864219666	0.2093273997306824	0.2728260159492493	0.2907471060752869	0.2924501895904541	0.3133393824100494	0.3236054182052612	0.2955073118209839	0.3109410405158997	0.3198517560958862	0.215091198682785	0.2795947790145874	0.2750894725322723	0.280722051858902	0.3515133857727051	0.2972486317157745	0.2103749960660934	0.1645559221506119	0.4419142305850983	0.1819327175617218	0.4007592797279358	0.2077874392271042	0.1885514706373215	0.3448877036571503	0.2985465228557587	0.4214358031749725	0.2430454790592194	0.3166161179542542	0.3791018426418304	0.3780041933059692	0.2854355275630951	0.351062148809433
ERR1458750	0.3459885120391846	0.1773631274700165	0.299944132566452	0.3277915120124817	0	0.2989374101161957	0.3048308193683624	0.2751118540763855	0.2317839860916138	0.1440329402685165	0.3123915791511536	0.5938445925712585	0.1887943595647812	0.2074002027511597	0.2039583176374435	0.2941111326217651	0.2453914880752563	0.3039511740207672	0.464565247297287	0.2815158665180206	0.4494069814682007	0.2211451828479767	0.2748438715934753	0.25840163230896	0.1943409740924835	0.1352332681417465	0.1409637778997421	0.2403578907251358	0.2437816858291626	0.2982068955898285	0.1718847304582596	0.2895088493824005	0.2914581298828125	0.2925223410129547	0.2793043553829193	0.3407656252384186	0.2805855572223663	0.2658426463603973	0.3162147700786591	0.2438568025827408	0.312889039516449	0.1972956508398056	0.274421215057373	0.2836705446243286	0.4152475893497467	0.1659100353717804	0.2235975563526154	0.3132368326187134	0.1416038870811462	0.1750318706035614	0.2046074569225311	0.266450971364975	0.3415454030036926
ERR1458752	0.5122729539871216	0.3193367719650269	0.2267664968967438	0.2385222315788269	0.2989374101161957	0	0.1676483452320099	0.2137507498264313	0.1993937790393829	0.298116534948349	0.2136256396770477	0.6522675156593323	0.2271354347467422	0.2045237869024277	0.3809130191802979	0.2878903448581696	0.1498283296823502	0.1839029490947723	0.4201957881450653	0.4362921714782715	0.6019118428230286	0.3209671080112457	0.1852934211492538	0.2774429321289062	0.267719954252243	0.2565811276435852	0.2754841148853302	0.2389118224382401	0.2674842774868011	0.196713387966156	0.2939114570617676	0.1799687445163727	0.2406137436628342	0.1761726588010788	0.190074160695076	0.3269410729408264	0.1919504255056381	0.1627808064222336	0.3093835711479187	0.4298014044761658	0.2348557412624359	0.3820444941520691	0.1330530941486359	0.2372151613235474	0.3100605607032776	0.2357247471809387	0.4135108590126038	0.1969373822212219	0.2911303639411926	0.3567241430282593	0.3186874687671661	0.2400457262992859	0.2744282186031342
ERR1458793	0.526128351688385	0.3555583655834198	0.2770224213600159	0.2731568515300751	0.3048308193683624	0.1676483452320099	0	0.2296046763658524	0.1750681400299072	0.3254197835922241	0.2712439000606537	0.6731088161468506	0.2721924781799316	0.2457590699195862	0.3949671387672424	0.3168837130069733	0.1499097943305969	0.1880332678556442	0.4499280154705048	0.436074823141098	0.6165071725845337	0.3491096198558807	0.2273246943950653	0.334767073392868	0.2681415379047394	0.2819863855838776	0.2853808403015137	0.2234837412834167	0.284865528345108	0.1823623776435852	0.2986406683921814	0.2015555649995804	0.2308462560176849	0.1775916516780853	0.2183613777160645	0.3449366688728333	0.2291611731052399	0.2102140784263611	0.3675416707992554	0.4475077688694	0.2889897227287292	0.3949445784091949	0.1827704608440399	0.2794252336025238	0.3329164683818817	0.227381244301796	0.424283891916275	0.2318494468927383	0.3234583139419556	0.3630027174949646	0.3266061842441559	0.2856607437133789	0.3177639842033386
ERR1458809	0.450540155172348	0.3033134341239929	0.2117663621902466	0.2836877405643463	0.2751118540763855	0.2137507498264313	0.2296046763658524	0	0.2163529694080353	0.289561927318573	0.2079662382602692	0.5953861474990845	0.2341234683990479	0.232087641954422	0.3596043288707733	0.2321621775627136	0.2228008806705475	0.2366372793912888	0.3848218619823456	0.4073656499385834	0.5445388555526733	0.2940890192985535	0.1562205255031586	0.2688805460929871	0.2506999969482422	0.2207388281822205	0.2336969375610352	0.2174381017684937	0.2568519115447998	0.2245844006538391	0.2715006768703461	0.2037833034992218	0.2192058116197586	0.2090768069028854	0.1622007787227631	0.3027191162109375	0.2102451324462891	0.1715129315853119	0.3097727596759796	0.4129614531993866	0.2192339897155762	0.3674293160438538	0.1864381581544876	0.2388724088668823	0.3564424216747284	0.2206380814313889	0.3957025408744812	0.1906215399503708	0.279060959815979	0.3301263749599457	0.3366707563400269	0.2002787739038467	0.2696644365787506
ERR1458829	0.4503692090511322	0.2731418013572693	0.2723084688186646	0.2772689163684845	0.2317839860916138	0.1993937790393829	0.1750681400299072	0.2163529694080353	0	0.2532059252262115	0.2682376205921173	0.6007349491119385	0.2020227015018463	0.1954999268054962	0.3136333525180817	0.2612107396125793	0.1446506381034851	0.1890674233436584	0.4116930365562439	0.3666480183601379	0.5448590517044067	0.259583443403244	0.2086414843797684	0.2691763043403625	0.2006645947694778	0.2197714745998383	0.2171274423599243	0.1499887257814407	0.1922579854726791	0.1590766757726669	0.2270280122756958	0.1976513564586639	0.2320476621389389	0.1671906709671021	0.1940510869026184	0.3028824925422668	0.2114890813827515	0.1926746219396591	0.3372246325016022	0.3649323880672455	0.2778154611587524	0.3177506029605865	0.1937365829944611	0.2433763146400452	0.3255046904087067	0.1474495977163315	0.3411261439323425	0.2474096119403839	0.2536693513393402	0.2782666385173798	0.2708302736282349	0.2416135668754578	0.2952570021152496
ERR1458831	0.2891492247581482	0.1700423061847687	0.269395500421524	0.3203701972961426	0.1440329402685165	0.298116534948349	0.3254197835922241	0.289561927318573	0.2532059252262115	0	0.2954420745372772	0.569751501083374	0.2048166692256927	0.1954032778739929	0.1302608549594879	0.2896401882171631	0.2454326301813126	0.311786949634552	0.4590676128864288	0.2479476183652878	0.4123257398605347	0.2130088210105896	0.2787064611911774	0.2404399812221527	0.1814168691635132	0.1246404200792313	0.137661412358284	0.2731308341026306	0.2657714486122131	0.3030511140823364	0.1417675018310547	0.2942407727241516	0.311338871717453	0.3133493661880493	0.2746142148971558	0.3473584949970245	0.2822723686695099	0.283877968788147	0.2839003205299377	0.1474211812019348	0.3030761480331421	0.1091508790850639	0.2730837464332581	0.3085845410823822	0.4086941480636597	0.1783236265182495	0.1377566158771515	0.3048878610134125	0.09214583039283752	0.1436623930931091	0.14505235850811	0.2554168999195099	0.3410066664218903
