	observed_features
ERR1458715	52
ERR1458739	80
ERR1458746	115
ERR1458747	99
ERR1458750	126
ERR1458752	135
ERR1458765	132
ERR1458793	200
ERR1458809	176
ERR1458829	172
ERR1458831	56
ERR1458855	117
ERR1458857	53
ERR1458868	153
ERR1458871	90
ERR1458881	54
ERR1458883	134
ERR1458893	140
ERR1458899	179
ERR1458906	115
ERR1458915	95
ERR1458929	26
ERR1458931	108
ERR1458936	198
ERR1458937	96
ERR1458942	90
ERR1458974	112
ERR1458980	107
ERR1458992	186
ERR1458999	162
ERR1459008	230
ERR1459017	124
ERR1459028	91
ERR1459033	127
ERR1459034	169
ERR1459035	213
ERR1459037	175
ERR1459045	156
ERR1459063	171
ERR1459072	117
ERR1459099	157
ERR1459109	73
ERR1459123	127
ERR1459124	48
ERR1459126	102
ERR1459131	96
ERR1459142	126
ERR1459146	111
ERR1459147	37
ERR1459152	95
ERR1459161	115
ERR1459162	68
ERR1459172	92
ERR1459203	99
ERR1459204	146
ERR2056783	166
ERR2056799	189
