	shannon_entropy
ERR1458715	3.0311567060107008
ERR1458739	3.659431368038423
ERR1458746	5.273037049605068
ERR1458747	4.568530266185983
ERR1458750	4.3341054892588655
ERR1458752	5.85312452946938
ERR1458765	5.069953084416405
ERR1458793	6.4251246452852335
ERR1458809	6.2208180164766045
ERR1458829	5.896830285375261
ERR1458831	2.5105823150158284
ERR1458855	5.330247873537343
ERR1458857	4.1524552365171905
ERR1458868	5.768639220298285
ERR1458871	4.462051290372797
ERR1458881	3.1034575657554244
ERR1458883	5.835094334918783
ERR1458893	5.432786292888979
ERR1458899	6.256744532946866
ERR1458906	5.0039437749560225
ERR1458915	4.118713718349884
ERR1458929	2.362126145496482
ERR1458931	4.729485072173284
ERR1458936	6.363091624530476
ERR1458937	4.688871472337067
ERR1458942	4.760672130238416
ERR1458974	4.12989359768605
ERR1458980	4.361312175504869
ERR1458992	5.997699543643981
ERR1458999	6.057867927703666
ERR1459008	6.762183172442486
ERR1459017	4.594447954528777
ERR1459028	3.8440808286642034
ERR1459033	5.298412505150215
ERR1459034	6.044807765581263
ERR1459035	6.208100278204329
ERR1459037	6.187388037943815
ERR1459045	5.670084726660833
ERR1459063	5.852769913251861
ERR1459072	5.500087852813254
ERR1459099	6.028606599579707
ERR1459109	3.9221901836305793
ERR1459123	5.486895336512008
ERR1459124	2.459431860309298
ERR1459126	5.389473158014025
ERR1459131	5.026426828838434
ERR1459142	5.05964181397478
ERR1459146	4.921369679606782
ERR1459147	1.652510038029956
ERR1459152	5.328413572916148
ERR1459161	4.7930734109859765
ERR1459162	3.5851633713443802
ERR1459172	4.365057901637
ERR1459203	3.9887175562213257
ERR1459204	5.791136758735107
ERR2056783	5.513662557786998
ERR2056799	6.0377982393496925
