	functools.partial(<function _simpsons_dominance at 0x7ebf0e4c7370>)
ERR1458715	0.6958036207299192
ERR1458739	0.77193411821151
ERR1458746	0.950838242986725
ERR1458747	0.9002677276828728
ERR1458750	0.7962425438945882
ERR1458752	0.965332309148993
ERR1458765	0.9054054094985626
ERR1458793	0.9784597192357751
ERR1458809	0.9740295969485284
ERR1458829	0.9520564811816729
ERR1458831	0.5863954112826061
ERR1458855	0.9512259468379267
ERR1458857	0.9124676774631083
ERR1458868	0.9515530719623781
ERR1458871	0.9000902320134945
ERR1458881	0.7532589083289389
ERR1458883	0.9670781880539356
ERR1458893	0.9432731715901522
ERR1458899	0.9771160830764543
ERR1458906	0.9203974327947178
ERR1458915	0.82082417963531
ERR1458929	0.6855003908842343
ERR1458931	0.8830821486910906
ERR1458936	0.9734595511298084
ERR1458937	0.9186673043587302
ERR1458942	0.919986709027351
ERR1458974	0.8111067460773003
ERR1458980	0.8535342689313822
ERR1458992	0.9605932353553199
ERR1458999	0.9724654542238366
ERR1459008	0.9825106186935653
ERR1459017	0.9040593501901718
ERR1459028	0.7651862538387981
ERR1459033	0.935986156549363
ERR1459034	0.9715095219157174
ERR1459035	0.9701616452455241
ERR1459037	0.9777370150256445
ERR1459045	0.9536527306315423
ERR1459063	0.9595131166573628
ERR1459072	0.95427184521893
ERR1459099	0.9726477961913549
ERR1459109	0.8655997339382321
ERR1459123	0.9586129167778539
ERR1459124	0.5794882248585411
ERR1459126	0.9571135932907848
ERR1459131	0.9464674878516935
ERR1459142	0.9282448010579469
ERR1459146	0.8940226667421881
ERR1459147	0.3821833118329334
ERR1459152	0.9604975209670545
ERR1459161	0.8976180141748162
ERR1459162	0.7958463590216415
ERR1459172	0.889394452018468
ERR1459203	0.8317913523261776
ERR1459204	0.9653916763012084
ERR2056783	0.9509981708253458
ERR2056799	0.9665432778967309
