sample_id	plateau_depth	passes	observed_features	shannon	faith_pd	simpson
ERR1458715	727.0	True	64.0	2.962554825727276	12.05393574758452	0.6811415063849822
ERR1458739	1090.0	True	85.0	3.667437838428386	11.3085556541824	0.7758035316103549
ERR1458746	1090.0	True	133.0	5.323751140469542	11.67329483643069	0.9507391630343563
ERR1458747	1090.0	True	113.0	4.643997295958794	11.81692541806369	0.9077384968636424
ERR1458750	1090.0	True	164.0	4.44837858055991	17.45495118102792	0.8022485120947183
ERR1458752	1090.0	True	145.0	5.831415563428162	14.31688955015663	0.9636840731589122
ERR1458765	1454.0	True	167.0	5.133434634012281	16.22222462863509	0.9011510457726966
ERR1458793	1454.0	True	246.0	6.472851604511416	20.77193677342787	0.9790090656577032
ERR1458809	1817.0	True	218.0	6.209469169606947	20.25541643724713	0.9736259274526344
ERR1458829	1090.0	True	217.0	6.049548527517436	20.68382230091047	0.9595635864136466
ERR1458831	1090.0	True	61.0	2.439205011953239	6.927205310900742	0.572118429553601
ERR1458855	1090.0	True	133.0	5.416164598582013	16.54738601234452	0.9544989981659868
ERR1458857	1090.0	True	59.0	4.190480399698919	13.84414154500961	0.9161042497968832
ERR1458868	1454.0	True	181.0	5.793315952817642	18.99555271888758	0.9497582930551316
ERR1458871	1090.0	True	104.0	4.484671119637034	10.40863440602158	0.8960949662072023
ERR1458881	1454.0	True	63.0	3.133553200967838	8.22677358104208	0.7480655714223596
ERR1458883	1454.0	True	154.0	5.82916073802594	27.80219586946286	0.9668296247184136
ERR1458893	1817.0	True	173.0	5.532525394932312	15.85559894773205	0.9478334418927332
ERR1458899	1454.0	True	211.0	6.332301875741654	27.93749975061297	0.977148096595412
ERR1458906	1454.0	True	143.0	4.967963757269855	13.90089854541898	0.9144401381235306
ERR1458915	1817.0	True	117.0	4.103567953590184	14.11141756643569	0.8089989822446249
ERR1458929	1090.0	True	28.0	2.333495886929119	7.847914686094231	0.6770606603032863
ERR1458931	1090.0	True	117.0	4.77226744989824	16.63843535376052	0.8841270330104788
ERR1458936	1817.0	True	255.0	6.370970315655331	19.73997647945326	0.970628864591229
ERR1458937	1090.0	True	120.0	4.765846927630497	11.83684843839716	0.9215171088076156
ERR1458942	1090.0	True	100.0	4.7275057359497135	15.77900949886768	0.9183858171547188
ERR1458974	1454.0	True	129.0	4.148556813062955	13.29126745278479	0.8115963343374311
ERR1458980	1090.0	True	126.0	4.375797640352451	26.42288917839175	0.8568378656352599
ERR1458992	1454.0	True	225.0	5.999343431657664	21.20707118349868	0.959090264241948
ERR1458999	1454.0	True	207.0	6.1139865321859865	20.09158813530681	0.9735134934229036
ERR1459008	1817.0	True	295.0	6.89468015588236	28.22312763908708	0.9840016635028715
ERR1459017	1454.0	True	157.0	4.5179735833758246	16.86310235300052	0.8992751800343936
ERR1459028	1090.0	True	106.0	3.836908458346073	19.78893163716455	0.7568312968930699
ERR1459033	1454.0	True	144.0	5.3761208313706055	15.85020351881426	0.9409942349761614
ERR1459034	1090.0	True	206.0	6.096111548152097	16.05960671557001	0.9717386915492338
ERR1459035	1817.0	True	273.0	6.345057536038923	22.51675846584919	0.9730026953437032
ERR1459037	1454.0	True	209.0	6.254620190636943	19.2269129405773	0.9787527529163552
ERR1459045	1090.0	True	183.0	5.736808216262019	16.17239840677266	0.9571929616637478
ERR1459063	1090.0	True	198.0	5.848766063516197	15.59429272648923	0.9592948216420262
ERR1459072	1454.0	True	127.0	5.589543891926556	13.06678558230928	0.9562206487635015
ERR1459099	1090.0	True	187.0	6.122585747499373	16.38307002299877	0.9741806292719596
ERR1459109	1090.0	True	83.0	4.039431543548287	18.85433635479461	0.8703606372890158
ERR1459110	2180.0	False	46.0	0.8009623594044595	28.2364086232529	0.1628374020306295
ERR1459123	1090.0	True	149.0	5.5087015557481775	50.45201313364053	0.9583632860872232
ERR1459124	1817.0	True	58.0	2.435076389082317	7.791850736614077	0.5720955256746334
ERR1459126	1090.0	True	111.0	5.409514799307431	12.72863043667822	0.956817669659371
ERR1459131	1454.0	True	109.0	5.067115547183725	11.97689572608858	0.944999818889076
ERR1459142	1090.0	True	155.0	5.153381534724198	14.57569088351009	0.927312337801482
ERR1459146	1454.0	True	125.0	4.815884279267981	12.88912829208557	0.8806767390272704
ERR1459147	1454.0	True	38.0	1.5169553086110337	4.970969528753374	0.3478726896963333
ERR1459152	1454.0	True	118.0	5.354521214234185	20.66024420799893	0.9598673250332586
ERR1459161	1454.0	True	128.0	4.832785509133202	17.74957515213204	0.8959843208206935
ERR1459162	1454.0	True	74.0	3.628406869062777	9.532907420858129	0.802796640310077
ERR1459172	1454.0	True	96.0	4.311954431561144	14.6107801629851	0.8820070753116591
ERR1459203	1454.0	True	120.0	4.008663640765427	11.90591795995926	0.834318010023058
ERR1459204	1090.0	True	168.0	5.812059102817294	22.86254969204219	0.9647743278688408
ERR2056783	1454.0	True	217.0	5.568131339123594	18.92231125678294	0.9510147456344468
ERR2056799	1817.0	True	258.0	6.181818151035338	23.29623365344939	0.9682044998545088
