	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S294	L3S313	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
L1S105	0	0.1216200068593025	0.1079631671309471	0.1285818368196487	0.1167832016944885	0.09935595095157623	0.05767173692584038	0.1509027034044266	0.8105967044830322	0.7795912623405457	0.678537905216217	0.7179914116859436	0.7046663165092468	0.7537803053855896	0.7650110125541687	0.699065625667572	0.8095949292182922	0.7853888273239136	0.1173676922917366	0.7610682249069214	0.7123923301696777	0.803942859172821	0.7449566125869751	0.7183113694190979	0.6107572913169861	0.7161499857902527	0.6758186817169189	0.7010565996170044	0.6867292523384094	0.7031112909317017	0.5891631841659546
L1S140	0.1216200068593025	0	0.1114244684576988	0.1539128422737122	0.1643204838037491	0.168271616101265	0.09839880466461182	0.1459871232509613	0.8552843928337097	0.8280209898948669	0.726179838180542	0.7655489444732666	0.7521600723266602	0.8003933429718018	0.8068307638168335	0.7443597912788391	0.8500683307647705	0.8346034288406372	0.05870101973414421	0.806440532207489	0.7605061531066895	0.8524776101112366	0.7931104302406311	0.7664612531661987	0.657318651676178	0.7632606029510498	0.7246508002281189	0.7491688132286072	0.7344029545783997	0.7508400082588196	0.6386116147041321
L1S208	0.1079631671309471	0.1114244684576988	0	0.06086764484643936	0.09480417519807816	0.1486792266368866	0.08887054026126862	0.1595568954944611	0.8387638926506042	0.8157122135162354	0.7108145356178284	0.7521827220916748	0.7394968271255493	0.7862582802772522	0.7890166640281677	0.7322218418121338	0.8341976404190063	0.8220792412757874	0.09861187636852264	0.7902961373329163	0.7488881945610046	0.8403645753860474	0.7806154489517212	0.752108097076416	0.6446844935417175	0.7506385445594788	0.7112788558006287	0.7360279560089111	0.722098708152771	0.7374608516693115	0.6251529455184937
L1S257	0.1285818368196487	0.1539128422737122	0.06086764484643936	0	0.09230250120162964	0.154322624206543	0.1135282963514328	0.1849276721477509	0.8295682668685913	0.8082466125488281	0.7025218605995178	0.7437453269958496	0.7321991324424744	0.7771021127700806	0.7806711196899414	0.7235138416290283	0.8250804543495178	0.8136249780654907	0.1397925168275833	0.7829562425613403	0.7394303679466248	0.8313387632369995	0.7727741599082947	0.7444005608558655	0.6371592879295349	0.7432743310928345	0.7036895751953125	0.729509174823761	0.7145696878433228	0.7308076620101929	0.6172910928726196
L1S281	0.1167832016944885	0.1643204838037491	0.09480417519807816	0.09230250120162964	0	0.09381509572267532	0.1239659711718559	0.2177115678787231	0.7954663038253784	0.7725468277931213	0.6689043045043945	0.7091346383094788	0.6952197551727295	0.7432438731193542	0.7459187507629395	0.6883978843688965	0.7910586595535278	0.779407262802124	0.1480336636304855	0.7483426928520203	0.7046611309051514	0.7971085906028748	0.737719714641571	0.7090995907783508	0.6002675294876099	0.7066744565963745	0.668097198009491	0.6923733949661255	0.6770514249801636	0.6934832334518433	0.5818833112716675
L1S57	0.09935595095157623	0.168271616101265	0.1486792266368866	0.154322624206543	0.09381509572267532	0	0.09631192684173584	0.1769826412200928	0.7655035257339478	0.7450224161148071	0.6375967264175415	0.6787540912628174	0.6699796319007874	0.7129358053207397	0.7173366546630859	0.6610167026519775	0.7615028023719788	0.7505146861076355	0.1609914004802704	0.7178705930709839	0.6746126413345337	0.7672730684280396	0.7111111283302307	0.683599591255188	0.5761757493019104	0.6815340518951416	0.6433752775192261	0.6670926213264465	0.6527012586593628	0.66929030418396	0.5566157698631287
L1S76	0.05767173692584038	0.09839880466461182	0.08887054026126862	0.1135282963514328	0.1239659711718559	0.09631192684173584	0	0.1317148357629776	0.8108217716217041	0.789334774017334	0.6818315982818604	0.723946750164032	0.7123901844024658	0.7585247159004211	0.761533260345459	0.7059296369552612	0.8062219023704529	0.794599175453186	0.0908818393945694	0.7621253132820129	0.7198218107223511	0.8121935129165649	0.7536911964416504	0.7259455323219299	0.6178690195083618	0.7241414785385132	0.685204803943634	0.7096360325813293	0.6947082281112671	0.7111596465110779	0.5987551808357239
L1S8	0.1509027034044266	0.1459871232509613	0.1595568954944611	0.1849276721477509	0.2177115678787231	0.1769826412200928	0.1317148357629776	0	0.8024255037307739	0.7827728986740112	0.6750654578208923	0.7113763689994812	0.7107365131378174	0.7482620477676392	0.7548449039459229	0.7008821964263916	0.8011260628700256	0.7908085584640503	0.1459407806396484	0.7562575936317444	0.7152631282806396	0.7957832813262939	0.7511033415794373	0.7241265177726746	0.6153052449226379	0.7223931550979614	0.6835823655128479	0.7075124979019165	0.6927323341369629	0.7082251906394958	0.5975825786590576
L2S155	0.8105967044830322	0.8552843928337097	0.8387638926506042	0.8295682668685913	0.7954663038253784	0.7655035257339478	0.8108217716217041	0.8024255037307739	0	0.2334195822477341	0.3174136281013489	0.3348774313926697	0.3972518146038055	0.254232257604599	0.2202462255954742	0.4176099896430969	0.1447760015726089	0.2239365130662918	0.8495422601699829	0.2559303939342499	0.3060575425624847	0.247333899140358	0.4373424649238586	0.4256545305252075	0.6766391396522522	0.4222632348537445	0.4917396903038025	0.4180734753608704	0.4377439916133881	0.3962670266628265	0.6135751008987427
L2S175	0.7795912623405457	0.8280209898948669	0.8157122135162354	0.8082466125488281	0.7725468277931213	0.7450224161148071	0.789334774017334	0.7827728986740112	0.2334195822477341	0	0.4117029011249542	0.4102130234241486	0.3613432943820953	0.2263240963220596	0.2060297131538391	0.363239973783493	0.251604288816452	0.09579864144325256	0.824409544467926	0.2060505300760269	0.217791274189949	0.2930931746959686	0.3749412298202515	0.3332021832466125	0.6145595908164978	0.3303211629390717	0.4524205923080444	0.384347677230835	0.4157548248767853	0.3586370944976807	0.5811631679534912
