	shannon_entropy
ERR1458715	2.9910586158682424
ERR1458739	3.6778462988026965
ERR1458746	5.315953519319479
ERR1458747	4.61886722294657
ERR1458750	4.389820249644662
ERR1458752	5.830702243361211
ERR1458765	5.134722914041467
ERR1458793	6.540094871825149
ERR1458809	6.230326396909924
ERR1458829	6.062437027803966
ERR1458831	2.449320375554518
ERR1458855	5.461962191798215
ERR1458857	4.21380876066591
ERR1458868	5.786235691788756
ERR1458871	4.45694146193068
ERR1458881	3.0760533800649914
ERR1458883	5.846289115131392
ERR1458893	5.53480270908073
ERR1458899	6.311750547589148
ERR1458906	5.002353360739236
ERR1458915	4.098822921769273
ERR1458929	2.327582887289295
ERR1458931	4.785762769517123
ERR1458936	6.369870022490565
ERR1458937	4.794555438475558
ERR1458942	4.798215943110143
ERR1458974	4.1574324580878415
ERR1458980	4.412229228208006
ERR1458992	6.011211683377677
ERR1458999	6.140885496953385
ERR1459008	6.906827969657048
ERR1459017	4.477194760870128
ERR1459028	3.8545737724307685
ERR1459033	5.370715960711684
ERR1459034	6.086853992970543
ERR1459035	6.335820160838159
ERR1459037	6.250591877176306
ERR1459045	5.7526333661256395
ERR1459063	5.868807151160614
ERR1459072	5.607017536872423
ERR1459099	6.114808330847874
ERR1459109	4.036554572209447
ERR1459110	0.7937423462572601
ERR1459123	5.520890115283064
ERR1459124	2.444071692915497
ERR1459126	5.414356336254919
ERR1459131	5.068512245139532
ERR1459142	5.176568601966536
ERR1459146	4.811625025002752
ERR1459147	1.524424883975917
ERR1459152	5.323837983171506
ERR1459161	4.787909356043672
ERR1459162	3.6245333475782613
ERR1459172	4.318762017283958
ERR1459203	4.014083628433911
ERR1459204	5.780600847957004
ERR2056783	5.679288396291102
ERR2056799	6.154116190359428
