	functools.partial(<function _simpsons_dominance at 0x1530e77f0430>)
ERR1458739	0.7918657254379609
ERR1458746	0.9520206081407075
ERR1458747	0.9123860753146942
ERR1458750	0.7928685086343418
ERR1458752	0.9626141611907767
ERR1458765	0.9048216843352019
ERR1458793	0.9790881862679247
ERR1458809	0.9717536786060935
ERR1458829	0.9554054744394347
ERR1458831	0.5739439084704908
ERR1458855	0.9511777026426176
ERR1458857	0.9166649322932138
ERR1458868	0.9484030204586692
ERR1458871	0.8918630765766873
ERR1458881	0.7370882203247126
ERR1458883	0.9657057607056566
ERR1458893	0.9500320701418465
ERR1458899	0.975256797640243
ERR1458906	0.9149299281590981
ERR1458915	0.8089707471113222
ERR1458929	0.6763299648647472
ERR1458931	0.8874517765344948
ERR1458936	0.9710583525218105
ERR1458937	0.9152326551617792
ERR1458942	0.9268488578677802
ERR1458980	0.855347577900172
ERR1458992	0.9567639618639658
ERR1458999	0.9708729322326684
ERR1459008	0.9835770601045544
ERR1459017	0.9004974183062803
ERR1459028	0.7634311456892621
ERR1459033	0.9425414688692579
ERR1459034	0.9692315842650072
ERR1459037	0.978806271746678
ERR1459045	0.9548501595938917
ERR1459063	0.9567308510980476
ERR1459072	0.9540677994963379
ERR1459099	0.9735397679219115
ERR1459109	0.8717752479050346
ERR1459123	0.9586370851930547
ERR1459124	0.5695288243407647
ERR1459126	0.9567336891636977
ERR1459131	0.946606524902134
ERR1459142	0.9266322188564866
ERR1459146	0.8879257334980672
ERR1459147	0.34828079443133675
ERR1459152	0.9594979651069289
ERR1459161	0.8933265724302735
ERR1459162	0.794722711525763
ERR1459172	0.884921167996458
ERR1459203	0.8318171755949059
ERR1459204	0.9655411528979488
ERR2056783	0.9502193824747555
ERR2056799	0.9651220652036123
