	observed_features
ERR1458715	66
ERR1458739	85
ERR1458746	135
ERR1458747	114
ERR1458750	163
ERR1458752	144
ERR1458765	164
ERR1458793	247
ERR1458809	214
ERR1458829	217
ERR1458831	61
ERR1458855	133
ERR1458857	59
ERR1458868	185
ERR1458871	102
ERR1458881	63
ERR1458883	152
ERR1458893	172
ERR1458899	210
ERR1458906	145
ERR1458915	116
ERR1458929	28
ERR1458931	117
ERR1458936	259
ERR1458937	118
ERR1458942	103
ERR1458974	128
ERR1458980	127
ERR1458992	227
ERR1458999	205
ERR1459008	298
ERR1459017	158
ERR1459028	108
ERR1459033	145
ERR1459034	204
ERR1459035	269
ERR1459037	207
ERR1459045	183
ERR1459063	198
ERR1459072	127
ERR1459099	187
ERR1459109	82
ERR1459110	45
ERR1459123	152
ERR1459124	58
ERR1459126	111
ERR1459131	109
ERR1459142	156
ERR1459146	124
ERR1459147	38
ERR1459152	119
ERR1459161	131
ERR1459162	73
ERR1459172	96
ERR1459203	119
ERR1459204	161
ERR2056783	226
ERR2056799	255
