	ERR1458715	ERR1458739	ERR1458746	ERR1458747	ERR1458750	ERR1458752	ERR1458765	ERR1458793	ERR1458809	ERR1458829	ERR1458831	ERR1458855	ERR1458857	ERR1458868	ERR1458871	ERR1458881	ERR1458883	ERR1458893	ERR1458899	ERR1458906	ERR1458915	ERR1458929	ERR1458931	ERR1458936	ERR1458937	ERR1458942	ERR1458974	ERR1458980	ERR1458992	ERR1458999	ERR1459008	ERR1459017	ERR1459028	ERR1459033	ERR1459034	ERR1459035	ERR1459037	ERR1459045	ERR1459063	ERR1459072	ERR1459099	ERR1459109	ERR1459110	ERR1459123	ERR1459124	ERR1459126	ERR1459131	ERR1459142	ERR1459146	ERR1459147	ERR1459152	ERR1459161	ERR1459162	ERR1459172	ERR1459203	ERR1459204	ERR2056783	ERR2056799
ERR1458715	0.0	0.9963789107763615	0.9921784472769409	0.9982618771726536	0.9750869061413673	0.9923232908458864	0.9579953650057937	0.9978273464658169	0.9976825028968713	0.9986964078794901	0.9986964078794901	0.9972479721900348	0.6833719582850522	0.9898609501738123	0.9986964078794901	0.5688006952491309	0.992468134414832	0.9976825028968713	0.9957995365005794	0.9973928157589803	0.9986964078794901	0.7931633835457705	0.9972479721900348	0.9984067207415991	0.9975376593279258	0.9826187717265353	0.9939165701042874	0.9986964078794901	0.9976825028968713	0.9808806488991889	0.9984067207415991	0.9947856315179606	0.984936268829664	0.9986964078794901	0.9978273464658169	0.9984067207415991	0.9960892236384704	0.9937717265353418	0.979577056778679	0.9957995365005794	0.9969582850521437	0.996523754345307	0.998117033603708	1.0	0.9986964078794901	0.9989860950173812	1.0	0.9957995365005794	0.998117033603708	0.9623406720741599	0.9955098493626883	0.9963789107763615	0.9901506373117034	0.9927578215527231	0.9145422943221321	0.9028099652375434	0.9982618771726536	0.9985515643105446
ERR1458739	0.9963789107763615	0.0	0.9103418308227115	0.8687717265353418	0.4642236384704519	0.901361529548088	0.5863267670915412	0.8752896871378911	0.9025202780996524	0.7043742757821553	0.49681344148319817	0.8634125144843569	0.9947856315179606	0.694380069524913	0.6442641946697567	0.6625144843568945	0.8161935110081112	0.7175550405561993	0.8590672074159907	0.9103418308227115	0.915845886442642	0.9973928157589803	0.608342989571263	0.854287369640788	0.6985805330243338	0.6810544611819235	0.494351100811124	0.5719872537659328	0.7233487833140209	0.7528968713789108	0.813441483198146	0.8948435689455388	0.4646581691772885	0.8544322132097335	0.8038818076477404	0.8022885283893395	0.8331402085747392	0.9143974507531866	0.8732618771726536	0.859936268829664	0.8648609501738123	0.8706546929316339	0.5369351100811124	0.8854287369640788	0.5188296639629201	0.9220741599073001	0.929316338354577	0.9006373117033604	0.5789397450753186	0.516657010428737	0.8994785631517961	0.8211181923522596	0.47928736964078794	0.6798957126303592	0.8403823870220162	0.878476245654693	0.8858632676709154	0.9165701042873696
ERR1458746	0.9921784472769409	0.9103418308227115	0.0	0.691917728852839	0.8373406720741599	0.8298088064889919	0.7796929316338355	0.7547798377752027	0.654837775202781	0.7533314020857474	0.8609501738122828	0.5605446118192352	0.9930475086906141	0.7557937427578215	0.6632387022016223	0.9204808806488992	0.7006083429895713	0.6823580533024334	0.7071263035921205	0.7681054461181923	0.9009269988412515	0.992468134414832	0.77954808806489	0.7495654692931634	0.6993047508690614	0.7229142526071842	0.8311123986095017	0.8245944380069525	0.8234356894553881	0.8286500579374276	0.7471031286210892	0.8765932792584009	0.7169756662804172	0.8573290845886443	0.75941483198146	0.8337195828505214	0.7865005793742758	0.7207415990730012	0.7665121668597914	0.6859791425260718	0.7808516801853997	0.7324739281575898	0.9659617612977984	0.46697566628041715	0.9522016222479722	0.6867033603707995	0.8690614136732329	0.725811123986095	0.77954808806489	0.9378621089223639	0.5159327925840093	0.6974217844727694	0.7862108922363847	0.8933951332560834	0.8683371958285052	0.6022595596755504	0.714803012746234	0.7075608342989571
ERR1458747	0.9982618771726536	0.8687717265353418	0.691917728852839	0.0	0.8054750869061413	0.7827346465816918	0.7879490150637312	0.7698435689455388	0.7410196987253765	0.7691193511008111	0.8962920046349943	0.6313731170336037	0.9995654692931634	0.7896871378910776	0.5848783314020858	0.9130938586326767	0.7539107763615296	0.7712920046349943	0.7566628041714948	0.819380069524913	0.8812282734646582	0.9995654692931634	0.819380069524913	0.7134994206257242	0.725811123986095	0.7434820393974507	0.8347334878331402	0.8069235225955967	0.8382097334878331	0.8195249130938587	0.7993916570104287	0.9152665121668598	0.8314020857473928	0.8289397450753186	0.7285631517960602	0.785196987253766	0.7931633835457705	0.7457995365005794	0.8311123986095017	0.8099652375434531	0.7110370799536501	0.6754055619930475	0.97045191193511	0.6885863267670915	0.9675550405561993	0.6407879490150638	0.793018539976825	0.7287079953650057	0.8054750869061413	0.9585747392815759	0.6700463499420626	0.7146581691772885	0.7754924681344149	0.9175840092699884	0.897305909617613	0.7450753186558516	0.6788818076477404	0.8351680185399768
ERR1458750	0.9750869061413673	0.4642236384704519	0.8373406720741599	0.8054750869061413	0.0	0.8928157589803013	0.503765932792584	0.8509559675550405	0.7969293163383546	0.7098783314020858	0.5040556199304751	0.8438586326767091	0.9997103128621089	0.6571552723059096	0.569090382387022	0.6641077636152954	0.7413093858632677	0.694380069524913	0.8411066048667439	0.9061413673232909	0.8684820393974507	1.0	0.5595307068366164	0.8702201622247973	0.6710602549246814	0.6471610660486674	0.4542294322132097	0.5498261877172653	0.6891657010428737	0.7395712630359212	0.8411066048667439	0.9049826187717266	0.44351100811123984	0.8098203939745076	0.772595596755504	0.7844727694090382	0.8447276940903824	0.8615295480880649	0.8923812282734647	0.8344438006952491	0.8037369640787949	0.8063441483198146	0.5366454229432214	0.8314020857473928	0.5247682502896871	0.8209733487833141	0.8241599073001159	0.8809385863267671	0.49304750869061414	0.5043453070683661	0.7988122827346466	0.793018539976825	0.4461181923522596	0.6394843568945539	0.8122827346465817	0.7892526071842411	0.837630359212051	0.8852838933951332
ERR1458752	0.9923232908458864	0.901361529548088	0.8298088064889919	0.7827346465816918	0.8928157589803013	0.0	0.8205388180764774	0.665845886442642	0.8606604866743917	0.7789687137891078	0.7778099652375434	0.6980011587485515	0.9940614136732329	0.8146002317497103	0.8399478563151797	0.9269988412514485	0.8212630359212051	0.7546349942062572	0.7303012746234068	0.8495075318655851	0.9482908458864426	0.9946407879490151	0.8705098493626883	0.6286210892236385	0.7892526071842411	0.8403823870220162	0.8025782155272306	0.8345886442641947	0.7962050984936269	0.8464658169177288	0.8075028968713789	0.8702201622247973	0.8951332560834299	0.7308806488991889	0.7463789107763615	0.7584009269988412	0.7515932792584009	0.8442931633835458	0.7659327925840093	0.8350231749710313	0.7152375434530707	0.7630359212050984	0.9697276940903824	0.787369640787949	0.9934820393974507	0.7821552723059096	0.865874855156431	0.7778099652375434	0.8354577056778679	0.9572711471610661	0.7634704519119351	0.7743337195828505	0.9068655851680185	0.9649478563151797	0.848638470451912	0.7998261877172653	0.7230590961761297	0.7809965237543454
ERR1458765	0.9579953650057937	0.5863267670915412	0.7796929316338355	0.7879490150637312	0.503765932792584	0.8205388180764774	0.0	0.7637601390498262	0.7442062572421785	0.5760428736964078	0.6103707995365005	0.7560834298957126	0.9994206257242179	0.522595596755504	0.4985515643105446	0.6145712630359212	0.6924971031286211	0.6019698725376593	0.7420336037079953	0.831981460023175	0.8553012746234068	1.0	0.5168018539976825	0.7652085747392816	0.5745944380069525	0.6092120509849362	0.544611819235226	0.5107184241019699	0.6221031286210892	0.6856894553881807	0.7489860950173812	0.8305330243337196	0.5683661645422943	0.7660776361529548	0.7090092699884125	0.6875724217844728	0.7484067207415991	0.811268829663963	0.8018539976825029	0.790845886442642	0.6971320973348784	0.8037369640787949	0.6784472769409038	0.7757821552723059	0.6762746234067207	0.7869351100811124	0.8487833140208575	0.8040266512166859	0.4749420625724218	0.6334009269988412	0.7749130938586327	0.7237833140208575	0.5072421784472769	0.6258690614136733	0.7656431054461182	0.7011877172653534	0.7807068366164542	0.8109791425260718
ERR1458793	0.9978273464658169	0.8752896871378911	0.7547798377752027	0.7698435689455388	0.8509559675550405	0.665845886442642	0.7637601390498262	0.0	0.7256662804171495	0.6517960602549246	0.8258980301274623	0.6804750869061413	0.9984067207415991	0.7262456546929317	0.7369640787949016	0.9177288528389339	0.759125144843569	0.6393395133256083	0.6988702201622248	0.7620220162224797	0.8834009269988412	0.9986964078794901	0.8370509849362688	0.6528099652375434	0.7733198146002318	0.7973638470451911	0.8166280417149478	0.7627462340672074	0.7116164542294322	0.7808516801853997	0.703505214368482	0.8192352259559675	0.7604287369640788	0.7401506373117034	0.6835168018539977	0.6628041714947857	0.7024913093858632	0.8237253765932793	0.7101680185399768	0.7679606025492468	0.6825028968713789	0.8631228273464658	0.9740730011587485	0.697566628041715	0.9666859791425261	0.753476245654693	0.8195249130938587	0.7397161066048668	0.7526071842410197	0.9592989571263036	0.6762746234067207	0.7614426419466975	0.8644264194669756	0.9259849362688297	0.8253186558516802	0.7329084588644265	0.688441483198146	0.7444959443800695
ERR1458809	0.9976825028968713	0.9025202780996524	0.654837775202781	0.7410196987253765	0.7969293163383546	0.8606604866743917	0.7442062572421785	0.7256662804171495	0.0	0.72045191193511	0.8738412514484357	0.6961181923522596	0.9989860950173812	0.75	0.7139339513325609	0.9227983777520278	0.6477404403244496	0.7289976825028969	0.733342989571263	0.7430475086906141	0.8839803012746235	0.9992757821552724	0.8014194669756662	0.7688296639629201	0.7504345307068366	0.7533314020857474	0.8147450753186558	0.7378331402085747	0.7867902665121669	0.7953360370799536	0.7365295480880649	0.8287949015063731	0.7724507531865585	0.8366164542294322	0.7039397450753186	0.8009849362688297	0.7263904982618772	0.6565758980301275	0.7805619930475087	0.7329084588644265	0.7127752027809965	0.8125724217844728	0.9487253765932793	0.6022595596755504	0.9462630359212051	0.6707705677867902	0.8382097334878331	0.770712630359212	0.7104577056778679	0.9526361529548089	0.6452780996523755	0.729287369640788	0.7785341830822712	0.8745654692931634	0.8654403244495944	0.6732329084588644	0.7194380069524913	0.7586906141367323
ERR1458829	0.9986964078794901	0.7043742757821553	0.7533314020857474	0.7691193511008111	0.7098783314020858	0.7789687137891078	0.5760428736964078	0.6517960602549246	0.72045191193511	0.0	0.7066917728852838	0.7027809965237544	0.9997103128621089	0.5679316338354577	0.5853128621089224	0.7570973348783314	0.7050984936268829	0.4921784472769409	0.6820683661645423	0.755648899188876	0.8739860950173812	1.0	0.6429606025492468	0.7134994206257242	0.6177578215527231	0.6129779837775203	0.669611819235226	0.5867612977983777	0.578505214368482	0.6783024333719583	0.6070393974507532	0.7821552723059096	0.6449884125144844	0.7326187717265353	0.6693221320973349	0.6251448435689455	0.6712050984936269	0.7682502896871379	0.7601390498261877	0.759125144843569	0.716396292004635	0.7991019698725377	0.7996813441483198	0.7119061413673233	0.8015643105446119	0.7291425260718424	0.8325608342989571	0.755648899188876	0.6012456546929317	0.7879490150637312	0.7282734646581692	0.7388470451911935	0.6573001158748552	0.7455098493626883	0.7630359212050984	0.7649188876013905	0.7052433371958285	0.7863557358053302
