	faith_pd
ERR1458739	9.978453405376436
ERR1458746	10.25464966419126
ERR1458747	9.934436996409907
ERR1458750	14.42722162628259
ERR1458752	12.54985930266938
ERR1458765	13.19558523920279
ERR1458793	16.34294510541481
ERR1458809	15.62598229449246
ERR1458829	15.98747916003243
ERR1458831	6.143899843687027
ERR1458855	13.47253165260079
ERR1458857	9.584366717209146
ERR1458868	12.91272848734798
ERR1458871	8.958716867011944
ERR1458881	6.524626604919336
ERR1458883	16.83361723862073
ERR1458893	11.32041112903028
ERR1458899	13.90070822867731
ERR1458906	11.74170404353632
ERR1458915	10.10766160108157
ERR1458929	4.127293186320202
ERR1458931	15.61942649883205
ERR1458936	15.8538136964688
ERR1458937	9.790776134189992
ERR1458942	15.26925196216131
ERR1458980	15.66129490811921
ERR1458992	18.96637671629392
ERR1458999	14.42858870826467
ERR1459008	19.85100270218764
ERR1459017	13.02218513735762
ERR1459028	13.27136768472229
ERR1459033	14.30240384179721
ERR1459034	11.5784805273677
ERR1459037	16.06369484617662
ERR1459045	13.87614655687115
ERR1459063	14.04676118893469
ERR1459072	11.79487110193362
ERR1459099	13.12712658642249
ERR1459109	11.87018114040455
ERR1459123	28.65712592916263
ERR1459124	7.150944130257068
ERR1459126	10.3459928871815
ERR1459131	11.09718499460325
ERR1459142	11.85529297588564
ERR1459146	11.03194327689267
ERR1459147	4.373606470739652
ERR1459152	9.0596694432875
ERR1459161	15.0765973827329
ERR1459162	6.592746858746207
ERR1459172	11.33625879576091
ERR1459203	8.923578755734365
ERR1459204	13.36689462307699
ERR2056783	14.43217857574826
ERR2056799	17.04486291793454
