	observed_features
ERR1458739	72
ERR1458746	109
ERR1458747	94
ERR1458750	122
ERR1458752	128
ERR1458765	128
ERR1458793	187
ERR1458809	163
ERR1458829	163
ERR1458831	51
ERR1458855	113
ERR1458857	50
ERR1458868	139
ERR1458871	85
ERR1458881	53
ERR1458883	123
ERR1458893	132
ERR1458899	166
ERR1458906	115
ERR1458915	91
ERR1458929	26
ERR1458931	109
ERR1458936	202
ERR1458937	96
ERR1458942	94
ERR1458980	101
ERR1458992	175
ERR1458999	147
ERR1459008	229
ERR1459017	109
ERR1459028	91
ERR1459033	121
ERR1459034	147
ERR1459037	166
ERR1459045	149
ERR1459063	161
ERR1459072	116
ERR1459099	146
ERR1459109	75
ERR1459123	125
ERR1459124	54
ERR1459126	99
ERR1459131	96
ERR1459142	125
ERR1459146	110
ERR1459147	33
ERR1459152	96
ERR1459161	112
ERR1459162	63
ERR1459172	81
ERR1459203	90
ERR1459204	125
ERR2056783	165
ERR2056799	180
